paper_id,source_title,canonical_title,keyword,review_decision,analysis_unit_type,source_pdf_path,source_pdf_sha256,canonical_pdf_path,canonical_pdf_sha256,page_count,text_source,canonical_text_path,canonical_text_sha256,canonical_text_chars,canonical_paragraph_count,abstract_present,analysis_ready,status,notes
0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,Design rationale,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/0050f73e4373.pdf,051de5a9e3e41f61aa81595558f1c64a9cf08f2419c4dfe83ceb45e017c34d4d,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/0050f73e4373.pdf,051de5a9e3e41f61aa81595558f1c64a9cf08f2419c4dfe83ceb45e017c34d4d,24,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/0050f73e4373.txt,813475a84d5c940812f8ea467fed80adccf0106688efa46c8316ff14b0d9f048,59827,301,True,True,analysis_ready,
00781ed0e844,Cognitive Point of View in Recursive Design,Cognitive Point of View in Recursive Design,Design theory,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/00781ed0e844.pdf,27128036a4a890266e5bdadeca7660bebc93b1ffae34232427e4441de2cee68a,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/00781ed0e844.pdf,27128036a4a890266e5bdadeca7660bebc93b1ffae34232427e4441de2cee68a,16,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/00781ed0e844.txt,291715cd1019b9f5f9b8fc12bc3b3d6844232f0e04eb30c70ea82842a24bbd55,63811,289,True,True,analysis_ready,
00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",Design Guidelines,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/00d7fbafe65f.pdf,3d5c06263c3a2142ee679b4e6dcd29a6600f32620b33802989cc2b7eea28359b,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/00d7fbafe65f.pdf,3d5c06263c3a2142ee679b4e6dcd29a6600f32620b33802989cc2b7eea28359b,18,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/00d7fbafe65f.txt,3e8d6c34563088b38c75fb38f7f4737b059f26d00a0df8b1bfdfa4e300dd51ac,111934,528,True,True,analysis_ready,
00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Design knowledge,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/00e42ae113b8.pdf,bcd28e3c298b2ec5a1d84f304f31cf1ec54319d8d670a500bddd85353eda3ea3,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/00e42ae113b8.pdf,bcd28e3c298b2ec5a1d84f304f31cf1ec54319d8d670a500bddd85353eda3ea3,21,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/00e42ae113b8.txt,08c3086d5163908e0f33dc83f40dc871d9ba30e62a88bd91be6dc8cc914521a0,69814,336,True,True,analysis_ready,
013a50a2a9b4,Towards a Pattern Language for Creative Affordances,Towards a Pattern Language for Creative Affordances,Design Patterns,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/013a50a2a9b4.pdf,675fefc875546f83057b0e8a74cca33fd296c8d1c587a83eea3df8a581dac7b7,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/013a50a2a9b4.pdf,675fefc875546f83057b0e8a74cca33fd296c8d1c587a83eea3df8a581dac7b7,10,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/013a50a2a9b4.txt,8e00be917e3cab6e8a41a2faa511a380ddaa0941c3f036389586439ea454f3c5,56543,245,True,True,analysis_ready,
01467836cecf,Design principles for human-computer interfaces,Design principles for human-computer interfaces,Design principles,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/01467836cecf.pdf,1d835186cb8f43baf7ee84fb0d997811a49a607b3e7337de75abc0874bfaa196,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/01467836cecf.pdf,1d835186cb8f43baf7ee84fb0d997811a49a607b3e7337de75abc0874bfaa196,10,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/01467836cecf.txt,125b3987d6082e813a15866138594b9f6b4a456c9debdb18e6dd6ebcad1dcc63,54000,268,True,True,analysis_ready,
0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,A Comparative Study of Chinese and American Rural Design Guidelines,Design Guidelines,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/0176348439b8.pdf,828770d963a3b05534dfa89b2e4ddb7ecddd889dcfbeb45ec71d86e56fb5a72f,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/0176348439b8.pdf,828770d963a3b05534dfa89b2e4ddb7ecddd889dcfbeb45ec71d86e56fb5a72f,8,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/0176348439b8.txt,db66aedc0bda93c31cea2cb5b9366da714132271c3d755fd192526045c51e9fe,37117,134,True,True,analysis_ready,
021b68e369b1,Live Coding Patterns and a Toolkit for Pure Data,Live Coding Patterns and a Toolkit for Pure Data,Design Patterns,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/021b68e369b1.pdf,0be19d083538915cc36cae418d0e72a2929f3b55f77fd172cd6cb26aa3c5a964,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/021b68e369b1.pdf,0be19d083538915cc36cae418d0e72a2929f3b55f77fd172cd6cb26aa3c5a964,12,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/021b68e369b1.txt,2137e26a9a6ea41e9e0816a70289239e9d7cc3bab77d325fc01f77e03276b338,55446,278,True,True,analysis_ready,
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,Design Heuristics,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/022ee7cf2e4e.pdf,fed072b082fc74a193d11e2defa07b2c7bd9e5bafc093dd4fa1f00dd8793b152,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/022ee7cf2e4e.pdf,fed072b082fc74a193d11e2defa07b2c7bd9e5bafc093dd4fa1f00dd8793b152,10,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/022ee7cf2e4e.txt,3f5520d5d9696d7f470877076c0f4fdb24a5e047811f937252e082da2061f24d,29557,160,True,True,analysis_ready,
02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,A design theory for data quality tools in data ecosystems: Findings from three industry cases,Design knowledge,,paper,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/02381ea80183.pdf,d6e209162406f0ffef700b3ca02aa348ce3dbf284da63c867f4870a848f473ed,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pdf_corpus_459_20260811/02381ea80183.pdf,d6e209162406f0ffef700b3ca02aa348ce3dbf284da63c867f4870a848f473ed,22,pypdf,/Users/baiyixin/Documents/Survey - design knowledge/expanded_pipeline_459_20260811/canonical_text/02381ea80183.txt,5e59027afd9012034b5722a0d7284d425ac4a3c4fe8a522b5d1098cfed4a82fd,113832,592,True,True,analysis_ready,
