paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason
00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho","Despite the growing demand for professional graphic design knowledge, the tacit nature of design inhibits knowledge sharing. However, there is a limited understanding on the characteristics and instances of tacit knowledge in graphic design. In this work, we build a comprehensive set of tacit knowledge characteristics through a literature review. Through interviews with 10 professional graphic designers, we collected 123 tacit knowledge instances and labeled their characteristics. By qualitatively coding the instances, we identified the prominent elements, actions, and purposes of tacit knowledge. To identify which instances have been addressed the least, we conducted a systematic literature review of prior system support to graphic design. By understanding the reasons for the lack of support on these instances based on their characteristics, we propose design guidelines for capturing and applying tacit knowledge in design tools. This work takes a step towards understanding tacit knowledge, and how this knowledge can be communicated.",10.1145/3613904.3642886,2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3613904.3642886,Design Guidelines,design_guidelines.bib,acm|engineering_village|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Builds a comprehensive set of tacit knowledge characteristics via literature review and characterizes/defines tacit design knowledge in graphic design, satisfying C2 and likely C3.","The paper develops a VR Deceptive Game Design Assessment Guide based on a critical literature review, which indicates synthesis/categorization of design patterns, but the abstract does not clearly state an explicit adapted or original definition."
ca185d91b684,Embracing Non-Natural Design in Human-Computer Interaction,"Vatavu, Radu-Daniel","Decades ago, the natural interaction design paradigm has brought about a revolutionary shift in perspective regarding how interactions with computer systems could and should take place. By promoting intuition, familiarity, and context matching, natural interactions leverage users’ best capabilities to engage in effective dialogue with their computer interlocutors. Natural interaction has prevailed and transpires today in the way we use gestures, voice, or eye gaze to interact with mobile and wearable devices, communicate with personal assistants, play video games through whole-body movements, and engage with public ambient displays. However, recent contexts of use, represented by novel extended reality environments, computer systems designed to augment the human body, and creative designs of assistive technology, have resulted in interactions that can no longer be characterized as “natural.” In fact, the opposite of natural is true for them. An interaction technique for retrieving digital files from thin air, without any feedback other than within users’ own imagination, does not follow natural design guidelines, but can nevertheless prove effective. Alternating between normal and whispered voices is not a natural speech behavior, yet it enables effective discrimination between commands addressed to the system and actual speech to be transformed into text input. Eyelid gestures, reproducing movement patterns, are not natural for how we normally close and open our eyes, but are effective input for users with motor impairments. In this context, I will discuss non-natural interaction design&nbsp;[5], a transformative and creative process in Human-Computer Interaction research and practice that leads to highly usable and effective interactions with computer systems by deliberately deviating from users’ expectations and their experience of engaging with the natural, physical world. Non-natural interactions are surprising, unexpected, thought-provoking and, by design, non natural. Yet, they foster usability, accessibility, and efficiency for users. In my talk, I will exemplify the paradigm of non-natural interaction design through practical use cases developed and examined in my lab, spanning from wearable devices that challenge user agency&nbsp;[1] to smart buildings featuring invisible layers of digital content anchored in thin air&nbsp;[3], augmenting and extending the human body with virtual limbs&nbsp;[4], and computer-supported worlds that enable switching between different reality augmentations&nbsp;[2].",10.1145/3656650.3660545,2024,Proceedings of the 2024 International Conference on Advanced Visual Interfaces,https://doi.org/10.1145/3656650.3660545,Design Guidelines,design_guidelines.bib,acm|engineering_village|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Discusses and critiques the natural interaction design paradigm, plausibly synthesizing and redefining design paradigms/constructs (e.g., non-natural design), so C2/C3 plausible pending full text.","The paper appears to discuss a design paradigm in HCI rather than an algorithm or system, but the truncated abstract does not clearly show a synthesis from prior work or an explicit definition, so full text is needed."
f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,"Yang, Bo and Xing, Zhenchang and Xia, Xin and Chen, Chunyang and Ye, Deheng and Li, Shanping","Just like code smells in source code, UI design has visual design smells. We study 93 don't-do-that guidelines in the Material Design, a complex design system created by Google. We find that these don't-guidelines go far beyond UI aesthetics, and involve seven general design dimensions (layout, typography, iconography, navigation, communication, color, and shape) and four component design aspects (anatomy, placement, behavior, and usage). Violating these guidelines results in visual design smells in UIs (or UI design smells). In a study of 60,756 UIs of 9,286 Android apps, we find that 7,497 UIs of 2,587 apps have at least one violation of some Material Design guidelines. This reveals the lack of developer training and tool support to avoid UI design smells. To fill this gap, we design an automated UI design smell detector (UIS-Hunter) that extracts and validates multi-modal UI information (component metadata, typography, iconography, color, and edge) for detecting the violation of diverse don't-guidelines in Material Design. The detection accuracy of UIS-Hunter is high (precision=0.81, recall=0.90) on the 60,756 UIs of 9,286 apps. We build a guideline gallery with real-world UI design smells that UIS-Hunter detects for developers to learn the best Material Design practices. Our user studies show that UIS-Hunter is more effective than manual detection of UI design smells, and the UI design smells that are detected by UIS-Hunter have severely negative impacts on app users.",10.1109/icse43902.2021.00075,2021,Proceedings of the 43rd International Conference on Software Engineering,https://doi.org/10.1109/ICSE43902.2021.00075,Design Guidelines,design_guidelines.bib,acm|engineering_village|ieee|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Studies and categorizes 93 design guidelines across design dimensions and defines the concept of UI design smells, plausibly satisfying both C2 and C3; flagged to confirm in full text.","This appears to be an empirical study of stroke rehabilitation context intended to inform interaction design, and while design implications are plausible, the abstract does not clearly indicate synthesis or explicit definition of design knowledge from prior work."
65c31c577170,The Rough Mile: Testing a Framework of Immersive Practice,"Spence, Jocelyn and Hazzard, Adrian and McGrath, Sean and Greenhalgh, Chris and Benford, Steve","We present our case study on gifting digital music, The Rough Mile, as an example of a Framework of Immersive Practice, intended for researchers and practitioners in HCI and interaction design. Although immersion is a frequently used term in the HCI and related literatures, we find no definitions or frameworks that are robust enough to capture the full range of multi-sensory, emotional, and cognitive engagement that the richest of these experiences can entail. We therefore turn to the theatrical performance literature to distil a theory-based framework of practices that can apply to interdisciplinary projects as well as works with an entirely aesthetic aim. The design choices and findings of The Rough Mile are presented in terms of this framework, leading to a discussion of the design guidelines that can shape its use in any HCI or interaction design project aiming for a deep, personal engagement through technology.",10.1145/3064663.3064756,2017,Proceedings of the 2017 Conference on Designing Interactive Systems,https://doi.org/10.1145/3064663.3064756,Design Guidelines,design_guidelines.bib,acm,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Distills a theory-based framework of immersive practice from theatrical literature for HCI design and notes absence of robust existing definitions, suggesting synthesis and its own framework definition.","The paper explicitly distils a theory-based framework from theatrical performance literature and states that existing definitions/frameworks are inadequate, indicating both synthesis and an adapted or newly articulated framework/definition for immersive practice."
615169de6f0e,From interaction to trajectories: designing coherent journeys through user experiences,"Benford, Steve and Giannachi, Gabriella and Koleva, Boriana and Rodden, Tom","The idea of interactional trajectories through interfaces has emerged as a sensitizing concept from recent studies of tangible interfaces and interaction in museums and galleries. We put this concept to work as a lens to reflect on published studies of complex user experiences that extend over space and time and involve multiple roles and interfaces. We develop a conceptual framework in which trajectories explain these user experiences as journeys through hybrid structures, punctuated by transitions, and in which interactivity and collaboration are orchestrated. Our framework is intended to sensitize future studies, help distill craft knowledge into design guidelines and patterns, identify technology requirements, and provide a boundary object to connect HCI with Performance Studies.",10.1145/1518701.1518812,2009,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/1518701.1518812,Design Guidelines,design_guidelines.bib,acm,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Develops a conceptual framework of trajectories by reflecting on published studies, synthesizing prior work and defining the construct, satisfying C2 and likely C3.","Uses the concept of interactional trajectories to reflect on published studies and develops a conceptual framework synthesizing prior work, but the abstract does not clearly state an explicit original or adapted definition, so full text is needed for C3."
9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,"Jit, Sophia and Leiva, Amanda and Bicksler, Rebecca and Soden, Robert","Weather risk communication is an interdisciplinary field of research that aims to understand how to communicate complex risk information related to extreme weather events to the general public to assist with safety-related decision-making. Web-based tools are increasingly important in risk communication, but the complexity of the topic creates difficulties for designers without prior domain experience. To help address this challenge, we used key findings from relevant scholarly literature to adapt Nielsen’s usability heuristics for use by designers working on web-based risk communication tools. We then evaluated and iterated on these heuristics through research with both risk communication experts and designers. Based on our results, we argue that the final set of heuristics we present in this paper are useful for supporting designers in identifying and addressing usability issues in web-based tools aimed at communicating severe weather risk information to the public.",10.1145/3715335.3735482,2025,Proceedings of the 2025 ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,https://doi.org/10.1145/3715335.3735482,Design Heuristics,design_heuristics.bib,acm|engineering_village|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,advance_criteria,TRUE,"Adapts Nielsen's usability heuristics from scholarly literature into design heuristics for a new domain, satisfying both C2 (synthesis) and C3 (adaptation of an existing construct definition).","The paper adapts Nielsen’s existing usability heuristics for a specific design context using findings from relevant scholarly literature, so it both synthesizes prior work and explicitly adapts a design-knowledge construct."
994d28d55eb8,From human factors to human actors to human crafters,"Maceli, Monica and Atwood, Michael","Meta-design theory emphasizes that future use can never be entirely anticipated at design time, as users shape their environments in response to emerging needs; systems should therefore be designed to adapt to future conditions in the hands of end users. For most of human history, all design was meta-design; designers were also users, and the environments of design and use were one and the same. Technology introduced a divide between the skilled producers and unskilled consumers of technology, and between design time and use time. In our increasingly complex technological environments, tomorrow's meta-designers must be able to anticipate the environment in which the end users will work in order to provide the flexibility for users to craft their tools. By exploring and projecting forward current trends in technology use, we have identified key principles for meta-designers and suggest that using them as design heuristics will aid meta-designers in crafting systems for future end-users.",10.1145/1940761.1940775,2011,Proceedings of the 2011 IConference,https://doi.org/10.1145/1940761.1940775,Design Heuristics,design_heuristics.bib,acm|engineering_village,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Discusses meta-design theory and articulates what meta-design means, plausibly synthesizing and defining a design-knowledge construct; flagged to verify.","This paper discusses a framework for experience design and design heuristics grounded in analysis of a mediascape experience, but the abstract does not clearly show synthesis from prior literature or an explicit definition, so full text is needed."
ccc616a68c38,Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges,"Roth, Christian and Koenitz, Hartmut","In the context of this paper we take design knowledge as the methods applied by the creators (for example game designers in the case of games) of interactive experiences in contrast to for example the design of authoring tools or the design of game engines and similar computational systems. Such knowledge about rule-based game design is widespread as evidenced by numerous book publications and many university-level programs of study. In contrast, there is considerable less academic or professional knowledge on the design of interactive narratives -- for example, book publications focused on this topic number in the single digits and in academic programs the topic only exists on the margins. This paper proposes the use of empirical research methods as means to address this situation and examines specific challenges. On this foundation, we introduce a research effort to gather transferable interactive narrative design knowledge and report on a first user study. Finally, we provide guidelines and discuss future research.",10.1145/3132361.3133942,2017,Proceedings of the 2nd International Workshop on Multimedia Alternate Realities,https://doi.org/10.1145/3132361.3133942,Design knowledge,design_knowledge.bib,acm|engineering_village|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,advance_criteria,TRUE,Provides its own definition of design knowledge (methods applied by creators) and works toward synthesizing a body of interactive digital narrative design knowledge.,"The truncated abstract centers on teaching object-oriented design knowledge and related constructs like patterns, but does not clearly show whether it synthesizes or defines them, so full text is needed."
b227e604cd40,"The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design","Gray, Colin M.","Research on dark patterns has grown rapidly, but challenges remain in situating these practices within broader socio-technical, legal, and design contexts. In this essay, I introduce the concept of the “dark patterns knowledge stack” as a new way of synthesizing evidence about manipulative, coercive, and deceptive design practices. Inspired by Alexander’s notion of pattern language, I demonstrate how the knowledge stack aligns multiple layers of analysis and evidence—from interfaces and user characteristics to the socio-technical landscape and user intentions—revealing how manipulative practices interrelate across scales, are perpetuated through key business metrics, and evolve over time. Use of the knowledge stack is demonstrated through two case studies, followed by provocations for scholars, regulators, and practitioners to work together to more effectively identify harms, negotiate accountability, and chart pathways for more just and transparent digital systems.",10.1145/3772318.3791264,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3772318.3791264,Design knowledge,design_knowledge.bib,acm,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Essay synthesizing dark patterns evidence into a 'knowledge stack' concept inspired by pattern language, defining its own framework, plausibly satisfying C2/C3 but warrants full-text confirmation.","Studies tacit knowledge transmission through game design practice in a small team, but the abstract does not clearly indicate a synthesis from prior literature or an explicit definition of the construct."
d4ef8c48ded5,"Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices","Costantini, Umberto and Lonati, Violetta and Morpurgo, Anna","When learning to program, different types of knowledge and skills have to be built: syntactic knowledge, i.e., knowledge of the language features; conceptual knowledge, i.e., knowledge of the semantics of the various constructs; strategic knowledge, i.e. the ability to use syntactic and conceptual knowledge in the most appropriate and effective way to solve programming problems. Strategic knowledge also includes the ability to exploit and combine solutions to known problems to solve new ones and is one of the hardest skills to acquire when learning to programm [5, 6, 11]. Terms such as goals[10] patterns [5, 6, 11]. schema,[9] strategies[4], and variables' roles[3] have been used to refer to this kind of knowledge. Several authors suggest that strategic knowledge should be taught explicitly, however there are three main issues to address: plans/patterns/schema are used sometimes interchangeably and sometimes similarly but not correspondingly; it is claimed that a small number of plans/patterns is needed in an introductory programming course, however there is no agreed upon inventory of plans/patterns among the CS community;the notion of variables' roles isn't always explicitly linked to the notion of plans/patterns;little instructional material is available that explicitly teaches strategies, and it is neither easy nor obvious how to design such material. The aim of this study is to investigate whether and how such notions of plans/patterns/schema and variables' roles can be integrated into introductory programming courses.The idea is to establish a framework that includes and arranges the different definitions presented in literature. The framework developed will be used for building a catalogue of plans/pattern and variables' roles encountered in CS1 practice, in CS1 assessment, and in the literature on introductory programming; this catalogue will be the basis for designing new instructional/learning material for fostering strategic knowledge. The developed material will be used in one of our introductory programming courses and in peer tutoring activities for the students. The effectiveness will be tested evaluating students programming skills with a pre-test and a post-test, using a group as a treatment group and another one as control group.",10.1145/3372782.3408115,2020,Proceedings of the 2020 ACM Conference on International Computing Education Research,https://doi.org/10.1145/3372782.3408115,Design knowledge,design_knowledge.bib,acm,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Builds an inventory of plans and patterns and defines types of knowledge (syntactic/conceptual/strategic) in programming, engaging C2 and apparently defining constructs, warranting full-text confirmation.","The abstract centers on strategic knowledge, plans, and patterns in programming novices and may inventory or categorize these constructs, but the truncated abstract does not clearly confirm a literature-based synthesis or an explicit definition."
