paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason
0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)","Design rationale is a topic that implies different things to different people. To some it implies argumentation and frameworks for argumentation. To others it implies the documentation of design, like that required for many types of industrial or government work. Still others describe design rationale as the capture and potential reuse of nodal communication about design. These perspectives of design rationale use different representations, which influence their ability to capture and to retrieve and use information. We propose an integrated approach to design rationale where design communication is captured and, over time, incrementally structured into argumentation and other formalisms to enable improved retrieval and use of this information. Two systems, PHIDIAS and the Hyper-Object Substrate, are used to demonstrate: (1) how to capture and integrate a variety of design information, (2) how to support the structuring of unstructured information, and (3) how to use design information to actively support design.",,1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,Design rationale,design_rationale.csv,engineering_village,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Explicitly synthesizes differing perspectives on design rationale and proposes an integrated definitional approach, satisfying C2 and likely C3 about the construct of design rationale.","The paper treats design rationale as the topic and mentions integrating multiple perspectives, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed."
00781ed0e844,Cognitive Point of View in Recursive Design,Evan Barba,"Abstract The concept of scale is shared between systems science and design and, as a foundational element for systemic design theory and practice, provides a way to connect and share units of analysis between disciplines. To better connect these disciplines and begin a more rigorous, shared investigation of scale and hierarchy, I will illuminate the need and potential of a more explicit use of scale in problem formulation, theory and methods discussion, and design education. By discussing one well-known case study of sustainable design, I demonstrate how the designers’ process can be deconstructed using scale as an organizing concept. I then apply this analytical technique to the mundane example of a cup of coffee, to demonstrate some of the important generalizable properties of multiscale thinking in design. The most notable of these is the notion of cognitive point of view, which is grounded in second-order cybernetics and operates as a construct useful for understanding the dynamics between designer, design process, and designed object. Finally, the article argues that the concepts and topics found here should be taught explicitly to design students in practical ways, and researched formally as a subfield within the systemic design community as a method for recursive design.",,2019,"She Ji: The Journal of Design, Economics and Innovation",https://www.semanticscholar.org/paper/cd9c2c3812ad8a7feccea4741cea6b98dd33a007,Design theory,design_theory.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Discusses scale as a foundational construct for systemic design theory, connecting disciplines and offering conceptual framing, plausibly satisfying C2/C3 but needs full text to confirm.","This appears to be a conceptual discussion of scale in systemic design theory and design process using a case study, but the truncated abstract does not confirm a literature synthesis or explicit definition of a design-knowledge construct."
00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho","Despite the growing demand for professional graphic design knowledge, the tacit nature of design inhibits knowledge sharing. However, there is a limited understanding on the characteristics and instances of tacit knowledge in graphic design. In this work, we build a comprehensive set of tacit knowledge characteristics through a literature review. Through interviews with 10 professional graphic designers, we collected 123 tacit knowledge instances and labeled their characteristics. By qualitatively coding the instances, we identified the prominent elements, actions, and purposes of tacit knowledge. To identify which instances have been addressed the least, we conducted a systematic literature review of prior system support to graphic design. By understanding the reasons for the lack of support on these instances based on their characteristics, we propose design guidelines for capturing and applying tacit knowledge in design tools. This work takes a step towards understanding tacit knowledge, and how this knowledge can be communicated.",10.1145/3613904.3642886,2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3613904.3642886,Design Guidelines,design_guidelines.bib,acm|engineering_village|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Builds a comprehensive set of tacit knowledge characteristics via literature review and characterizes/defines tacit design knowledge in graphic design, satisfying C2 and likely C3.","The paper develops a VR Deceptive Game Design Assessment Guide based on a critical literature review, which indicates synthesis/categorization of design patterns, but the abstract does not clearly state an explicit adapted or original definition."
00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Petra H. M. Cremers; A. Wals; R. Wesselink; M. Mulder,"Educational design research yields design knowledge, often in the form of design principles or guidelines that provide the rationale or ‘know-why’ for the design of educational interventions. As such, design principles can be utilized by designers in contexts other than the research context in which they were generated. Although research has shown that quality support is important for design success, less is known about processes that promote utilization of design principles as the rationale for instructional design. In this study we therefore explored an intervention for promoting the utilization of a set of research-based design principles in educational practice. This intervention aimed to promote utilization through enhancing perceived usefulness of the design principles by design teams in various contexts. The set of design principles that was utilized by the design teams in this study underpins the design of so-called hybrid learning configurations that are situated at the interface between school and workplace. The intervention was developed from the perspective of boundary crossing theory and was conducted with four different design teams. It was evaluated by way of a questionnaire and a dialogue with members of the design teams. This boundary crossing intervention appeared to bring about the desired outcomes. Most of the design team members considered the set of design principles useful in several different ways and they expected that utilization of the principles would lead to an improved learning configuration.",,2016,Instructional Science,https://www.semanticscholar.org/paper/c789600c7369bddaf982676630fa98befecacde6,Design knowledge,design_knowledge.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Treats design principles/guidelines and their 'know-why' rationale as the object of study and characterizes them as design knowledge, satisfying C2 and likely C3; flagged to confirm definition in full text.","This paper centrally examines design knowledge and sketches in protocol studies, but the abstract does not clearly indicate a literature synthesis or explicit definition, so it should be advanced for full-text inspection."
013a50a2a9b4,Towards a Pattern Language for Creative Affordances,Zhu Dan; Kohls Christian,"This paper investigates the connection between affordance theory and pattern language in the design of hybrid creative spaces. It introduces the concept of ""creative affordance"" as a key mechanism that mediates the indirect relationship between design patterns and the creativity these spaces cultivate. Through a narrative review of literature from environmental psychology, human-computer interaction, architecture, and extended realities, this paper underscores the importance of affordance theory in understanding the dynamic interactions between humans and their physical and non-physical environments. The analysis reveals how integrating affordance theory with pattern language can result in more engaging, intuitive, and effective design solutions. Building on this notion, this paper proposes a framework for hybrid creative spaces that explains the relationship between hybrid environments, creative affordances, and creativity. Alexander's pattern language is shown to be both theoretically and practically relevant for design researchers and practitioners, particularly in addressing complex interdisciplinary challenges beyond physical space. While pattern language emphasizes the structural properties of design, affordance theory focuses on its usability and interaction potential. The findings contribute to existing knowledge on design creativity through the combined lens of affordance theory and pattern language.",,2024,European Conference on Pattern Languages of Programs,https://www.semanticscholar.org/paper/66dfe3ae172704590981a8b8dfd7bb15356ac248,Design Patterns,design_patterns.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,Narrative review connecting affordance theory and pattern language across disciplines (C2) and introduces its own definition of 'creative affordance' (C3).,"The paper's primary contribution is extending the digital twin concept to biointelligent production systems using technical design patterns, which is a system/modeling contribution rather than a study of design knowledge itself."
01467836cecf,Design principles for human-computer interfaces,"Norman, Donald A.","If the field of Human Factors in Computer Systems is to be a success it must develop design principles that are useful, principles that apply across a wide range of technologies. In the first part of this paper I discuss some the properties that useful principles should have. While I am at it, I warn of the dangers of the tar pits and the sirens of technology. We cannot avoid these dangers entirely, for were we to do so, we would fail to cope with the real problems and hazards of the field.The second part of the paper is intended to illustrate the first part through the example of tradeoff analysis. Any single design technique is apt to have its virtues along one dimension compensated by deficiencies along another. Tradeoff analysis provides a quantitative method of assessing tradeoff relations for two attributes xi and xj by first determining the User Satisfaction function for each, U(x), then showing how U(xi) trades off against U(xj). In general, the User Satisfaction for a system is given by the weighted sum of the User Satisfaction values for the attributes. The analysis is used to examine two different tradeoffs of information versus time and editor workspace versus menu size. Tradeoffs involving command languages versus menu-based systems, choices of names, and handheld computers versus workstations are examined briefly.",10.1145/800045.801571,1983,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/800045.801571,Design principles,design_principles.bib,acm,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Discusses properties that useful HCI design principles should have, defining and characterizing the construct as its topic of study.","The paper appears centrally concerned with design principles for human-computer interfaces and discusses properties of useful principles, but the abstract does not clearly show a literature-based synthesis or an explicit formal definition, so full text is needed."
0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,D. Chu; R. Li,"Rural design guidelines is one of the statutory instruments identifying and interpreting directions for rural development on the basis of the actual needs of rural development, securing and normalizing procedures of rural design, construction, and management, guiding and controlling environment and landscape features of the rural space. Guidance and control mechanisms have been respectively established in China and the U.S for rural development, for which rural design guidelines are critical evaluation references, guidance standards, and instruction documentations. This paper outputs a definition for rural design guidelines, and thoroughly analyzes 37 pieces of rural design guidelines from 15 states of the U.S and 44 pieces of guidelines from 15 Chinese provinces collected and sorted out by the authors. It intends to disclose the features and differences of Chinese and American rural design guidelines via the induction of guidance and control factors and the classified comparison of the guidelines, and to compare the guideline-making procedures and application mechanisms between the Chinese and American rural design guidelines under the different circumstances of rural development, in order to offer effective references for rural development practices and studies in different countries.",,2019,International Journal of Structural and Civil Engineering Research,https://www.semanticscholar.org/paper/af67c18e22e351362a73fa3cb1d997e238f8c3d7,Design Guidelines,design_guidelines.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Comparative study of rural design guidelines that appears to offer a definition and synthesize guidance mechanisms, plausibly satisfying C2 and C3; flagged to confirm in full text.","This comparative study centers rural design guidelines and appears to produce a definitional or comparative framework from existing Chinese and U.S. guidance, but any explicit adapted or original definition is truncated and cannot be confirmed from the abstract alone."
021b68e369b1,Live Coding Patterns and a Toolkit for Pure Data,Andrew R. Brown,"Creative activities often involve specific processes and techniques that reflect the unique nature of the activity. For live coders, these processes and techniques can be expressed as algorithms and functions in live coding languages. In many fields, these idiomatic processes are referred to as design patterns. Design patterns are important to understand because they can structure thought and direct users towards particular outcomes. This article examines the design patterns in live coding practices and languages, specifically focusing on the Live Coding Toolkit for Pure Data. Pure Data is a visual programming language, but few live coders have traditionally used it. This article explains how the Live Coding Toolkit allows Pure Data to effectively express the patterns of practice required for successful music live coding performance.",,2023,Organised Sound,https://www.semanticscholar.org/paper/eebd672cfc8af2495a4b3b5bc55787d56654c007,Design Patterns,design_patterns.csv,semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Examines design patterns in live coding practices and explicitly defines what design patterns are and their role, satisfying C2 and C3.","The paper's primary contribution is a taxonomy of hierarchical multi-agent system architectures and coordination mechanisms, which is an AI/software systems classification rather than a study of design knowledge about people, processes, or products."
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,"Kremer, Gerald (1); Peters, Ina (1); Bingoel, Berkay (1); Stark, Rainer (1)","A wide range of tools simplify product development, e. g. Knowledge-Based Engineering Systems (KBES). Many KBES draw on knowledge derived from DfX methods. The knowledge of these methods is often available in varying degrees of detail, arising from the explicit knowledge of experts and scientists. When passing on knowledge, product developers often do so in the form of easy-to-understand rules of thumb, so-called design heuristics (DH). However, published DH do not offer sufficient clarity and usability to be integrated in daily engineering practice. This paper describes the development of a standardized notation form to make DH describable as a first step towards automated integration into KBES and towards integrating implicit knowledge of designers in future MBSE models. © 2022 die Autoren.",10.35199/dfx2022.08,2022,"Proceedings of the 33rd Symposium Design for X, DFX 2022",,Design Heuristics,design_heuristics.csv,engineering_village|semantic_scholar,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Formalizes a standardized notation for design heuristics as knowledge, treating the DH construct as the topic and likely defining it, plausibly satisfying C2 and C3; flagged to confirm.","This is a systematic literature review analyzing how design heuristics and design principles are treated in DfAM literature, which satisfies synthesis, but no explicit definition is evident in the abstract so full-text review is needed for C3."
02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); Möller, F. (1, 3)","Data ecosystems are a novel inter-organizational form of cooperation. They require at least one data provider and one or more data consumers. Existing research mainly addresses generativity mechanisms in this relationship, such as business models or role models for data ecosystems. However, an essential prerequisite for thriving data ecosystems is high data quality in the shared data. Without sufficient data quality, sharing data might lead to negative business consequences, given that the information drawn from them or services built on them might be incorrect or produce fraudulent results. We tackle this issue precisely since we report on a multi-case study deploying data quality tools in data ecosystem scenarios. From these cases, we derive generalized prescriptive design knowledge as a design theory to make the knowledge available for others designing data quality tools for data sharing. Subsequently, our study contributes to integrating the issue of data quality in data ecosystem research and provides practitioners with actionable guidelines inferred from three real-world cases. All rights reserved Elsevier.",10.1016/j.datak.2024.102333,,Data & Knowledge Engineering,,Design knowledge,design_knowledge.csv,engineering_village,full,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,advance_criteria,TRUE,"Proposes a design theory with design principles for data quality tools from industry cases, plausibly synthesizing and defining design-knowledge constructs; flagged for full-text confirmation.","The paper proposes a new product development and design framework and mentions interactive innovation knowledge, but the abstract does not clearly show a literature-based synthesis or explicit definition, so full text would be needed to judge relevance."
