paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,keyword_conditioned_context,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers
9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,"Jit, Sophia and Leiva, Amanda and Bicksler, Rebecca and Soden, Robert","Weather risk communication is an interdisciplinary field of research that aims to understand how to communicate complex risk information related to extreme weather events to the general public to assist with safety-related decision-making. Web-based tools are increasingly important in risk communication, but the complexity of the topic creates difficulties for designers without prior domain experience. To help address this challenge, we used key findings from relevant scholarly literature to adapt Nielsen’s usability heuristics for use by designers working on web-based risk communication tools. We then evaluated and iterated on these heuristics through research with both risk communication experts and designers. Based on our results, we argue that the final set of heuristics we present in this paper are useful for supporting designers in identifying and addressing usability issues in web-based tools aimed at communicating severe weather risk information to the public.",10.1145/3715335.3735482,2025,Proceedings of the 2025 ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,https://doi.org/10.1145/3715335.3735482,Design Heuristics,design_heuristics.bib,acm|engineering_village|semantic_scholar,full,False,False,True,True,False,True,advance_criteria,True,"Adapts Nielsen's usability heuristics from scholarly literature into design heuristics for a new domain, satisfying both C2 (synthesis) and C3 (adaptation of an existing construct definition).","The paper adapts Nielsen’s existing usability heuristics for a specific design context using findings from relevant scholarly literature, so it both synthesizes prior work and explicitly adapts a design-knowledge construct.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-4.1074862,1.2160785,0.5497268806557847,10,False,10,3,0.9791048023441911,"heuristics, assistive, product, communication, generation, concept, tools, usability",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.7474074128143819}, {'paper_id': '022ee7cf2e4e', 'title': 'Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization', 'cluster': 1, 'distance': 0.766108447251348}, {'paper_id': '994d28d55eb8', 'title': 'From human factors to human actors to human crafters', 'cluster': 1, 'distance': 0.800932789635466}, {'paper_id': '95202402b15a', 'title': 'Enhancing creativity with domain-specific design heuristics for digital product innovation', 'cluster': 1, 'distance': 0.8135289994271262}, {'paper_id': 'c6955d14d66c', 'title': 'Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception', 'cluster': 0, 'distance': 0.8175362551396356}]"
994d28d55eb8,From human factors to human actors to human crafters,"Maceli, Monica and Atwood, Michael","Meta-design theory emphasizes that future use can never be entirely anticipated at design time, as users shape their environments in response to emerging needs; systems should therefore be designed to adapt to future conditions in the hands of end users. For most of human history, all design was meta-design; designers were also users, and the environments of design and use were one and the same. Technology introduced a divide between the skilled producers and unskilled consumers of technology, and between design time and use time. In our increasingly complex technological environments, tomorrow's meta-designers must be able to anticipate the environment in which the end users will work in order to provide the flexibility for users to craft their tools. By exploring and projecting forward current trends in technology use, we have identified key principles for meta-designers and suggest that using them as design heuristics will aid meta-designers in crafting systems for future end-users.",10.1145/1940761.1940775,2011,Proceedings of the 2011 IConference,https://doi.org/10.1145/1940761.1940775,Design Heuristics,design_heuristics.bib,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Discusses meta-design theory and articulates what meta-design means, plausibly synthesizing and defining a design-knowledge construct; flagged to verify.","This paper discusses a framework for experience design and design heuristics grounded in analysis of a mediascape experience, but the abstract does not clearly show synthesis from prior literature or an explicit definition, so full text is needed.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-3.4262493,1.5749766,0.5976786721968629,12,False,12,5,0.9754030080244046,"heuristics, products, focus, innovative, designs, concepts, future, existing",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': '17ad371dac5e', 'title': 'Rethinking User Interface and Experience Design: Heuristic Insights from Makeup and Stage Performance', 'cluster': 1, 'distance': 0.7952780071212237}, {'paper_id': '0512599e76df', 'title': ""What is the content of 'design thinking'? Design Heuristics as conceptual repertoire"", 'cluster': 1, 'distance': 0.7971621305925731}, {'paper_id': '9eecf23c4ce7', 'title': 'Design Heuristics for Web-Based Severe Weather Risk Communication', 'cluster': 1, 'distance': 0.800932789635466}, {'paper_id': '022ee7cf2e4e', 'title': 'Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization', 'cluster': 1, 'distance': 0.8564294171552667}, {'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.8638267819123219}]"
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,"Kremer, Gerald (1); Peters, Ina (1); Bingoel, Berkay (1); Stark, Rainer (1)","A wide range of tools simplify product development, e. g. Knowledge-Based Engineering Systems (KBES). Many KBES draw on knowledge derived from DfX methods. The knowledge of these methods is often available in varying degrees of detail, arising from the explicit knowledge of experts and scientists. When passing on knowledge, product developers often do so in the form of easy-to-understand rules of thumb, so-called design heuristics (DH). However, published DH do not offer sufficient clarity and usability to be integrated in daily engineering practice. This paper describes the development of a standardized notation form to make DH describable as a first step towards automated integration into KBES and towards integrating implicit knowledge of designers in future MBSE models. © 2022 die Autoren.",10.35199/dfx2022.08,2022,"Proceedings of the 33rd Symposium Design for X, DFX 2022",,Design Heuristics,design_heuristics.csv,engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Formalizes a standardized notation for design heuristics as knowledge, treating the DH construct as the topic and likely defining it, plausibly satisfying C2 and C3; flagged to confirm.","This is a systematic literature review analyzing how design heuristics and design principles are treated in DfAM literature, which satisfies synthesis, but no explicit definition is evident in the abstract so full-text review is needed for C3.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-3.5641377,0.7300567,0.44893718279639516,4,False,4,5,0.9773758706684921,"heuristics, products, focus, innovative, designs, concepts, future, existing",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': '0512599e76df', 'title': ""What is the content of 'design thinking'? Design Heuristics as conceptual repertoire"", 'cluster': 1, 'distance': 0.5964661521994401}, {'paper_id': '56dcde0a4f35', 'title': 'THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.', 'cluster': 1, 'distance': 0.7168232759721959}, {'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.7504175996575271}, {'paper_id': '7cb073ebacac', 'title': 'Formal system for the expression of target-oriented design heuristics', 'cluster': 1, 'distance': 0.7518609773721117}, {'paper_id': '9eecf23c4ce7', 'title': 'Design Heuristics for Web-Based Severe Weather Risk Communication', 'cluster': 1, 'distance': 0.766108447251348}]"
cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,"Hwang, Dongwook (1); Park, Woojin (2)","Design teams tasked with developing assistive products typically lack sufficient knowledge for generating and exploring different solution concepts. This knowledge deficiency problem hampers efficiently creating high-quality assistive products. To enhance assistive product concept generation, the current study proposed design aids called design heuristics sets for X (DHSfXs). A DHSfX is a collection of design heuristics that are likely to help assistive product designers produce solution concepts successfully meeting a particular design goal X. A development process of a DHSfX for assistive product design was presented. An example DHSfX for creating assistive products for one-handed persons was developed as an illustrative example. An empirical evaluation demonstrated the utility of the example DHSfX in enhancing the outcome of assistive product concept generation. © 2018 Elsevier Ltd",10.1016/j.destud.2018.04.003,2018,Design Studies,,Design Heuristics,design_heuristics.csv,engineering_village|semantic_scholar,full,False,False,True,True,False,True,advance_criteria,True,"Proposes and defines design heuristics sets for X as collections of design heuristics, treating the construct as topic of study and providing its own definition.","Focuses on proposing a design aid consisting of collections of design heuristics for assistive product generation, but the abstract does not clearly confirm a literature-based synthesis or explicit definition from title and abstract alone.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-5.519823,0.88508743,0.5565221000986812,11,False,11,3,0.9875348524339662,"heuristics, assistive, product, communication, generation, concept, tools, usability",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': 'cdd6de21b74b', 'title': 'Evidence-based design heuristics for idea generation', 'cluster': 1, 'distance': 0.7336234556933816}, {'paper_id': '95202402b15a', 'title': 'Enhancing creativity with domain-specific design heuristics for digital product innovation', 'cluster': 1, 'distance': 0.7382759518222739}, {'paper_id': '9f4dbd790fe7', 'title': 'Design Heuristics in Innovative Products', 'cluster': 1, 'distance': 0.7434890590401368}, {'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.8269111070410423}, {'paper_id': '022ee7cf2e4e', 'title': 'Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization', 'cluster': 1, 'distance': 0.8323078634135191}]"
7cb073ebacac,Formal system for the expression of target-oriented design heuristics,"Bonvoisin, J. (1); Buchert, T. (1); Stark, R. (1)","In design, it is generally neither possible to list all solutions to a given problem nor to prove whether a solution is optimal. In this context, guidance can be provided to designers in the form of heuristics, i.e. solutions validated by practice which have proven to lead towards satisfactory solutions but which are not guaranteed to be optimal or perfect. This article contributes to the development of supportive design tools by providing a first formal system for the expression of target-oriented design heuristics and their collection in consistent sets. © 2018 Faculty of Mechanical Engineering and Naval Architecture. All rights reserved.",10.21278/idc.2018.0120,2018,"Proceedings of International Design Conference, DESIGN",,Design Heuristics,design_heuristics.csv,engineering_village|semantic_scholar,full,False,False,True,True,False,True,advance_criteria,True,"Provides a formal system for expressing design heuristics and defines what heuristics are, satisfying both synthesis/definitional framework and an explicit definition.","Evaluates the use of additive-manufacturing design heuristics in workshops based on literature studies and observations, but it does not clearly synthesize or define design-knowledge constructs in the abstract.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-3.4375427,-0.2675458,0.4804494763433902,6,False,6,5,0.9760797666087511,"heuristics, products, focus, innovative, designs, concepts, future, existing",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': '0512599e76df', 'title': ""What is the content of 'design thinking'? Design Heuristics as conceptual repertoire"", 'cluster': 1, 'distance': 0.6534612539691513}, {'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.7052369746597569}, {'paper_id': '56dcde0a4f35', 'title': 'THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.', 'cluster': 1, 'distance': 0.7086474652364394}, {'paper_id': 'cdd6de21b74b', 'title': 'Evidence-based design heuristics for idea generation', 'cluster': 1, 'distance': 0.7512162097560394}, {'paper_id': '022ee7cf2e4e', 'title': 'Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization', 'cluster': 1, 'distance': 0.7518609773721117}]"
9f4dbd790fe7,Design Heuristics in Innovative Products,"Yilmaz, S.; Seifert, C. (1); Daly, S.R. (2); Gonzalez, R. (1)","Current design theory lacks a systematic method to identify what designers know that helps them to create innovative products. In the early stages of idea generation, designers may find novel ideas come readily to mind, or may become fixated on their own or existing products. This may limit the ability to consider more and more varied candidate concepts that may potentially lead to innovation. To aid in idea generation, we sought to identify 'design heuristics,' or 'rules of thumb,' evident in award-winning designs. In this paper, we demonstrate a content analysis method for discovering heuristics in the designs of innovative products. Our method depends on comparison to a baseline of existing products so that the innovative change can be readily identified. Through an analysis of key features and functional elements in the designs of over 400 award-winning products, 40 heuristic principles were extracted. These design heuristics are outlined according to their perceived role in changing an existing product concept into a novel design, and examples of other products using the heuristics are provided. To demonstrate the ease of use of these design heuristics, we examined outcomes from a classroom study and found that concepts created using design heuristics were rated as more creative and varied. The analysis of changes from existing to innovative products can provide evidence of useful heuristic principles to apply in creating new designs.",10.1115/1.4032219,,Journal of Mechanical Design,,Design Heuristics,design_heuristics.csv,engineering_village,full,False,False,True,True,False,True,advance_criteria,True,"Seeks to identify and define 'design heuristics'/'rules of thumb' via content analysis of award-winning designs, defining the construct and deriving it from a body of work.","This is a systematic review that culminates in evidence-based design heuristics, satisfying the synthesis criterion, but the abstract does not clearly state an original or adapted definition of the construct.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-4.8753777,0.58421713,0.46383267524398464,5,False,5,5,0.9922597103054211,"heuristics, products, focus, innovative, designs, concepts, future, existing",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': 'cdd6de21b74b', 'title': 'Evidence-based design heuristics for idea generation', 'cluster': 1, 'distance': 0.5709168189842634}, {'paper_id': '95202402b15a', 'title': 'Enhancing creativity with domain-specific design heuristics for digital product innovation', 'cluster': 1, 'distance': 0.7055311757038818}, {'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.7237099058954973}, {'paper_id': 'cd211147691a', 'title': 'Design heuristics set for X: A design aid for assistive product concept generation', 'cluster': 1, 'distance': 0.7434890590401368}, {'paper_id': '17ad371dac5e', 'title': 'Rethinking User Interface and Experience Design: Heuristic Insights from Makeup and Stage Performance', 'cluster': 1, 'distance': 0.7838847333785368}]"
0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,"Gray, Colin M. (1); Seifert, Colleen M. (2); Yilmaz, Seda (3); Daly, Shanna R. (4); Gonzalez, Richard (2)","When engaged in design activity, what does a designer think about? And how does she draw on disciplinary knowledge, precedent, and other strategies in her design process in order to imagine new possible futures? In this paper, we explore Design Heuristics as a form of intermediate-level knowledge that may explain how designers build on existing knowledge of 'design moves'-non-deterministic, generative strategies or heuristics-during conceptual design activity.Wedescribe a set of relationships between disciplinary training and the acquisition of such heuristics, and postulate how design students might accelerate their development of expertise. We conclude with implications for future research on the development of expertise, and the ways in which methods such as Design Heuristics can enhance this developmental process. © 2016 TEMPUS Publications.",,2016,International Journal of Engineering Education,,Design Heuristics,design_heuristics.csv,engineering_village|semantic_scholar,full,False,False,True,True,False,True,advance_criteria,True,"Explicitly conceptualizes Design Heuristics as a form of intermediate-level design knowledge and explores its relationship to disciplinary knowledge, satisfying both synthesis/categorization and definitional framing.","This is an empirical study of how designers use design heuristics across disciplines, not clearly a synthesis or definitional paper from the abstract, though the topic is central enough for full-text checking.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-3.930961,0.26856798,0.3883013591436857,2,True,2,5,0.9738908963575057,"heuristics, products, focus, innovative, designs, concepts, future, existing",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.5863277788193436}, {'paper_id': '022ee7cf2e4e', 'title': 'Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization', 'cluster': 1, 'distance': 0.5964661521994401}, {'paper_id': '7cb073ebacac', 'title': 'Formal system for the expression of target-oriented design heuristics', 'cluster': 1, 'distance': 0.6534612539691513}, {'paper_id': 'cdd6de21b74b', 'title': 'Evidence-based design heuristics for idea generation', 'cluster': 1, 'distance': 0.7196977439364516}, {'paper_id': '17ad371dac5e', 'title': 'Rethinking User Interface and Experience Design: Heuristic Insights from Makeup and Stage Performance', 'cluster': 1, 'distance': 0.7541369128225375}]"
cdd6de21b74b,Evidence-based design heuristics for idea generation,"Yilmaz, Seda (1); Daly, Shanna R. (2); Seifert, Colleen M. (2); Gonzalez, Richard (2)","How do product designers create multiple concepts to consider? To address this question, we combine evidence from four empirical studies of design process and outcomes, including award-winning products, multiple concepts for a project by an experienced industrial designer, and concept sets from 48 industrial and engineering designers for a single design problem. This compilation of over 3450 design process outcomes is analyzed to extract concept variations evident across design problems and solutions. The resulting set of patterns, in the form of 77 Design Heuristics, catalog how designers appear to introduce intentional variation into conceptual product designs. These heuristics provide ‘cognitive shortcuts’ that can help designers generate more, and more varied, candidate concepts to consider in the early phases of design. © 2016 The Authors",10.1016/j.destud.2016.05.001,2016,Design Studies,,Design Heuristics,design_heuristics.csv,engineering_village|semantic_scholar,full,False,False,True,True,False,True,advance_criteria,True,"Synthesizes evidence from four empirical studies to extract and catalog 77 Design Heuristics as patterns, defining the construct from prior bodies of work.","The study empirically examines use of design heuristics across disciplines rather than clearly synthesizing or defining them in the abstract, but design heuristics are central enough to warrant full-text review.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-5.259355,-0.03180715,0.44387459029961107,3,True,3,5,0.9853446073509399,"heuristics, products, focus, innovative, designs, concepts, future, existing",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': '9f4dbd790fe7', 'title': 'Design Heuristics in Innovative Products', 'cluster': 1, 'distance': 0.5709168189842634}, {'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.6661361995002193}, {'paper_id': '0512599e76df', 'title': ""What is the content of 'design thinking'? Design Heuristics as conceptual repertoire"", 'cluster': 1, 'distance': 0.7196977439364516}, {'paper_id': 'cd211147691a', 'title': 'Design heuristics set for X: A design aid for assistive product concept generation', 'cluster': 1, 'distance': 0.7336234556933816}, {'paper_id': '7cb073ebacac', 'title': 'Formal system for the expression of target-oriented design heuristics', 'cluster': 1, 'distance': 0.7512162097560394}]"
0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,"Torrens, G.E. (1)","This article reviews the use of dialogue and associated communication formats within the context of participatory or co-design decision-making processes in the development of assistive technologies. My professional experience as a designer, researcher, and educator suggested the dialogue among the designer, end-user, and associated stakeholders is critical to effective and economic product development. The research I report on here is a systematic analysis of that understanding. First, I conducted a literature review which established that there was no standard meaning for the term “dialogue.” The literature review highlighted the challenges of reduced options for communication through the compounding constraints of culture, language, and impairment. I then conducted a summative content analysis on twenty case studies to identify and define the terminology and points to consider in collaborative dialogue between designers and people who need assistive technologies. This analysis led to the development of a taxonomy of communication formats matched to specific sensory inputs and these have been structured to work as a heuristic design tool. Of the forty-one formats defined, around two-thirds were used in the literature reviewed. Notably, more than half the studies used just over a quarter of the formats. The definitions of dialogue and the design heuristics I put forward in this paper require further debate and refinement to be effective to wider applications. [All rights reserved Elsevier].",10.1016/j.sheji.2018.01.001,,"She Ji: The Journal of Design, Economics, and Innovation",,Design Heuristics,design_heuristics.csv,engineering_village,full,False,False,True,True,False,True,advance_criteria,True,"Conducts a literature review and produces a taxonomy of communication formats, and explicitly establishes a definition for 'dialogue' that had no standard meaning, satisfying both C2 and C3.","The paper reviews dialogue/communication formats in assistive-technology co-design, conducts a systematic literature analysis, and explicitly states that the review found no standard meaning for 'dialogue,' indicating definitional work alongside taxonomy building.",,0,Design heuristics,tfidf-svd,overall,kmeans,0,"dialogue, formats, communication, literature review, taxonomy, associated, assistive technologies, conducted",-4.360191,2.0844386,0.0002812633013680177,2,True,1,1,0.9963824244164827,"dialogue, formats, communication, analysis, literature, assistive, heuristics, technologies",Co-design / Literature Review / Assistive Technologies,"This cluster focuses on dialogue, formats, involving Designers, using Co-design as the main methodological or conceptual lens, with recurring attention to Tool, with contribution types coded as Artifact/System, Taxonomy/Review.",,Designers,Co-design,Tool,"Artifact/System, Taxonomy/Review","[{'paper_id': 'c6955d14d66c', 'title': 'Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception', 'cluster': 0, 'distance': 0.001124894987382108}, {'paper_id': '9eecf23c4ce7', 'title': 'Design Heuristics for Web-Based Severe Weather Risk Communication', 'cluster': 1, 'distance': 0.8197348945420486}, {'paper_id': 'cd211147691a', 'title': 'Design heuristics set for X: A design aid for assistive product concept generation', 'cluster': 1, 'distance': 0.8561541733335252}, {'paper_id': '95202402b15a', 'title': 'Enhancing creativity with domain-specific design heuristics for digital product innovation', 'cluster': 1, 'distance': 0.8955257920573592}, {'paper_id': '56dcde0a4f35', 'title': 'THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.', 'cluster': 1, 'distance': 0.9097657119424964}]"
56dcde0a4f35,THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.,"Koen, B.V. (1)","For purposes of this article the Engineering Method will be defined as the use of engineering heuristics to cause the best change in a poorly understood situation within the available resources. In this widely accepted definition of engineering, the word heuristic is taken as anything that provides a plausible aid or direction in the solution of a problem but is in the final analysis unjustified, incapable of justification, and fallible. A convenient near-synonym for the heuristic is the engineering rule of thumb. Since a single heuristic is seldom used by an engineering in isolation, we define a second important technical term the state-of-the-art as a collection of heuristics appropriate for the design of a specific product at a given time. The objective of the present article is to compare engineering design in various countries using the given definitions of engineering method and state-of-the-art. Specific examples will be given of engineering design heuristics that are different in Russia, England, France, Japan, and the United States. This comparison forms a defensible basis upon which to define such important terms as international competitiveness, productivity, technology transfer, and relative technological advance.",,1987,,,Design Heuristics,design_heuristics.csv,engineering_village,full,False,False,True,True,False,True,advance_criteria,True,"Defines the engineering method and heuristics as its topic, providing explicit definitions of heuristics/rules of thumb, satisfying both C2 and C3.","The abstract explicitly defines the Engineering Method and heuristics/rules of thumb, satisfying C3, but from the truncated abstract it is unclear whether the paper synthesizes or categorizes design knowledge from prior literature, so C2 cannot be confirmed without full text.",,0,Design heuristics,tfidf-svd,overall,kmeans,1,"heuristics, engineering, products, concept, generation, focus, risk, tools",-3.000562,0.21058995,0.5258898042699491,8,False,8,0,0.9855951872498786,"engineering, heuristics, given, article, analysis, focus, important, examples",Heuristics / Engineering / Products,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Empirical, Methodological, Theoretical.",Education / Learning,Designers,,,"Empirical, Methodological, Theoretical","[{'paper_id': '7cb073ebacac', 'title': 'Formal system for the expression of target-oriented design heuristics', 'cluster': 1, 'distance': 0.7086474652364394}, {'paper_id': '022ee7cf2e4e', 'title': 'Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization', 'cluster': 1, 'distance': 0.7168232759721959}, {'paper_id': '0512599e76df', 'title': ""What is the content of 'design thinking'? Design Heuristics as conceptual repertoire"", 'cluster': 1, 'distance': 0.7859637489056025}, {'paper_id': '17ad371dac5e', 'title': 'Rethinking User Interface and Experience Design: Heuristic Insights from Makeup and Stage Performance', 'cluster': 1, 'distance': 0.7944992071557458}, {'paper_id': 'ba2ae8bf282a', 'title': ""Design Heuristics: Extraction and Classification Methods With Jet Propulsion Laboratory's Architecture Team"", 'cluster': 1, 'distance': 0.8309897893972713}]"
