paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,keyword_conditioned_context,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers
0a373ca87142,Surveying a Landscape of Ethics-Focused Design Methods,"Chivukula, Shruthi Sai and Gray, Colin and Li, Ziqing and Pivonka, Anne C. and Chen, Jingning","Over the past decade, HCI researchers and practitioners have increasingly addressed ethics-focused issues through a range of theoretical, methodological, and pragmatic contributions to the field. While many forms of design knowledge have been proposed and described, we focus explicitly on knowledge that has been codified as “methods,” which we define as structured supports for everyday work practices of designers. In this article, we identify, analyze, and map a collection of 63 existing methods intentionally designed for ethical impact. Building on results of a content analysis of these methods, we contribute a descriptive record of how these methods operationalize ethics, their intended audience or context of use, their “core” or “script,” and the means by which these methods are formulated and codified. Building on these results, we provide an initial definition of ethics-focused methods, identifying potential opportunities for the development of future methods to support ethical design practice.",10.1145/3678988,2024,ACM J. Responsib. Comput.,https://doi.org/10.1145/3678988,Design methods,design_methods.bib,acm,full,False,False,True,True,False,True,advance_criteria,True,Surveys and maps 63 ethics-focused design methods via content analysis (C2) and explicitly defines methods as structured supports for designers' work practices (C3).,"The abstract reports three design methods for AR in a historical site, but it is unclear from the provided text whether these are synthesized from prior work or explicitly defined as design-knowledge constructs, warranting full-text review.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,8.283099,4.9882455,,-1,True,-1,1,0.986903524165834,"focus, methods methods, functional, complexity, tasks, field, psychological, artifacts",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': -1, 'distance': 0.7693936600086448}, {'paper_id': '9fbb38d67689', 'title': 'Analysis of methods of creating new technical systems', 'cluster': -1, 'distance': 0.7812068702607676}, {'paper_id': '878cf959ac53', 'title': 'Designerly Research Methods and Researcherly Design Methods', 'cluster': -1, 'distance': 0.7873965884856369}, {'paper_id': '6e06768bb26b', 'title': 'Design as Research in Landscape Architecture', 'cluster': -1, 'distance': 0.7908873141719749}, {'paper_id': 'da2bb1488305', 'title': 'Rigor in MIS Survey Research: In Search of Ideal Survey Methodological Attributes', 'cluster': -1, 'distance': 0.8106304147124915}]"
b2234ef79a5a,Tracing situated effects of innovative design methods: inexperienced designers' practices,"Lee, Jung-Joo and Vaajakallio, Kirsikka and Mattelm\""aki, Tuuli","In recent years the design research community has been active in developing new methods for user involvement and collaboration in the design process. The new methods, often called innovative design methods, correspond more to designer's genuine ways of thinking and working than do traditional user-centered ones. The entire purpose of innovative method is to allow for designer's creativity in the design of method and reflective learning, instead of relying on predefined rules of method. For this reason, codification and scientific evaluation are often regarded very challenging, if meaningful at all. This leads us to raise a question; what could be relevant ways of framing and communicating innovative design methods to better capture their nature and value?As one attempt to explore this question, our study takes a close look at inexperienced designers' practices with innovative methods, such as probes or co-design workshops. We chose students as research subjects because their situated actions -- and the challenges they face in understanding and applying these methods -- reveal just kind of knowledge about the innovative methods that needs to be communicated. To do this, we analyzed students' learning diaries written during the design course. When the students reported uncertainties and disappointments due to 'ill-defined' nature of such methods, we were able to trace the reasons for disappointments. We also found that the innovative design methods in fact supported the students for empathic learning and design inspiration from the making process of the methods.",10.1145/2079216.2079231,2011,Procedings of the Second Conference on Creativity and Innovation in Design,https://doi.org/10.1145/2079216.2079231,Design methods,design_methods.bib,acm|engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Discusses and characterizes 'innovative design methods' as a construct distinct from traditional methods, plausibly synthesizing and defining them; flagged for full-text confirmation.","Analyzes Value Sensitive Design and Participatory Design as methodological frameworks for ethical persuasive technology, plausibly engaging design-method knowledge, but the abstract does not clearly confirm a literature synthesis or explicit definition without full text.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,9.311256,5.7952466,,-1,True,-1,2,0.9910039111860958,"focus methods, centred, innovative, participatory, students, practices, literature, concept",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': -1, 'distance': 0.8070680871850137}, {'paper_id': '4592ed134f14', 'title': 'The relation between brain-learning physiology and conceptualization methods in the design process of architecture students1', 'cluster': -1, 'distance': 0.8180434646739144}, {'paper_id': 'bee7b59885fa', 'title': 'Adapting the FBS Model of Designing for Usage-Driven Innovation Processes', 'cluster': -1, 'distance': 0.8185936138088856}, {'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': -1, 'distance': 0.8364422508372591}, {'paper_id': '9fbb38d67689', 'title': 'Analysis of methods of creating new technical systems', 'cluster': -1, 'distance': 0.8394441793680651}]"
5611cdb5c33a,Generating implications for design through design research,"Sas, Corina and Whittaker, Steve and Dow, Steven and Forlizzi, Jodi and Zimmerman, John","A central tenet of HCI is that technology should be user-centric, with designs being based around social science findings about users. Nevertheless a repeated but critical challenge in design is translating empirical findings into actionable ideas that inform design, or generating implications for design. Despite various design methods aiming to bridge this gap, knowledge informing design is still seen as problematic. However there has been little empirical exploration into what design researchers understand by such design knowledge, the functions and principles behind their creation. We report on interviews with twelve expert HCI design researchers probing the roles and types of design implications, and the process of generating and evaluating them. We synthesize different types of design implications into a framework to guide their generation. Our findings identify a broader range than previously described, additional sources and heuristics supporting their development as well some important evaluation criteria. We discuss the value of these findings for interaction design research.",10.1145/2556288.2557357,2014,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/2556288.2557357,Design methods,design_methods.bib,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Empirically explores what design researchers understand by design knowledge, its functions and principles, treating design knowledge as the topic of study and likely offering definitional framing.","The paper appears to study what design researchers understand by implications-for-design as a form of design knowledge, but the truncated abstract does not clearly confirm a synthesis from prior work or an explicit definition, so it should be checked in full text.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,7.6363826,5.594511,,-1,True,-1,4,0.9878521799498361,"focus, methods methods, embodied, architectural, concept, flexibility, structures, systemic",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '1c04ffa25528', 'title': 'The implications of improvisational acting and role-playing on design methodologies', 'cluster': -1, 'distance': 0.7660726635699887}, {'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': -1, 'distance': 0.8757657253689639}, {'paper_id': 'da2bb1488305', 'title': 'Rigor in MIS Survey Research: In Search of Ideal Survey Methodological Attributes', 'cluster': -1, 'distance': 0.9066141613148424}, {'paper_id': '60c69d24c5a3', 'title': 'Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework', 'cluster': -1, 'distance': 0.906662679441089}, {'paper_id': 'bee7b59885fa', 'title': 'Adapting the FBS Model of Designing for Usage-Driven Innovation Processes', 'cluster': -1, 'distance': 0.9082344238169577}]"
7ebbe03ea0d8,Autobiographical design in HCI research: designing and learning through use-it-yourself,"Neustaedter, Carman and Sengers, Phoebe","Designing a system with yourself as a target user and evaluating the design through your own self-usage is commonly considered a questionable approach in HCI research. Perhaps for this reason, HCI research including extensive self-usage of a design is underdocumented. Yet such self-usage does happen and many researchers have found great value in the lessons learned from it. Our goal in this paper is to bring these hidden practices to light and offer guidelines for how HCI researchers can usefully engage in what we term 'autobiographical design'---design research drawing on extensive, genuine usage by those creating or building a system. Through interviews with HCI experts who have engaged in variations of autobiographical design, we draw out the possibilities and limitations of autobiographical design methods and lay out best practices for its use as an HCI research method.",10.1145/2317956.2318034,2012,Proceedings of the Designing Interactive Systems Conference,https://doi.org/10.1145/2317956.2318034,Design methods,design_methods.bib,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Documents hidden self-usage practices, defines and offers guidelines for the construct 'autobiographical design' as a design research method, suggesting C2 and C3; flagged to confirm in full text.","Treats autobiographical design as the topic, brings hidden practices to light, and offers guidelines while explicitly naming and framing the construct, satisfying synthesis/categorization and definitional adaptation criteria.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,10.040784,5.519121,,-1,True,-1,2,0.9829240056851631,"focus methods, centred, innovative, participatory, students, practices, literature, concept",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '5ba50396ff25', 'title': 'What is a Convention in Interactive Narrative Design?', 'cluster': -1, 'distance': 0.8440174863592087}, {'paper_id': '1416cd2b88de', 'title': 'Cross-disciplinary system value overview towards value-oriented design', 'cluster': -1, 'distance': 0.8661095572140687}, {'paper_id': 'b2234ef79a5a', 'title': ""Tracing situated effects of innovative design methods: inexperienced designers' practices"", 'cluster': -1, 'distance': 0.8777698240042019}, {'paper_id': '60c69d24c5a3', 'title': 'Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework', 'cluster': -1, 'distance': 0.8790440374389009}, {'paper_id': '714b3f6f8ac7', 'title': 'Degrees of Interaction: Towards a Classification', 'cluster': -1, 'distance': 0.8833596378641994}]"
1c04ffa25528,The implications of improvisational acting and role-playing on design methodologies,"Medler, Ben and Magerko, Brian","For decades designers have used theatre metaphors to describe design methodologies and have used performance techniques to enhance the design process, two of which are improvisational acting and role-playing. Unfortunately, most design literature does not differentiate between these two practices even while using them in combination with various design methods. This paper discusses how improvisation and role-playing have been employed during the design process and why they are distinct from one another. The authors draw upon their current research involving improvisational acting and compare it with other role-playing research which examines role-playing from both a serious and entertainment angle. They conclude through this comparison that both performance techniques have their place in the design process and that more informed definitions of each technique can aid designers in deciding which technique's properties will benefit them the most.",10.1145/1753326.1753398,2010,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/1753326.1753398,Design methods,design_methods.bib,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Discusses and differentiates design methodologies (improvisation vs role-playing) from literature and defines their distinction, plausibly satisfying C2/C3; flagged to confirm.","The paper explicitly discusses how improvisation and role-playing have been employed in design methodologies and distinguishes these practices, indicating categorization/synthesis of method constructs, but any formal definition is not clear from the abstract alone.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,7.3392015,5.3346643,,-1,True,-1,4,0.5863879680594115,"focus, methods methods, embodied, architectural, concept, flexibility, structures, systemic",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '5611cdb5c33a', 'title': 'Generating implications for design through design research', 'cluster': -1, 'distance': 0.7660726635699887}, {'paper_id': '94347a49c12b', 'title': 'Using System Dynamics to Construct Design Theory for Community Information Systems', 'cluster': -1, 'distance': 0.8915951235784356}, {'paper_id': '9fbb38d67689', 'title': 'Analysis of methods of creating new technical systems', 'cluster': -1, 'distance': 0.8962770212250124}, {'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': -1, 'distance': 0.8979893716385313}, {'paper_id': '6e06768bb26b', 'title': 'Design as Research in Landscape Architecture', 'cluster': -1, 'distance': 0.9002385824405742}]"
7e095752d24c,Think-4-EmCoDe framework: Highlighting key qualities in embodied co-design techniques for children,"Schaper, M.-M. (1); Márquez Segura, E. (2); Malinverni, L. (3); Pares, N. (4)","Embodied, co-design and children-specific methods have been gaining traction in Interaction Design for Children, and their potential and benefits are well-established. Yet methods at the intersection of all three areas are scarcer. In addition, design researchers lack tools for the analysis and adaptation of existing methods, and the creation of new ones to suit the particularities of the design project at hand. Here, we present theThink-4-EmCoDe frameworkfor the design and analysis of embodied co-design methods and techniques for children, which foregrounds key qualities in embodied interaction design research:(1) embodied awareness; (2) reflective imaginary; (3) emergence; (4) embodied memory; (5) situated relationality; (6) contingency; (7) playful engagement; (8) play practice; (9) developmental scaffolds; and (10) social dialogue.The framework has been developed drawing from several theories, methods, and frameworks in the areas of co-design and embodied design approaches. This framework allows designers to focus on both general design qualities for embodied experiences and the specific child perspective. We illustrate the use of the framework through the analysis of three design techniques and discuss its potential as an inspirational tool to understand, adapt and refine embodied co-design techniques for children. All rights reserved Elsevier.",10.1016/j.ijhcs.2023.103065,,International Journal of Human-Computer Studies,,Design methods,design_methods.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Presents a framework foregrounding key qualities for analyzing and creating embodied co-design methods for children, treating design methods as the topic and likely defining its constructs.","Presents a framework for designing and analyzing embodied co-design methods for children, making design methods central, but the abstract does not clearly show a literature-based synthesis of design knowledge or an explicit definition, so full-text review is needed.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,8.212361,5.4514737,,-1,True,-1,4,0.9900332055128797,"focus, methods methods, embodied, architectural, concept, flexibility, structures, systemic",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': -1, 'distance': 0.796887700540813}, {'paper_id': 'dbf31702e533', 'title': 'Patterns for living lab practice: describing key know-how to promote service co-creation with users', 'cluster': -1, 'distance': 0.85823387197245}, {'paper_id': 'bee7b59885fa', 'title': 'Adapting the FBS Model of Designing for Usage-Driven Innovation Processes', 'cluster': -1, 'distance': 0.8709609975978005}, {'paper_id': '66218ff443f6', 'title': 'Deliberated Evolution: Stalking the View Matcher in Design Space', 'cluster': -1, 'distance': 0.8736708133948181}, {'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': -1, 'distance': 0.888321870582078}]"
60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework,"Cash, Philip (1); Daalhuizen, Jaap (2); Hekkert, Paul (3)","The increasingly transdisciplinary context of design, where designers collaborate with other disciplinary and domain experts, means there is a growing need to evidence the effectiveness of design methods. We address this need in two ways. First, we propose a ‘chain of evidence’, from motivation to claims, operationalising this in a systematic assessment framework. Second, we systematically review current design method research. Our results reveal that while all links in the chain of evidence are reported across the literature and best practices can be identified, no individual paper either reports all links or consistently achieves best practice. Our framework and results demonstrate the need for standards of evidence in this area, with implications for design method research, development, education, and practice. © 2023 The Authors",10.1016/j.destud.2023.101204,2023,Design Studies,,Design methods,design_methods.csv,engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Systematically reviews design method research and proposes an assessment framework treating design methods as the topic of study, satisfying C2 and likely defining method efficacy/effectiveness constructs.","This paper systematically reviews design method research and proposes an assessment framework, so it clearly synthesizes a body of work about design methods, but the abstract does not clearly state an explicit definition or adaptation of a design-knowledge construct.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,8.45994,6.2491517,,-1,True,-1,1,0.9864808443514804,"focus, methods methods, functional, complexity, tasks, field, psychological, artifacts",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': -1, 'distance': 0.7682155399424564}, {'paper_id': '0a373ca87142', 'title': 'Surveying a Landscape of Ethics-Focused Design Methods', 'cluster': -1, 'distance': 0.852283069124194}, {'paper_id': '40a2d86cd488', 'title': 'Elements of a design method - a basis for describing and evaluating design methods', 'cluster': -1, 'distance': 0.8557402767693774}, {'paper_id': '5389fb1cc38b', 'title': 'Elements of a design method – a basis for describing and evaluating design methods', 'cluster': -1, 'distance': 0.8594950932743031}, {'paper_id': 'b2234ef79a5a', 'title': ""Tracing situated effects of innovative design methods: inexperienced designers' practices"", 'cluster': -1, 'distance': 0.8779702486887373}]"
b5d968168f35,A Framework of Design Method Corroboration,"Thoring, Katja (1); Mueller, Roland M. (2); Lecuna, Alejandro (3); Badke-Schaub, Petra (4)","Practitioners design artifacts of different kinds. Researchers and practitioners both create methods for designing such artifacts. The question arises whether those methods are actually valid and useful. In this conceptual paper, we argue that there is a need for 'method corroboration'-the deliberate and reflected use and possible validation of a design method. We present a literature review of method corroboration in the IS and more specifically in the DSR literature. The findings are summarized as a conceptual model outlining eight strategies of method use, which are then condensed into a 2-by-2 framework of method corroboration. The results of this paper present insight into the current state of method corroboration in the DSR field and provide guidance for working with design methods in research and practice. © 2023 IEEE Computer Society. All rights reserved.",,2023,Proceedings of the Annual Hawaii International Conference on System Sciences,,Design methods,design_methods.csv,engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Conceptual paper reviewing method corroboration in IS/DSR literature and presenting a conceptual model defining strategies of method use, satisfying C2 and likely C3.","This conceptual paper explicitly reviews prior literature on method corroboration, synthesizes it into a conceptual model and framework, and defines 'method corroboration' in the context of design methods.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,8.24898,6.2690477,,-1,True,-1,2,0.9860093367219461,"focus methods, centred, innovative, participatory, students, practices, literature, concept",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '40a2d86cd488', 'title': 'Elements of a design method - a basis for describing and evaluating design methods', 'cluster': -1, 'distance': 0.7027491497421581}, {'paper_id': '5389fb1cc38b', 'title': 'Elements of a design method – a basis for describing and evaluating design methods', 'cluster': -1, 'distance': 0.7105065511471491}, {'paper_id': '60c69d24c5a3', 'title': 'Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework', 'cluster': -1, 'distance': 0.7682155399424564}, {'paper_id': '66218ff443f6', 'title': 'Deliberated Evolution: Stalking the View Matcher in Design Space', 'cluster': -1, 'distance': 0.8150172327389209}, {'paper_id': '27b32c0d515d', 'title': 'Advancing service design research with design science research', 'cluster': -1, 'distance': 0.8238232074543215}]"
40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,"Gericke, K. (1); Eckert, C. (2); Stacey, M. (3)","Method development is at the heart of design research as methods are a formalised way to express knowledge about how aspects of design could or should be done. However, assuring that methods are in fact used in industry has remained a challenge. Industry will only use methods that they can understand and that they feel will give them benefit reliably. To understand the challenges involved in adopting a method, the method needs to be seen in context: it does not exist in isolation but forms a part of an ecosystem of methods for tackling related design problems. A method depends on the knowledge and skills of the practitioners using it: while a description of a method is an artefact that is a formalisation of engineering knowledge, a method in use constitutes a socio-technical system depending on the interaction of human participants with each other as well as with the description of the method, representations of design information and, often, tools for carrying out the method's tasks. This paper argues that crucial factors in the adoption of methods include how well they are described and how convincingly they are evaluated. The description of a method should cover itscore idea, therepresentationsin which design information is described, theprocedureto be followed, itsintended use, and thetoolsit uses. The account of a method's intended use should cover itspurpose, the situations or product types within itsscope, itscoverageof kinds of problems within its scope, itsexpected benefitandconditionsfor its use. The different elements need to be evaluated separately as well as the method as an integrated whole. While verification and validation are important for some elements of methods, it is rarely possible to prove the validity of a method. Rather the developers of methods need to gather sufficient evidence that a method will work within a clearly articulated scope. Most design methods do not have binary success criteria, and their usefulness in practice depends as much on simplicity and usability as on the outcomes they produce. Evaluation should focus on how well they work, and how they can be customised and improved.",10.1017/dsj.2022.23,,Design Science,,Design methods,design_methods.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Studies design methods as formalized knowledge and proposes elements to describe/evaluate them, satisfying C2 and likely defining method constructs, warranting full-text review.","The paper appears to analyze and describe elements of design methods as a basis for evaluating methods, suggesting design knowledge is central, but the truncated abstract does not clearly confirm a literature synthesis or explicit definition.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,7.9504766,5.9103274,,-1,True,-1,3,0.9969396926050821,"elements, description, scope, focus, problems, understand, need, described",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '5389fb1cc38b', 'title': 'Elements of a design method – a basis for describing and evaluating design methods', 'cluster': -1, 'distance': 0.0002487564436877143}, {'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': -1, 'distance': 0.7027491497421581}, {'paper_id': '9fbb38d67689', 'title': 'Analysis of methods of creating new technical systems', 'cluster': -1, 'distance': 0.8068159913982275}, {'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': -1, 'distance': 0.8539868739321921}, {'paper_id': '60c69d24c5a3', 'title': 'Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework', 'cluster': -1, 'distance': 0.8557402767693774}]"
d330bde18c87,Languaging design methods,"Gray, C.M. (1)","Design methods have been integral to design studies research, with initial goals of bringing rationality and objectivity to design activities, later shifting to the creation and provision of methods as tools to encourage more reflective, meaningful, and socially responsible design practices. However, little research exists that describes how methods are created, what knowledge is used to inform this creation, or connects elements of methods to performance by designers. In this research note, I describe performative, codification-oriented, and presentation-oriented stances towards design methods, articulating a vocabulary that languages aspects of methods. I describe areas where this vocabulary may support design researchers, including building new design methods, informing descriptive accounts of methods in use, and supporting the creation of a theory of method. All rights reserved Elsevier.",10.1016/j.destud.2021.101076,,Design Studies,,Design methods,design_methods.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Examines how design methods are created and the knowledge informing them, and proposes its own stances/definitions of design methods, plausibly satisfying C2 and C3.","Although this research note appears centrally concerned with design methods and describes stances toward them, the abstract does not clearly state that these stances are synthesized from prior literature or that it explicitly defines a design-knowledge construct, so it should be checked in full text.",,0,Design methods,tfidf-svd,overall,hdbscan,-1,noise / outliers,7.925277,5.111901,,-1,True,-1,4,0.9850322637748632,"focus, methods methods, embodied, architectural, concept, flexibility, structures, systemic",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '0a373ca87142', 'title': 'Surveying a Landscape of Ethics-Focused Design Methods', 'cluster': -1, 'distance': 0.7693936600086448}, {'paper_id': '7e095752d24c', 'title': 'Think-4-EmCoDe framework: Highlighting key qualities in embodied co-design techniques for children', 'cluster': -1, 'distance': 0.796887700540813}, {'paper_id': 'b2234ef79a5a', 'title': ""Tracing situated effects of innovative design methods: inexperienced designers' practices"", 'cluster': -1, 'distance': 0.8070680871850137}, {'paper_id': '878cf959ac53', 'title': 'Designerly Research Methods and Researcherly Design Methods', 'cluster': -1, 'distance': 0.8078762154647215}, {'paper_id': '9fbb38d67689', 'title': 'Analysis of methods of creating new technical systems', 'cluster': -1, 'distance': 0.822849932576216}]"
