paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,keyword_conditioned_context,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers
dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,"Joers, Julian Marvin and De Luca, Ernesto William","The demand for a design for productivity and efficiency of technology is increasingly giving way to the demand for eudaimonic well-being (EWB) focusing on the support of user’s authenticity, excellence, meaning, and growth. Especially in human-computer interaction (HCI), the question is how EWB can be stimulated in its facets. In this provocative paper, we present the Eudaimonic User Experience (EUX) and its design rules and artifacts that we have derived based on previous work from HCI and psychology. The design rules are primarily intended to serve as a basis for discussing the possibility of focusing on alternative design beyond the current doctrines of simplicity, gradualism, and ease of use, which could be more human-centered than the aforementioned principles.",10.1145/3656156.3663737,2024,Companion Publication of the 2024 ACM Designing Interactive Systems Conference,https://doi.org/10.1145/3656156.3663737,Design Rules,design_rules.bib,acm|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Derives design rules for eudaimonic UX from prior HCI and psychology work (C2) and appears to define EUX constructs, though provocative-paper format and definitional specifics warrant full-text check.","It presents EUX design rules and artifacts derived from prior HCI and psychology work, indicating synthesis of design-knowledge constructs, but the abstract does not clearly state an explicit definition or adapted definition.",,0,Design rules,tfidf-svd,overall,kmeans,3,"error, eudaimonic, rules, demand, focusing, engineering, ewb, minimize",7.335532,20.88185,0.10671701265695921,1,True,1,0,0.9535396389438224,"rules, focus, interfaces, platforms, review, science, advances, emerging",Error / Eudaimonic / Rules,"This cluster focuses on error, eudaimonic, with recurring attention to Tool, with contribution types coded as Artifact/System.",,,,Tool,Artifact/System,"[{'paper_id': '8aeb26c1e21d', 'title': 'Steps toward a cognitive engineering: Design rules based on analyses of human error', 'cluster': 3, 'distance': 0.40409100904698625}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.5704650569846395}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.660739384662571}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.7063490965011509}, {'paper_id': '892ad7622adf', 'title': 'Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture', 'cluster': 4, 'distance': 0.762107890507326}]"
8aeb26c1e21d,Steps toward a cognitive engineering: Design rules based on analyses of human error,"Norman, Donald A.","This paper uses the analysis of human error to provide a tool for the development of principles of system design, both to minimize the occurrence of error and to minimize its effects. Eventually, it should be possible to establish a systematic set of guidelines, with explicit, quantitative cost-benefit tradeoffs that can lead toward a design discipline—a “Cognitive Engineering.” This short note starts the process.",10.1145/800049.801815,1982,Proceedings of the 1982 Conference on Human Factors in Computing Systems,https://doi.org/10.1145/800049.801815,Design Rules,design_rules.bib,acm|engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Analyzes human error to derive principles and guidelines for system design (Cognitive Engineering), synthesizing and proposing design knowledge constructs.","The paper centrally concerns design principles/guidelines derived from human error analysis, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed.",,0,Design rules,tfidf-svd,overall,kmeans,3,"error, eudaimonic, rules, demand, focusing, engineering, ewb, minimize",8.0439,20.8958,0.10671701265695921,2,True,2,3,0.955965389703833,"rules, architecture, interfaces, focus, modular, modularity, key, presented",Error / Eudaimonic / Rules,"This cluster focuses on error, eudaimonic, with recurring attention to Tool, with contribution types coded as Artifact/System.",,,,Tool,Artifact/System,"[{'paper_id': 'dbc171dde63a', 'title': 'Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted', 'cluster': 3, 'distance': 0.40409100904698625}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.6412897051085811}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.7675586547566458}, {'paper_id': '892ad7622adf', 'title': 'Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture', 'cluster': 4, 'distance': 0.7849991045491532}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.7981848150625034}]"
2a22a314dcfb,Studying Software Architecture Through Design Spaces and Rules,"Lane, T. G.","This report argues that the overall structure of software systems (software architecture) is usefully studied by constructing design spaces. A design space identifies the key functional and structural choices made in creating a system design, and it classifies the alternatives available for each choice. Rules can be formulated to relate choices within a design space. Sets of such rules are a valuable design aid and offer a promising route to automatic structural design. By codifying design practice, design spaces can also aid software maintenance and training. To support this argument, the report describes a design space and associated rules for user interface software, and it discusses an experimental that validated these design rules by comparing their predictions to real system designs.",,Nov-90,,,Design Rules,design_rules.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Constructs design spaces and rules to classify and codify software architecture design choices, synthesizing and defining design-knowledge constructs as its topic.","The abstract centers on design spaces and rules as a way to study software architecture, suggesting design knowledge is the topic, but it does not clearly show a literature-based synthesis or an explicit definition from the abstract alone.",,0,Design rules,tfidf-svd,overall,kmeans,0,"rules, prototyping, software, hybrid, lego, fdm, spaces, printing",7.439518,21.885336,0.2341221024022052,2,True,2,3,0.9559088431274104,"rules, architecture, interfaces, focus, modular, modularity, key, presented",Rules / Prototyping / Software,"This cluster focuses on rules, prototyping, using Prototype as the main methodological or conceptual lens, with recurring attention to Interface, Prototype, with contribution types coded as Artifact/System, Theoretical, Methodological.",,,Prototype,"Interface, Prototype","Artifact/System, Theoretical, Methodological","[{'paper_id': '892ad7622adf', 'title': 'Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture', 'cluster': 4, 'distance': 0.5812404837988098}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.5843224406653932}, {'paper_id': 'dbc171dde63a', 'title': 'Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted', 'cluster': 3, 'distance': 0.660739384662571}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.6793872487058733}, {'paper_id': 'cf2ee8097a06', 'title': 'Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones', 'cluster': 2, 'distance': 0.724602221424134}]"
ba03a17bc120,"The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps",R. Bujack; T. L. Turton; F. Samsel; C. Ware; D. H. Rogers; J. Ahrens,"A myriad of design rules for what constitutes a “good” colormap can be found in the literature. Some common rules include order, uniformity, and high discriminative power. However, the meaning of many of these terms is often ambiguous or open to interpretation. At times, different authors may use the same term to describe different concepts or the same rule is described by varying nomenclature. These ambiguities stand in the way of collaborative work, the design of experiments to assess the characteristics of colormaps, and automated colormap generation. In this paper, we review current and historical guidelines for colormap design. We propose a specified taxonomy and provide unambiguous mathematical definitions for the most common design rules.",10.1109/TVCG.2017.2743978,2018,,,Design Rules,design_rules.csv,ieee|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Reviews and synthesizes ambiguous design rules for colormaps and proposes a theoretical framework with clarified definitions, satisfying C2 and likely C3.","The paper reviews prior literature on colormap design rules and organizes ambiguous terms into a theoretical framework, so it synthesizes design-related knowledge, but the abstract does not clearly confirm an explicit original or adapted definition of design-knowledge constructs.",,0,Design rules,tfidf-svd,overall,kmeans,0,"rules, prototyping, software, hybrid, lego, fdm, spaces, printing",7.2801256,20.204168,0.27037604453884345,3,True,3,5,0.9711435470676753,"rules, common, definitions, characteristics, guidelines, high, include, way",Rules / Prototyping / Software,"This cluster focuses on rules, prototyping, using Prototype as the main methodological or conceptual lens, with recurring attention to Interface, Prototype, with contribution types coded as Artifact/System, Theoretical, Methodological.",,,Prototype,"Interface, Prototype","Artifact/System, Theoretical, Methodological","[{'paper_id': 'dbc171dde63a', 'title': 'Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted', 'cluster': 3, 'distance': 0.5704650569846395}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.6665122631571725}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.6793872487058733}, {'paper_id': '6f114a6d29d1', 'title': 'Toward a Conceptualization of Organizational Modularity', 'cluster': 4, 'distance': 0.7010986120443963}, {'paper_id': '1d033f71eb02', 'title': 'Soft, Flexible, and Stretchable Platforms for Tissue‐Interfaced Bioelectronics', 'cluster': 1, 'distance': 0.7175398658412038}]"
5c096c480387,User interfaces of information retrieval systems and user friendliness,P. Vilar; M. Žumer,"ABSTRACTThe paper deals with the characteristics of user interfaces of information retrieval systems with the emphasis on design and evaluation. It presents users’ information retrieval tasks and the functions which are offered through interfaces. Design rules, guidelines and standards are presented, as well as criteria and methods for evaluation. Special emphasis is placed on the concept of user friendliness as one of the most important characteristic of the user interfaces. Various definitions of user friendliness are presented and their elements are also discussed. In the end, the paper shows how user interfaces should be designed, taken into consideration all these criteria.",,2013,Knjižnica,https://www.semanticscholar.org/paper/9aa514c3ca92faefeccdf83e91e0ddef127ac487,Design Rules,design_rules.csv,semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Presents design rules, guidelines, and standards for IR system interfaces and discusses various definitions of user friendliness, suggesting synthesis (C2) and definitional work (C3); flagged to confirm in full text.","The paper treats interface design rules, guidelines, standards, evaluation criteria, and multiple definitions of user friendliness as its topic, explicitly synthesizing prior constructs and discussing definitions.",,0,Design rules,tfidf-svd,overall,kmeans,1,"interfaces, tissue, retrieval, mechanical, friendliness, rules, criteria, emphasis",8.256632,20.085169,0.16986753625787454,2,True,1,3,0.96653560422487,"rules, architecture, interfaces, focus, modular, modularity, key, presented",Interfaces / Tissue / Retrieval,"This cluster focuses on Healthcare, with contribution types coded as Methodological.",Healthcare,,,,Methodological,"[{'paper_id': '1d033f71eb02', 'title': 'Soft, Flexible, and Stretchable Platforms for Tissue‐Interfaced Bioelectronics', 'cluster': 1, 'distance': 0.6217601852828575}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.8137852265445995}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.8239323510288273}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.8446616960999478}, {'paper_id': 'dbc171dde63a', 'title': 'Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted', 'cluster': 3, 'distance': 0.8877842625475069}]"
43856ed76df1,Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?,David Mathias; C. Snider; B. Hicks,"Physical prototyping is critical activity in the produce development process, but the cost and time required to produce prototypes hinders it use in the design process. Hybrid prototyping through coupling LEGO and FDM printing is presented as an approach to address these issues. After establishing the separate design rules for FDM printing and LEGO, this paper created new set of rules called Design for Fabrication (DfF) for hybrid prototyping. These cover the three main considerations (Technical, Process, and Design) that the designer and process planning must include to practically implement LEGO and FDM hybrid prototyping. The DfF rules were considered in a prototype of a computer mouse. While the fabrication time was not reduced as expected, it showed that the rules could be practically implemented in a real-world example. Additional considerations were identified that are to be included in the DfF rules.Further work is required to realise the predicted step-change reduction in fabrication time. The first approach is to leverage multiple printers to parallelise the printing. The second is to reduce fidelity while maintaining high fidelity in key regions of interest.",,2019,Proceedings of the Design Society,https://www.semanticscholar.org/paper/9f9e2a02a0991265112e3a3b729389070bdb496f,Design Rules,design_rules.csv,semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Synthesizes existing FDM and LEGO design rules and creates a new Design for Fabrication ruleset, plausibly satisfying C2/C3; flagged to verify definitional content in full text.","The abstract discusses natural design rules as inspiration for tribo-surface design, suggesting possible treatment of design rules as a topic, but it does not clearly confirm synthesis from prior work or an explicit definition.",,0,Design rules,tfidf-svd,overall,kmeans,0,"rules, prototyping, software, hybrid, lego, fdm, spaces, printing",6.8119535,22.249075,0.2284429444853069,1,True,1,3,0.9746288831564656,"rules, architecture, interfaces, focus, modular, modularity, key, presented",Rules / Prototyping / Software,"This cluster focuses on rules, prototyping, using Prototype as the main methodological or conceptual lens, with recurring attention to Interface, Prototype, with contribution types coded as Artifact/System, Theoretical, Methodological.",,,Prototype,"Interface, Prototype","Artifact/System, Theoretical, Methodological","[{'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.5843224406653932}, {'paper_id': '8aeb26c1e21d', 'title': 'Steps toward a cognitive engineering: Design rules based on analyses of human error', 'cluster': 3, 'distance': 0.6412897051085811}, {'paper_id': '892ad7622adf', 'title': 'Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture', 'cluster': 4, 'distance': 0.659106084937942}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.6665122631571725}, {'paper_id': 'cf2ee8097a06', 'title': 'Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones', 'cluster': 2, 'distance': 0.7018570668380522}]"
f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",Carliss Y. Baldwin,"The purpose of this chapter is to build a robust and versatile language that is capable of representing the value structure of large technical systems. The language is based on elements I have labeled functional components. The language is more abstract than the language of technical recipes and task networks, thus it is capable of hiding details. However, the language also makes it possible to “trace back” from each named functional component to a technical recipe and a corresponding task network. Finally, although the language itself is non-mathematical, the value structure it reveals can be used to specify equations and prove mathematical propositions about the value of technical systems. 
 
The plan of the chapter as follows. I first explain why it is difficult to value technologies using standard economic methods based prices, quanities and probabilities. I then describe a methodology that shows how functional components are combined through technology to create a particular artifact or technical system. The methodology uses symbolic notation to clarify relationships between and among functional components. I illustrate these relationships using an ancient technology—the technology for making a garment from pieces of cloth. I go on to describe commonly observed patterns within technical systems, including optional features; composite functions; and platforms.",,2020,Social Science Research Network,https://www.semanticscholar.org/paper/abcbcc31184f047ab91479bf2dc56bd1a2def833,Design Rules,design_rules.csv,semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Develops a language/framework for representing the value structure of technologies, treating design knowledge constructs as the topic and defining functional components, plausibly satisfying C2/C3 but warranting full-text verification.","The chapter appears to propose its own representational language for the value structure of technologies, which suggests an original definition or adaptation of a design-related construct, but synthesis from prior work is not evident from the abstract alone.",,0,Design rules,tfidf-svd,overall,kmeans,2,"technical, language, value, hypothesis, chapter, components, recipe, mirroring",6.6795015,21.301907,0.08053670920793721,2,True,1,1,0.9850753282673681,"technical, chapter, rules, functional, recipe, organizational, structure, network",Technical / Language / Value,"This cluster focuses on technical, language, with contribution types coded as Artifact/System, Methodological, Theoretical.",,,,,"Artifact/System, Methodological, Theoretical","[{'paper_id': 'cf2ee8097a06', 'title': 'Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones', 'cluster': 2, 'distance': 0.3091745137716607}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.7249356385235348}, {'paper_id': '1d033f71eb02', 'title': 'Soft, Flexible, and Stretchable Platforms for Tissue‐Interfaced Bioelectronics', 'cluster': 1, 'distance': 0.855702192024854}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.8599436320050021}, {'paper_id': '8aeb26c1e21d', 'title': 'Steps toward a cognitive engineering: Design rules based on analyses of human error', 'cluster': 3, 'distance': 0.8802954625939555}]"
cf2ee8097a06,"Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones",Carliss Y. Baldwin,"A technology is a specific way to achieve a material goal. It describes a feasible path—a recipe—by which a group of people can arrive at a goal that none could achieve individually. Technical recipes thus require linkages between and among the various contributors to the technical process. 
 
The purpose of this chapter is to look at the relationship between the steps in a given technical recipe and organizational linkages between and among people implementing the recipe. I begin by introducing two concepts: (1) technical dependencies which are properties of the technical architecture; and (2) organizational ties which are properties of the organizational architecture. The idea that organizational ties ought to correspond to technical dependencies is known as the mirroring hypothesis. This chapter defines the mirroring hypothesis and describes its origins. It then investigates the theory behind the hypothesis and identifies a set of “predictable exceptions” where the hypothesis does not hold. Finally it considers the evidence for and against mirroring in the economy at large.",,2020,Social Science Research Network,https://www.semanticscholar.org/paper/b2acd9c3d6ff7edde932d69118071e11ebd21892,Design Rules,design_rules.csv,semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,Book chapter on design rules and the mirroring hypothesis that defines technical dependencies and linkage concepts and synthesizes them as the object of study.,"This chapter appears to discuss technical recipes, dependencies, and organizational linkages as conceptual constructs related to design knowledge, but the abstract does not clearly show a literature synthesis or an explicit adapted/original definition, so full text is needed.",,0,Design rules,tfidf-svd,overall,kmeans,2,"technical, language, value, hypothesis, chapter, components, recipe, mirroring",8.034967,22.47686,0.08053670920793699,1,True,2,1,0.9850533499308065,"technical, chapter, rules, functional, recipe, organizational, structure, network",Technical / Language / Value,"This cluster focuses on technical, language, with contribution types coded as Artifact/System, Methodological, Theoretical.",,,,,"Artifact/System, Methodological, Theoretical","[{'paper_id': 'f941f0424e1a', 'title': 'Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components', 'cluster': 2, 'distance': 0.3091745137716607}, {'paper_id': '6f114a6d29d1', 'title': 'Toward a Conceptualization of Organizational Modularity', 'cluster': 4, 'distance': 0.5536979228308958}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.7018570668380522}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.724602221424134}, {'paper_id': 'dbc171dde63a', 'title': 'Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted', 'cluster': 3, 'distance': 0.8326894051086382}]"
1d033f71eb02,"Soft, Flexible, and Stretchable Platforms for Tissue‐Interfaced Bioelectronics",Kento Yamagishi; Sunghoon Lee; Tomoyuki Yokota; Takao Someya,"Seamless integration of electronic systems with living tissues requires not only biocompatibility but also careful matching of mechanical properties across heterogeneous organs. This review clarifies the often‐conflated notions of “soft,” “flexible,” and “stretchable” electronics, and links these definitions to a tissue‐mechanics framework spanning brain, nerve, skin, myocardium, and visceral organs. Based on this framework, we outline general mechanical design principles—ultrathin structures, stretchable architectures, and bioadhesive interfaces—that enable deformable devices to conform to moving, curved surfaces. Recent advances are then organized into tissue‐targeted platforms, including imperceptible skin‐mounted nanosheet and nanomesh electrodes, haptic and neural interfaces for bidirectional communication, and wet‐organ adhesive systems for cardiac and gastrointestinal applications. We further highlight emerging material systems such as liquid metal–based conductors and biodegradable transient electronics, which respectively extend mechanical adaptability and introduce time‐programmed disappearance to reduce surgical burden. Across these topics, the review distills unifying design rules for matching modulus, adhesion, and strain tolerance to specific biological environments, positioning soft, tissue‐interfaced bioelectronics as a coherent toolbox that bridges wearable, implantable, and transient formats for future healthcare technologies.",,2026,Advancement of science,https://www.semanticscholar.org/paper/c3374b7851bf707048b3359556ab8226b87eea9d,Design Rules,design_rules.csv,semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Review that clarifies conflated definitions of soft/flexible/stretchable electronics and synthesizes mechanical design principles, plausibly satisfying C2/C3; flagged to confirm in full text.","This is a review that clarifies and defines related constructs ('soft,' 'flexible,' 'stretchable') from prior work and synthesizes general mechanical design principles, satisfying both C2 and C3.",,0,Design rules,tfidf-svd,overall,kmeans,1,"interfaces, tissue, retrieval, mechanical, friendliness, rules, criteria, emphasis",8.8179035,20.455555,0.16986753625787432,1,True,2,0,0.9690595306463805,"rules, focus, interfaces, platforms, review, science, advances, emerging",Interfaces / Tissue / Retrieval,"This cluster focuses on Healthcare, with contribution types coded as Methodological.",Healthcare,,,,Methodological,"[{'paper_id': '5c096c480387', 'title': 'User interfaces of information retrieval systems and user friendliness', 'cluster': 1, 'distance': 0.6217601852828575}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.7175398658412038}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.8124518308755906}, {'paper_id': 'dbc171dde63a', 'title': 'Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted', 'cluster': 3, 'distance': 0.8272812038603974}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.838424577612345}]"
892ad7622adf,"Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture",R. Sanchez; T. Shibata,"In this paper, we propose a set of rules for developing modular architectures. We first consider the well-known concept of “Design Rules” advanced by Baldwin and Clark. We then propose a broader conceptualization called “Modularity Design Rules” that is derived from later studies of the strategic, managerial, and organizational processes that must also be undertaken to implement successful modular development projects. We elaborate the critical role that the proposed Modularity Design Rules play in strategically grounding, organizing, and managing modular architecture development processes. We also identify key roles that top management must fulfill in supporting implementation of the proposed rules. We then provide evidence in support of the proposed Modularity Design Rules through a case study of the Renault–Nissan Alliance’s successful development and use of a modular “Common Module Family” architecture between 2009 and 2014. We then suggest some important implications of the Modularity Design Rules for open innovation processes in new product development.",,2018,"Journal of Open Innovation: Technology, Market and Complexity",https://www.semanticscholar.org/paper/f0c8dde0db23ccabc0cd5d3499399bdb253bdf5c,Design Rules,design_rules.csv,semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Builds on and broadens Baldwin and Clark's 'Design Rules' concept into a 'Modularity Design Rules' conceptualization derived from prior studies, satisfying C2 and likely C3.","The paper explicitly builds on Baldwin and Clark's concept of design rules, proposes a broader conceptualization of Modularity Design Rules from prior studies, and thus both synthesizes prior work and provides an adapted/original definition.",,0,Design rules,tfidf-svd,overall,kmeans,4,"modularity, organizational, modular, rules, proposed, conceptualization, architecture, concept",8.172835,21.71239,0.13782064637393765,2,True,1,3,0.9862606073898093,"rules, architecture, interfaces, focus, modular, modularity, key, presented",Modularity / Organizational / Modular,"This cluster focuses on modularity, organizational, involving Families, using Case Study as the main methodological or conceptual lens, with contribution types coded as Theoretical, Empirical, Methodological.",,Families,Case Study,,"Theoretical, Empirical, Methodological","[{'paper_id': '6f114a6d29d1', 'title': 'Toward a Conceptualization of Organizational Modularity', 'cluster': 4, 'distance': 0.5132935243618906}, {'paper_id': '2a22a314dcfb', 'title': 'Studying Software Architecture Through Design Spaces and Rules', 'cluster': 0, 'distance': 0.5812404837988098}, {'paper_id': '43856ed76df1', 'title': 'Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?', 'cluster': 0, 'distance': 0.659106084937942}, {'paper_id': 'dbc171dde63a', 'title': 'Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted', 'cluster': 3, 'distance': 0.762107890507326}, {'paper_id': 'ba03a17bc120', 'title': 'The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps', 'cluster': 0, 'distance': 0.7780932725596519}]"
