paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,pdf_found,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers,design_knowledge_form,design_knowledge_action,design_knowledge_contribution
ccc616a68c38,Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges,"Roth, Christian and Koenitz, Hartmut","In the context of this paper we take design knowledge as the methods applied by the creators (for example game designers in the case of games) of interactive experiences in contrast to for example the design of authoring tools or the design of game engines and similar computational systems. Such knowledge about rule-based game design is widespread as evidenced by numerous book publications and many university-level programs of study. In contrast, there is considerable less academic or professional knowledge on the design of interactive narratives -- for example, book publications focused on this topic number in the single digits and in academic programs the topic only exists on the margins. This paper proposes the use of empirical research methods as means to address this situation and examines specific challenges. On this foundation, we introduce a research effort to gather transferable interactive narrative design knowledge and report on a first user study. Finally, we provide guidelines and discuss future research.",10.1145/3132361.3133942,2017.0,Proceedings of the 2nd International Workshop on Multimedia Alternate Realities,https://doi.org/10.1145/3132361.3133942,Design knowledge,acm|engineering_village|semantic_scholar,full,False,False,True,True,False,True,advance_criteria,True,Provides its own definition of design knowledge (methods applied by creators) and works toward synthesizing a body of interactive digital narrative design knowledge.,"The truncated abstract centers on teaching object-oriented design knowledge and related constructs like patterns, but does not clearly show whether it synthesizes or defines them, so full text is needed.",True,pdfplumber,37104,25,10,False,0,6,Design knowledge,tfidf-svd,overall,hdbscan,-1,noise / outliers,1.0739882,1.8092923,,-1,True,-1,3,0.9987411619046664,"ai, dsr, game, interactive, problem, solution, objects, prescriptive",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'a7e06450729f', 'title': 'Game Design as an Autonomous Research Subject', 'cluster': -1, 'distance': 0.20954406422138272}, {'paper_id': '6aeae7ccf85b', 'title': 'Toward a Framework for the Design of Interactive Technology for Nature Recreation', 'cluster': -1, 'distance': 0.5109135844777701}, {'paper_id': 'fd2392ff2aff', 'title': 'Surveying a Landscape of Ethics-Focused Design Methods', 'cluster': -1, 'distance': 0.8208215155629828}, {'paper_id': 'b227e604cd40', 'title': 'The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design', 'cluster': -1, 'distance': 0.8251444692279498}, {'paper_id': 'b73f2343e274', 'title': ""Let's Get Divorced: Constructing Knowledge Outcomes for Critical Design and Constructive Design Research"", 'cluster': 0, 'distance': 0.8433527564468281}]",,,
b227e604cd40,"The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design","Gray, Colin M.","Research on dark patterns has grown rapidly, but challenges remain in situating these practices within broader socio-technical, legal, and design contexts. In this essay, I introduce the concept of the “dark patterns knowledge stack” as a new way of synthesizing evidence about manipulative, coercive, and deceptive design practices. Inspired by Alexander’s notion of pattern language, I demonstrate how the knowledge stack aligns multiple layers of analysis and evidence—from interfaces and user characteristics to the socio-technical landscape and user intentions—revealing how manipulative practices interrelate across scales, are perpetuated through key business metrics, and evolve over time. Use of the knowledge stack is demonstrated through two case studies, followed by provocations for scholars, regulators, and practitioners to work together to more effectively identify harms, negotiate accountability, and chart pathways for more just and transparent digital systems.",10.1145/3772318.3791264,2026.0,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3772318.3791264,Design knowledge,acm,full,False,False,True,True,True,True,advance_criteria,True,"Essay synthesizing dark patterns evidence into a 'knowledge stack' concept inspired by pattern language, defining its own framework, plausibly satisfying C2/C3 but warrants full-text confirmation.","Studies tacit knowledge transmission through game design practice in a small team, but the abstract does not clearly indicate a synthesis from prior literature or an explicit definition of the construct.",True,pdfplumber,54338,39,10,False,0,6,Design knowledge,tfidf-svd,overall,hdbscan,-1,noise / outliers,0.30945897,2.4683008,,-1,True,-1,0,0.6172629838195567,"patterns, activities, schema, level, practices, centric, transformation, teachers",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '6e7959c82d5f', 'title': 'The anatomy of HCI design patterns', 'cluster': -1, 'distance': 0.2345087770592068}, {'paper_id': 'cda6c6785f0a', 'title': 'The design of social drones: a review of studies on autonomous flyers in inhabited environments', 'cluster': -1, 'distance': 0.5802339127506276}, {'paper_id': 'd4ef8c48ded5', 'title': 'Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices', 'cluster': -1, 'distance': 0.5999846724002483}, {'paper_id': 'd6b2bf339ae4', 'title': 'Co-producing, curating, and defining design knowledge in an online practitioner community', 'cluster': -1, 'distance': 0.7483107296881104}, {'paper_id': '78ea04e5eaee', 'title': 'Socio-technical design principles for a multi-stakeholder agriculture extension information system in Ethiopia', 'cluster': -1, 'distance': 0.7497383974089122}]",,,
d4ef8c48ded5,"Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices","Costantini, Umberto and Lonati, Violetta and Morpurgo, Anna","When learning to program, different types of knowledge and skills have to be built: syntactic knowledge, i.e., knowledge of the language features; conceptual knowledge, i.e., knowledge of the semantics of the various constructs; strategic knowledge, i.e. the ability to use syntactic and conceptual knowledge in the most appropriate and effective way to solve programming problems. Strategic knowledge also includes the ability to exploit and combine solutions to known problems to solve new ones and is one of the hardest skills to acquire when learning to programm [5, 6, 11]. Terms such as goals[10] patterns [5, 6, 11]. schema,[9] strategies[4], and variables' roles[3] have been used to refer to this kind of knowledge. Several authors suggest that strategic knowledge should be taught explicitly, however there are three main issues to address: plans/patterns/schema are used sometimes interchangeably and sometimes similarly but not correspondingly; it is claimed that a small number of plans/patterns is needed in an introductory programming course, however there is no agreed upon inventory of plans/patterns among the CS community;the notion of variables' roles isn't always explicitly linked to the notion of plans/patterns;little instructional material is available that explicitly teaches strategies, and it is neither easy nor obvious how to design such material. The aim of this study is to investigate whether and how such notions of plans/patterns/schema and variables' roles can be integrated into introductory programming courses.The idea is to establish a framework that includes and arranges the different definitions presented in literature. The framework developed will be used for building a catalogue of plans/pattern and variables' roles encountered in CS1 practice, in CS1 assessment, and in the literature on introductory programming; this catalogue will be the basis for designing new instructional/learning material for fostering strategic knowledge. The developed material will be used in one of our introductory programming courses and in peer tutoring activities for the students. The effectiveness will be tested evaluating students programming skills with a pre-test and a post-test, using a group as a treatment group and another one as control group.",10.1145/3372782.3408115,2020.0,Proceedings of the 2020 ACM Conference on International Computing Education Research,https://doi.org/10.1145/3372782.3408115,Design knowledge,acm,full,False,False,True,True,True,True,advance_criteria,True,"Builds an inventory of plans and patterns and defines types of knowledge (syntactic/conceptual/strategic) in programming, engaging C2 and apparently defining constructs, warranting full-text confirmation.","The abstract centers on strategic knowledge, plans, and patterns in programming novices and may inventory or categorize these constructs, but the truncated abstract does not clearly confirm a literature-based synthesis or an explicit definition.",True,pdfplumber,5024,4,1,False,0,1,Design knowledge,tfidf-svd,overall,hdbscan,-1,noise / outliers,0.6812802,2.3439362,,-1,True,-1,4,0.994764130671128,"pattern, components, theories, artifact, form, nature, tool, focus",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '6e7959c82d5f', 'title': 'The anatomy of HCI design patterns', 'cluster': -1, 'distance': 0.5076396495898763}, {'paper_id': 'b227e604cd40', 'title': 'The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design', 'cluster': -1, 'distance': 0.5999846724002483}, {'paper_id': 'dcbdeccbb96c', 'title': 'Is there a specific type of knowledge associated with design?', 'cluster': -1, 'distance': 0.7348736119451619}, {'paper_id': '03adadfa0ad4', 'title': 'Design Principles: Literature Review, Analysis, and Future Directions', 'cluster': 1, 'distance': 0.7509262608298675}, {'paper_id': '1c7fa3f7d73a', 'title': 'A theoretical framework for the studio as a learning environment', 'cluster': -1, 'distance': 0.7622316112732911}]",,,
e105857da02d,Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge,"Lupetti, Maria Luce and Zaga, Cristina and Cila, Nazli","Interest in design methods and tools has been steadily growing in HRI. Yet, design is not acknowledged as a discipline with specific epistemology and methodology. Designerly HRI work is validated through user studies which, we argue, provide a limited account of the knowledge design produces. This paper aims to broaden current understanding of designerly HRI work and its contributions by unpacking what designerly knowledge is and how to produce it. Through a critical analysis of current HRI design literature, we identify a lack of work dedicated to understanding the conceptual implications of robotic artifacts. These, in fact, are implicit carriers of crucial HRI knowledge that can challenge established assumptions about how a robot should look, act, and be like. We conclude by discussing a set of practices desirable to legitimize designerly HRI work, and calling for further research addressing the conceptual implications designerly HRI work.",10.1145/3434073.3444668,2021.0,Proceedings of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,https://doi.org/10.1145/3434073.3444668,Design knowledge,acm|ieee|semantic_scholar,full,False,False,True,True,False,True,advance_criteria,True,"Critically analyzes HRI design literature to unpack what designerly/intermediate-level knowledge is, synthesizing and defining design-knowledge constructs (C2 and C3).","It critically analyzes HRI design literature to unpack designerly knowledge and intermediate-level knowledge, indicating a synthesis/categorization of design-knowledge constructs, but any explicit adapted or original definition is not clearly visible in the truncated abstract.",True,pdfplumber,46696,31,10,False,0,6,Design knowledge,tfidf-svd,overall,hdbscan,0,"hri, objects, fashion, praxis, designerly, centric, critical, rtd",0.40979403,1.4724936,0.3501041036450172,2,True,2,1,0.9987985297802432,"digital, platform, dsr, tools, ontology, specific, science, visual",Defines Design Knowledge Through Conceptual Framing,"This cluster defines and conceptualizes design knowledge, emphasizing how a design-knowledge construct is made explicit, organized, or put to work rather than only where it is applied. Related knowledge forms include Design Theory, Design Frameworks. The shared move also involves synthesis of prior work and organization and classification. Its contribution pattern is coded as Theoretical, Methodological, Artifact/System. Application and method terms are supporting facets, especially methods or lenses such as Co-design, Prototype and contexts such as Industrial Design, Sustainability. Representative papers include Immodest Proposals: Research Through Design and Knowledge; Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge.","Industrial Design, Sustainability",Designers,"Co-design, Prototype","Prototype, Tool","Theoretical, Methodological, Artifact/System","[{'paper_id': 'b73f2343e274', 'title': ""Let's Get Divorced: Constructing Knowledge Outcomes for Critical Design and Constructive Design Research"", 'cluster': 0, 'distance': 0.5564817902191842}, {'paper_id': 'fffe50e033fa', 'title': 'Activity as the ultimate particular of interaction design', 'cluster': 0, 'distance': 0.5947192164809929}, {'paper_id': '7f7baeb83bac', 'title': 'A theoretical framework on embodiment in digital design', 'cluster': -1, 'distance': 0.664188558140439}, {'paper_id': '53adec5acee6', 'title': 'Mapping design knowledge: 36 years of Design Studies', 'cluster': 0, 'distance': 0.6941255063474419}, {'paper_id': 'f6ba28a6efeb', 'title': 'ON the HIERARCHICAL LEVELS of DESIGN KNOWLEDGE', 'cluster': 1, 'distance': 0.7086213448598964}]",Design Knowledge,defines and conceptualizes,defines and conceptualizes Design Knowledge
b73f2343e274,Let's Get Divorced: Constructing Knowledge Outcomes for Critical Design and Constructive Design Research,"Forlizzi, Jodi and Zimmerman, John and Hekkert, Paul and Koskinen, Ilpo","Over the last two decades, constructive design research (CDR) - more commonly called Research through Design within HCI - has become an accepted mode of scholarly inquiry within the design research community. It has been described as having three distinct genres: lab, field, and showroom. The lab and field genres typically take a pragmatic stance and typically propose a preferred future. Research done following the showroom approach - more commonly known as critical design (CD), speculative design, or design fictions - typically offers a polemic and a critique of the current state embodied in an artifact. Recently, we have observed a growing conflict within the design research community between pragmatic and critical design researchers [4]. To help reduce this conflict, we called for a divorce between CD and pragmatic CDR, advocating that each approach has its own merits and should be evaluated on its own account. Other design researchers have pushed back on this stance, seeking to create some middle ground to connect these two types of research. In this day-long workshop, we seek to look at exemplar CDR and CD case studies, to develop methods for describing, evaluating, replicating, and making use of knowledge outcomes from these two forms of design research.",10.1145/3197391.3197395,2018.0,Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems,https://doi.org/10.1145/3197391.3197395,Design knowledge,acm,full,False,False,True,True,True,True,advance_criteria,True,"Discusses and constructs knowledge outcomes for constructive and critical design research genres, synthesizing and defining design research constructs, satisfying C2 and likely C3.","This appears to discuss knowledge outcomes in critical and constructive design research, plausibly concerning design knowledge, but the abstract excerpt does not clearly confirm a synthesis or explicit definition.",True,pdfplumber,8728,6,5,False,0,5,Design knowledge,tfidf-svd,overall,hdbscan,0,"hri, objects, fashion, praxis, designerly, centric, critical, rtd",0.896328,1.5220795,0.4317937905108278,5,False,5,5,0.998395648311887,"critical, product, outcomes, need, pragmatic, precedent, rigorous, rigor",Defines Design Knowledge Through Conceptual Framing,"This cluster defines and conceptualizes design knowledge, emphasizing how a design-knowledge construct is made explicit, organized, or put to work rather than only where it is applied. Related knowledge forms include Design Theory, Design Frameworks. The shared move also involves synthesis of prior work and organization and classification. Its contribution pattern is coded as Theoretical, Methodological, Artifact/System. Application and method terms are supporting facets, especially methods or lenses such as Co-design, Prototype and contexts such as Industrial Design, Sustainability. Representative papers include Immodest Proposals: Research Through Design and Knowledge; Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge.","Industrial Design, Sustainability",Designers,"Co-design, Prototype","Prototype, Tool","Theoretical, Methodological, Artifact/System","[{'paper_id': 'e105857da02d', 'title': 'Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge', 'cluster': 0, 'distance': 0.5564817902191842}, {'paper_id': '29a8891f4c02', 'title': 'The Need for Design Cases: Disseminating Design Knowledge', 'cluster': -1, 'distance': 0.5667179520916025}, {'paper_id': '4b599d3e2eb0', 'title': 'Immodest Proposals: Research Through Design and Knowledge', 'cluster': 0, 'distance': 0.6441453167673843}, {'paper_id': '2a3139d14895', 'title': 'What is design knowledge from the viewpoint of CPM/PDD?', 'cluster': -1, 'distance': 0.7355073309237669}, {'paper_id': 'fda0636dbea5', 'title': 'Design Research: Aesthetic Epistemology and Explanatory Knowledge', 'cluster': -1, 'distance': 0.7621404629414075}]",Design Knowledge,defines and conceptualizes,defines and conceptualizes Design Knowledge
4b599d3e2eb0,Immodest Proposals: Research Through Design and Knowledge,"Bardzell, Jeffrey and Bardzell, Shaowen and Koefoed Hansen, Lone","The paper offers theoretical support for research through design (RtD) by arguing that in order to legitimize and make use of research through design as research, HCI researchers need to explore and clarify how RtD objects might contribute to knowledge. Leveraging the tradition of aesthetics in the arts and humanities, we argue that while the intentions of the object's designer are important and while annotations are a good mechanism to articulate them, the critical reception of objects is equally foundational to RtD's broader knowledge impacts within HCI. Such a scholarly critical reception is needed precisely because of the potential inexhaustibility of design objects' meanings; their inability to be paraphrased simply and adequately. Offering a multilevel analysis of the (critical) design fiction Menstruation Machine by Sputniko!, the paper explores how design objects co-produce knowledge, by working through complex design problem spaces in non-reductive ways, proposing new connections and distinctions, and embodying design ideas and processes across time and minds.",10.1145/2702123.2702400,2015.0,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,https://doi.org/10.1145/2702123.2702400,Design knowledge,acm,full,False,False,True,True,True,True,advance_criteria,True,"Offers theoretical support for research through design and clarifies how RtD objects contribute to knowledge, engaging with design knowledge as topic and likely defining constructs.","The paper centrally concerns knowledge contributions of research through design and appears to theorize how RtD objects contribute to knowledge, but the truncated abstract does not clearly show a synthesis from prior work or an explicit definition, so full-text review is needed.",True,pdfplumber,59504,38,10,False,0,6,Design knowledge,tfidf-svd,overall,hdbscan,0,"hri, objects, fashion, praxis, designerly, centric, critical, rtd",-0.83245265,0.29311696,0.2378985522235652,1,True,1,3,0.9985779428774536,"ai, dsr, game, interactive, problem, solution, objects, prescriptive",Defines Design Knowledge Through Conceptual Framing,"This cluster defines and conceptualizes design knowledge, emphasizing how a design-knowledge construct is made explicit, organized, or put to work rather than only where it is applied. Related knowledge forms include Design Theory, Design Frameworks. The shared move also involves synthesis of prior work and organization and classification. Its contribution pattern is coded as Theoretical, Methodological, Artifact/System. Application and method terms are supporting facets, especially methods or lenses such as Co-design, Prototype and contexts such as Industrial Design, Sustainability. Representative papers include Immodest Proposals: Research Through Design and Knowledge; Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge.","Industrial Design, Sustainability",Designers,"Co-design, Prototype","Prototype, Tool","Theoretical, Methodological, Artifact/System","[{'paper_id': '19dd6ec0253e', 'title': 'A principle-based philosophical framework for fashion design praxis and education in new design landscapes', 'cluster': 0, 'distance': 0.3974526143772903}, {'paper_id': '53adec5acee6', 'title': 'Mapping design knowledge: 36 years of Design Studies', 'cluster': 0, 'distance': 0.5931155460979105}, {'paper_id': 'b73f2343e274', 'title': ""Let's Get Divorced: Constructing Knowledge Outcomes for Critical Design and Constructive Design Research"", 'cluster': 0, 'distance': 0.6441453167673843}, {'paper_id': 'fffe50e033fa', 'title': 'Activity as the ultimate particular of interaction design', 'cluster': 0, 'distance': 0.7068843591828629}, {'paper_id': '94bc88b88ae6', 'title': 'Design knowledge in the artistic–aesthetic development and transformation of the world', 'cluster': -1, 'distance': 0.7543934915737621}]",Design Knowledge,defines and conceptualizes,defines and conceptualizes Design Knowledge
f50a79b2d7e1,Towards scaling expertise with generative AI: design principles for governing AI-Mediated knowledge capture and transfer,"O’Sullivan, Philip (1); Seppälä, Selja (1); Feller, Joseph (1)","Tacit expertise (e.g. decision heuristics, risk judgement) makes organisational decision-making distinctively human, yet resides in individuals, is hard to scale, and is lost on departure. Generative AI (GenAI) offers conversational elicitation, synthesis, and adaptive scaffolding, but risks hallucination, goal drift, and helpfulness-driven agreement bias, undermining independent judgement. Building on validated problem theory, we derive four design principles grounded in socio-cognitive knowledge-work theory. They specify governance mechanisms addressing persistent transfer challenges (knowledge hiding, articulation barriers, internalisation failure) and GenAI-specific risks (knowledge distortion, tool-dependent learning, disrupted social exchange). Logical reasoning validates for alignment, applicability, coherence, completeness, and operationality. A feasibility assessment across three GenAI configurations shows most mechanisms are implementable through prompting; those requiring persistent state or platform integration are not, with configurations approximating rather than enforcing governance. We contribute prescriptive design knowledge for preserving human-centric decision-making by motivating expert sharing, enabling articulation, establishing fidelity, and ensuring applicability to successors. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",10.1080/12460125.2026.2669855,2026.0,Journal of Decision Systems,,Design knowledge,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Derives four design principles grounded in socio-cognitive knowledge-work theory and engages tacit expertise/heuristics as constructs, plausibly satisfying C2 and possibly C3; flagged to confirm definitional adaptation in full text.","This qualitative study investigates practitioners' heuristics for designing annotations, making design knowledge plausible as a topic, but the abstract does not clearly indicate a literature synthesis or explicit definition, so full text is needed.",True,pdfplumber,57328,40,10,True,8,5,Design knowledge,tfidf-svd,overall,hdbscan,-1,noise / outliers,-0.28744304,1.5249304,,-1,True,-1,2,0.7241174594060061,"usability, heuristics, field, product, practice, focus, tacit, industrial",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'bdf1addf5a10', 'title': 'Contestable AI by Design: Towards a Framework', 'cluster': -1, 'distance': 0.22931550126076183}, {'paper_id': '92fb23753506', 'title': ""Statues and progress of research on users' tacit knowledge in product design"", 'cluster': -1, 'distance': 0.650647467124051}, {'paper_id': 'c90163fa7f57', 'title': 'A new model to express and capture the design rationale in the documents', 'cluster': 1, 'distance': 0.7366741256265824}, {'paper_id': '8f065cfd18a4', 'title': 'Pattern language: A framework for learning', 'cluster': -1, 'distance': 0.7728447844608473}, {'paper_id': '3dbca777664c', 'title': 'Design Principles for Boundary Spanning in Transdisciplinary Design Science Research', 'cluster': 1, 'distance': 0.7970542648776862}]",,,
6391dee944e6,Understanding What Design Research Is and Is NOT,"Gibson, Michael R. (1); Owens, Keith M. (1)","This chapter distinguishes legitimate design research from superficial inquiry, building on Cross’s definition as the 'development, articulation, and communication of design knowledge.' We critique 'swimming in the shallow end'—superficial approaches like basic interviews that generate only situational knowledge without systematic inquiry or hypothesis testing. We challenge 'faux design research' that misapplies scientific methods, creating false validity impressions while failing to assess improved sense-making or usability. Authentic design research employs methodologies like 'failure analysis' (examining the evolution of World War II prototypes and Ukrainian drone development are provided as examples) and 'research through design' that positions entire design processes as research enterprises. We argue that design research must prioritize practical relevance over traditional scientific validity, requiring evidence-based rationales, hypothesis testing, and systematic methodologies that advance theoretical understanding and practical application. © 2026 selection and editorial matter, Michael R. Gibson and Keith M. Owens; individual chapters, the contributors. All rights reserved.",10.4324/9781003489108-4,2026.0,Navigating the Landscapes of Design Research: Finding your way,,Design knowledge,engineering_village,full,False,False,True,True,False,True,advance_criteria,True,"Distinguishes and defines design research building explicitly on Cross's definition of design knowledge, synthesizing and adapting constructs as the topic of study, satisfying C2 and C3.","The chapter appears to articulate and refine what counts as design research by building on Cross’s definition, so C3 is indicated, but the abstract does not clearly show a synthesis or categorization from prior literature needed to confirm C2.",False,,0,0,0,False,0,0,Design knowledge,tfidf-svd,overall,hdbscan,-1,noise / outliers,-1.4411939,0.9625512,,-1,True,-1,3,0.9900950675447776,"ai, dsr, game, interactive, problem, solution, objects, prescriptive",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '33444d31c6dc', 'title': 'A design theory for visual inquiry tools', 'cluster': 1, 'distance': 0.7545945878937024}, {'paper_id': 'ddf4ea43a777', 'title': 'Adaptation of Toulmin’s Model of Argumentation for Establishing Rigour and Relevance in Design Research', 'cluster': -1, 'distance': 0.76424429418569}, {'paper_id': '29a8891f4c02', 'title': 'The Need for Design Cases: Disseminating Design Knowledge', 'cluster': -1, 'distance': 0.77314813482726}, {'paper_id': '03adadfa0ad4', 'title': 'Design Principles: Literature Review, Analysis, and Future Directions', 'cluster': 1, 'distance': 0.8196704594058007}, {'paper_id': '5a716d80ac6b', 'title': 'Towards a Method for Design Principle Development in Information Systems', 'cluster': 1, 'distance': 0.8642910942621267}]",,,
02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); Möller, F. (1, 3)","Data ecosystems are a novel inter-organizational form of cooperation. They require at least one data provider and one or more data consumers. Existing research mainly addresses generativity mechanisms in this relationship, such as business models or role models for data ecosystems. However, an essential prerequisite for thriving data ecosystems is high data quality in the shared data. Without sufficient data quality, sharing data might lead to negative business consequences, given that the information drawn from them or services built on them might be incorrect or produce fraudulent results. We tackle this issue precisely since we report on a multi-case study deploying data quality tools in data ecosystem scenarios. From these cases, we derive generalized prescriptive design knowledge as a design theory to make the knowledge available for others designing data quality tools for data sharing. Subsequently, our study contributes to integrating the issue of data quality in data ecosystem research and provides practitioners with actionable guidelines inferred from three real-world cases. All rights reserved Elsevier.",10.1016/j.datak.2024.102333,,Data & Knowledge Engineering,,Design knowledge,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Proposes a design theory with design principles for data quality tools from industry cases, plausibly synthesizing and defining design-knowledge constructs; flagged for full-text confirmation.","The paper proposes a new product development and design framework and mentions interactive innovation knowledge, but the abstract does not clearly show a literature-based synthesis or explicit definition, so full text would be needed to judge relevance.",False,,0,0,0,False,0,0,Design knowledge,tfidf-svd,overall,hdbscan,-1,noise / outliers,-1.0075959,1.6148591,,-1,True,-1,3,0.9917661869037304,"ai, dsr, game, interactive, problem, solution, objects, prescriptive",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '37f353dbe230', 'title': 'Managing design knowledge', 'cluster': 1, 'distance': 0.5581946216396301}, {'paper_id': '29a8891f4c02', 'title': 'The Need for Design Cases: Disseminating Design Knowledge', 'cluster': -1, 'distance': 0.6144019144385566}, {'paper_id': '33444d31c6dc', 'title': 'A design theory for visual inquiry tools', 'cluster': 1, 'distance': 0.7112822941706984}, {'paper_id': 'fc4c2b9d38d7', 'title': 'A framework for supporting architecture knowledge and rationale management', 'cluster': 1, 'distance': 0.7455919560185265}, {'paper_id': '3dbca777664c', 'title': 'Design Principles for Boundary Spanning in Transdisciplinary Design Science Research', 'cluster': 1, 'distance': 0.8069745842924456}]",,,
78ea04e5eaee,Socio-technical design principles for a multi-stakeholder agriculture extension information system in Ethiopia,"Atinaf, M. (1); Anteneh, S. (1); Kifle, M. (1)","Though the importance of design knowledge is becoming critical the effort to producing prescriptive knowledge in the information and communication for development domain is limited. Such knowledge addresses the requirements of local development contexts, practices, and priorities and balance the issues of generalizability and specificity through contextualizing the design principles (DPs). This research shows how such contextualized design knowledge can be produced to address the challenges presented by socio-technical contexts in the Ethiopian agriculture extension information service system. The knowledge produced is grounded on insights from kernel/reference theories and complemented with knowledge from empirical observations. The research identified six DPs to address four design requirements: (1) supporting stakeholders' networking; (2) developing information content that meets the needs of the local context; (3) improving accessibility of agricultural extension information to stakeholders; and (4) enhancing adoption and effective use of the information system. The DPs to address the above socio-technical requirements fall into principles to improve: (1) actor-to-actor networking; (2) agriculture extension information system content development; (3) the accessibility of information; (4) device accessibility; (5) accessibility of interfaces; and (6) effective use and adoption of the (AEIS).",10.1080/02681102.2023.2279309,,Information Technology for Development,,Design knowledge,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Explicitly produces contextualized design principles and discusses prescriptive design knowledge, suggesting synthesis and definitional framing; flagged for full-text confirmation of C3.","The paper appears centrally concerned with constructive design knowledge and draws on prior feminist design and ambiguity literature, but the abstract does not clearly confirm a synthesis from prior work or an explicit definition, warranting full-text review.",False,,0,0,0,False,0,0,Design knowledge,tfidf-svd,overall,hdbscan,-1,noise / outliers,-0.47872022,2.4849405,,-1,True,-1,1,0.9908735553235016,"digital, platform, dsr, tools, ontology, specific, science, visual",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'e8f4a7417bf7', 'title': 'Toward a Method for Design Science Research Meta-Studies to Improve the Reusability of Design Principles', 'cluster': 1, 'distance': 0.6345710207490605}, {'paper_id': 'b227e604cd40', 'title': 'The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design', 'cluster': -1, 'distance': 0.7497383974089122}, {'paper_id': 'c5d4c66275a8', 'title': 'Towards a Theory Driven Foundational Model for Design: Rethinking Requirement Elicitation for Special Needs', 'cluster': -1, 'distance': 0.7802481539097872}, {'paper_id': '9d158233f041', 'title': 'Guidelines supporting the formulation of design principles', 'cluster': 1, 'distance': 0.8136652862201703}, {'paper_id': 'fe2d6cd3e881', 'title': 'Design knowledge: theory is support of practice', 'cluster': -1, 'distance': 0.8219902751039789}]",,,
