paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,pdf_found,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers
0a373ca87142,Surveying a Landscape of Ethics-Focused Design Methods,"Chivukula, Shruthi Sai and Gray, Colin and Li, Ziqing and Pivonka, Anne C. and Chen, Jingning","Over the past decade, HCI researchers and practitioners have increasingly addressed ethics-focused issues through a range of theoretical, methodological, and pragmatic contributions to the field. While many forms of design knowledge have been proposed and described, we focus explicitly on knowledge that has been codified as “methods,” which we define as structured supports for everyday work practices of designers. In this article, we identify, analyze, and map a collection of 63 existing methods intentionally designed for ethical impact. Building on results of a content analysis of these methods, we contribute a descriptive record of how these methods operationalize ethics, their intended audience or context of use, their “core” or “script,” and the means by which these methods are formulated and codified. Building on these results, we provide an initial definition of ethics-focused methods, identifying potential opportunities for the development of future methods to support ethical design practice.",10.1145/3678988,2024.0,ACM J. Responsib. Comput.,https://doi.org/10.1145/3678988,Design methods,acm,full,False,False,True,True,False,True,advance_criteria,True,Surveys and maps 63 ethics-focused design methods via content analysis (C2) and explicitly defines methods as structured supports for designers' work practices (C3).,"The abstract reports three design methods for AR in a historical site, but it is unclear from the provided text whether these are synthesized from prior work or explicitly defined as design-knowledge constructs, warranting full-text review.",True,pdfplumber,91872,63,10,True,13,6,Design methods,tfidf-svd,knowledge-type,kmeans,3,"architecture, landscape, constraint, ideation, article, concept, relation, playing",6.3750105,1.55262,0.5994552365159076,7,False,7,5,0.9650463311943438,"value, field, aspects, challenges, understand, industry, literature, architecture",Design Methods,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Artifact/System, Methodological, Theoretical.",Education / Learning,Designers,,,"Artifact/System, Methodological, Theoretical","[{'paper_id': '6e06768bb26b', 'title': 'Design as Research in Landscape Architecture', 'cluster': 3, 'distance': 0.7928757068367598}, {'paper_id': '9de0e13a7156', 'title': 'Towards functional de novo designed proteins.', 'cluster': 4, 'distance': 0.8322746842988369}, {'paper_id': 'da2bb1488305', 'title': 'Rigor in MIS Survey Research: In Search of Ideal Survey Methodological Attributes', 'cluster': 6, 'distance': 0.8357335673029151}, {'paper_id': '885a1eee70e3', 'title': 'The Design of Business Models: What, How and Why', 'cluster': 0, 'distance': 0.8550123977346594}, {'paper_id': '49719118a4a0', 'title': 'Progressive collapse of structures – review and outlook', 'cluster': 0, 'distance': 0.8624163678617137}]"
b2234ef79a5a,Tracing situated effects of innovative design methods: inexperienced designers' practices,"Lee, Jung-Joo and Vaajakallio, Kirsikka and Mattelm\""aki, Tuuli","In recent years the design research community has been active in developing new methods for user involvement and collaboration in the design process. The new methods, often called innovative design methods, correspond more to designer's genuine ways of thinking and working than do traditional user-centered ones. The entire purpose of innovative method is to allow for designer's creativity in the design of method and reflective learning, instead of relying on predefined rules of method. For this reason, codification and scientific evaluation are often regarded very challenging, if meaningful at all. This leads us to raise a question; what could be relevant ways of framing and communicating innovative design methods to better capture their nature and value?As one attempt to explore this question, our study takes a close look at inexperienced designers' practices with innovative methods, such as probes or co-design workshops. We chose students as research subjects because their situated actions -- and the challenges they face in understanding and applying these methods -- reveal just kind of knowledge about the innovative methods that needs to be communicated. To do this, we analyzed students' learning diaries written during the design course. When the students reported uncertainties and disappointments due to 'ill-defined' nature of such methods, we were able to trace the reasons for disappointments. We also found that the innovative design methods in fact supported the students for empathic learning and design inspiration from the making process of the methods.",10.1145/2079216.2079231,2011.0,Procedings of the Second Conference on Creativity and Innovation in Design,https://doi.org/10.1145/2079216.2079231,Design methods,acm|engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Discusses and characterizes 'innovative design methods' as a construct distinct from traditional methods, plausibly synthesizing and defining them; flagged for full-text confirmation.","Analyzes Value Sensitive Design and Participatory Design as methodological frameworks for ethical persuasive technology, plausibly engaging design-method knowledge, but the abstract does not clearly confirm a literature synthesis or explicit definition without full text.",True,pdfplumber,53158,36,10,True,5,6,Design methods,tfidf-svd,knowledge-type,kmeans,0,"collapse, artifacts, floorplan, corroboration, ways, findings, business models, flexibility",8.396753,0.5843445,0.5670890025354463,3,True,3,0,0.9738700156586432,"service, complexity, review, evidence, technical, innovative, thinking, implications",Design Methods,"This cluster focuses on Education / Learning, involving Designers, Practitioners, using User-centered Design, Ethnographic as the main methodological or conceptual lens, with contribution types coded as Methodological, Theoretical, Empirical.",Education / Learning,"Designers, Practitioners","User-centered Design, Ethnographic",,"Methodological, Theoretical, Empirical","[{'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': 0, 'distance': 0.7777382628971136}, {'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': 7, 'distance': 0.8415346160947645}, {'paper_id': '799b06403189', 'title': 'State of the Art on Robust Design Methods for Additive Manufacturing', 'cluster': 1, 'distance': 0.8431755769084357}, {'paper_id': '5389fb1cc38b', 'title': 'Elements of a design method – a basis for describing and evaluating design methods', 'cluster': 5, 'distance': 0.845669629027781}, {'paper_id': '40a2d86cd488', 'title': 'Elements of a design method - a basis for describing and evaluating design methods', 'cluster': 5, 'distance': 0.8465405219209272}]"
5611cdb5c33a,Generating implications for design through design research,"Sas, Corina and Whittaker, Steve and Dow, Steven and Forlizzi, Jodi and Zimmerman, John","A central tenet of HCI is that technology should be user-centric, with designs being based around social science findings about users. Nevertheless a repeated but critical challenge in design is translating empirical findings into actionable ideas that inform design, or generating implications for design. Despite various design methods aiming to bridge this gap, knowledge informing design is still seen as problematic. However there has been little empirical exploration into what design researchers understand by such design knowledge, the functions and principles behind their creation. We report on interviews with twelve expert HCI design researchers probing the roles and types of design implications, and the process of generating and evaluating them. We synthesize different types of design implications into a framework to guide their generation. Our findings identify a broader range than previously described, additional sources and heuristics supporting their development as well some important evaluation criteria. We discuss the value of these findings for interaction design research.",10.1145/2556288.2557357,2014.0,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/2556288.2557357,Design methods,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Empirically explores what design researchers understand by design knowledge, its functions and principles, treating design knowledge as the topic of study and likely offering definitional framing.","The paper appears to study what design researchers understand by implications-for-design as a form of design knowledge, but the truncated abstract does not clearly confirm a synthesis from prior work or an explicit definition, so it should be checked in full text.",True,pdfplumber,61571,40,10,False,0,5,Design methods,tfidf-svd,knowledge-type,kmeans,0,"collapse, artifacts, floorplan, corroboration, ways, findings, business models, flexibility",7.976702,1.8686755,0.5987312704326448,5,False,5,0,0.9559714868549972,"service, complexity, review, evidence, technical, innovative, thinking, implications",Design Methods,"This cluster focuses on Education / Learning, involving Designers, Practitioners, using User-centered Design, Ethnographic as the main methodological or conceptual lens, with contribution types coded as Methodological, Theoretical, Empirical.",Education / Learning,"Designers, Practitioners","User-centered Design, Ethnographic",,"Methodological, Theoretical, Empirical","[{'paper_id': '1c04ffa25528', 'title': 'The implications of improvisational acting and role-playing on design methodologies', 'cluster': 3, 'distance': 0.7804233268516572}, {'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': 7, 'distance': 0.8392975678390537}, {'paper_id': '7e095752d24c', 'title': 'Think-4-EmCoDe framework: Highlighting key qualities in embodied co-design techniques for children', 'cluster': 7, 'distance': 0.8884363057961177}, {'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': 0, 'distance': 0.8957909920248509}, {'paper_id': '66218ff443f6', 'title': 'Deliberated Evolution: Stalking the View Matcher in Design Space', 'cluster': 0, 'distance': 0.9044710608652528}]"
7ebbe03ea0d8,Autobiographical design in HCI research: designing and learning through use-it-yourself,"Neustaedter, Carman and Sengers, Phoebe","Designing a system with yourself as a target user and evaluating the design through your own self-usage is commonly considered a questionable approach in HCI research. Perhaps for this reason, HCI research including extensive self-usage of a design is underdocumented. Yet such self-usage does happen and many researchers have found great value in the lessons learned from it. Our goal in this paper is to bring these hidden practices to light and offer guidelines for how HCI researchers can usefully engage in what we term 'autobiographical design'---design research drawing on extensive, genuine usage by those creating or building a system. Through interviews with HCI experts who have engaged in variations of autobiographical design, we draw out the possibilities and limitations of autobiographical design methods and lay out best practices for its use as an HCI research method.",10.1145/2317956.2318034,2012.0,Proceedings of the Designing Interactive Systems Conference,https://doi.org/10.1145/2317956.2318034,Design methods,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Documents hidden self-usage practices, defines and offers guidelines for the construct 'autobiographical design' as a design research method, suggesting C2 and C3; flagged to confirm in full text.","Treats autobiographical design as the topic, brings hidden practices to light, and offers guidelines while explicitly naming and framing the construct, satisfying synthesis/categorization and definitional adaptation criteria.",True,pdfplumber,49272,33,10,False,0,6,Design methods,tfidf-svd,knowledge-type,kmeans,7,"architectural, hood, software, mascot, children, embodied, self, creation",6.5444145,0.27750126,0.6223287407808328,7,False,7,4,0.9442818887860988,"service, related, usage, methodology, article, creation, formal, key",Design Methods,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Methodological, Artifact/System, Theoretical.",Education / Learning,Designers,,,"Methodological, Artifact/System, Theoretical","[{'paper_id': 'bee7b59885fa', 'title': 'Adapting the FBS Model of Designing for Usage-Driven Innovation Processes', 'cluster': 2, 'distance': 0.8245973470753499}, {'paper_id': '1416cd2b88de', 'title': 'Cross-disciplinary system value overview towards value-oriented design', 'cluster': 1, 'distance': 0.8292947778040669}, {'paper_id': '1c04ffa25528', 'title': 'The implications of improvisational acting and role-playing on design methodologies', 'cluster': 3, 'distance': 0.9117870470303112}, {'paper_id': 'b841f16ac5b3', 'title': 'Design methods for real time software', 'cluster': 7, 'distance': 0.9189610157608845}, {'paper_id': 'b2234ef79a5a', 'title': ""Tracing situated effects of innovative design methods: inexperienced designers' practices"", 'cluster': 0, 'distance': 0.9250782702171805}]"
1c04ffa25528,The implications of improvisational acting and role-playing on design methodologies,"Medler, Ben and Magerko, Brian","For decades designers have used theatre metaphors to describe design methodologies and have used performance techniques to enhance the design process, two of which are improvisational acting and role-playing. Unfortunately, most design literature does not differentiate between these two practices even while using them in combination with various design methods. This paper discusses how improvisation and role-playing have been employed during the design process and why they are distinct from one another. The authors draw upon their current research involving improvisational acting and compare it with other role-playing research which examines role-playing from both a serious and entertainment angle. They conclude through this comparison that both performance techniques have their place in the design process and that more informed definitions of each technique can aid designers in deciding which technique's properties will benefit them the most.",10.1145/1753326.1753398,2010.0,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/1753326.1753398,Design methods,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Discusses and differentiates design methodologies (improvisation vs role-playing) from literature and defines their distinction, plausibly satisfying C2/C3; flagged to confirm.","The paper explicitly discusses how improvisation and role-playing have been employed in design methodologies and distinguishes these practices, indicating categorization/synthesis of method constructs, but any formal definition is not clear from the abstract alone.",True,pdfplumber,56148,37,10,False,0,6,Design methods,tfidf-svd,knowledge-type,kmeans,3,"architecture, landscape, constraint, ideation, article, concept, relation, playing",7.230435,2.5189388,0.5560302500697545,6,False,6,5,0.95066961486199,"value, field, aspects, challenges, understand, industry, literature, architecture",Design Methods,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Artifact/System, Methodological, Theoretical.",Education / Learning,Designers,,,"Artifact/System, Methodological, Theoretical","[{'paper_id': '5611cdb5c33a', 'title': 'Generating implications for design through design research', 'cluster': 0, 'distance': 0.7804233268516572}, {'paper_id': '6e06768bb26b', 'title': 'Design as Research in Landscape Architecture', 'cluster': 3, 'distance': 0.8140014110725146}, {'paper_id': 'f02904f836be', 'title': 'Universal Participatory Design: Achievements and Challenges', 'cluster': 3, 'distance': 0.8174039102830681}, {'paper_id': '76669ffc8981', 'title': 'A Framework for Effective Virtual Commissioning: Guiding Principles for Seamless System Integration', 'cluster': 1, 'distance': 0.8548510455417766}, {'paper_id': '4592ed134f14', 'title': 'The relation between brain-learning physiology and conceptualization methods in the design process of architecture students1', 'cluster': 3, 'distance': 0.8585574174072846}]"
7e095752d24c,Think-4-EmCoDe framework: Highlighting key qualities in embodied co-design techniques for children,"Schaper, M.-M. (1); Márquez Segura, E. (2); Malinverni, L. (3); Pares, N. (4)","Embodied, co-design and children-specific methods have been gaining traction in Interaction Design for Children, and their potential and benefits are well-established. Yet methods at the intersection of all three areas are scarcer. In addition, design researchers lack tools for the analysis and adaptation of existing methods, and the creation of new ones to suit the particularities of the design project at hand. Here, we present theThink-4-EmCoDe frameworkfor the design and analysis of embodied co-design methods and techniques for children, which foregrounds key qualities in embodied interaction design research:(1) embodied awareness; (2) reflective imaginary; (3) emergence; (4) embodied memory; (5) situated relationality; (6) contingency; (7) playful engagement; (8) play practice; (9) developmental scaffolds; and (10) social dialogue.The framework has been developed drawing from several theories, methods, and frameworks in the areas of co-design and embodied design approaches. This framework allows designers to focus on both general design qualities for embodied experiences and the specific child perspective. We illustrate the use of the framework through the analysis of three design techniques and discuss its potential as an inspirational tool to understand, adapt and refine embodied co-design techniques for children. All rights reserved Elsevier.",10.1016/j.ijhcs.2023.103065,,International Journal of Human-Computer Studies,,Design methods,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Presents a framework foregrounding key qualities for analyzing and creating embodied co-design methods for children, treating design methods as the topic and likely defining its constructs.","Presents a framework for designing and analyzing embodied co-design methods for children, making design methods central, but the abstract does not clearly show a literature-based synthesis of design knowledge or an explicit definition, so full-text review is needed.",True,pdfplumber,92810,62,10,False,0,6,Design methods,tfidf-svd,knowledge-type,kmeans,7,"architectural, hood, software, mascot, children, embodied, self, creation",9.317846,1.9587699,0.5122491009656299,4,False,4,5,0.9617463120759312,"value, field, aspects, challenges, understand, industry, literature, architecture",Design Methods,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Methodological, Artifact/System, Theoretical.",Education / Learning,Designers,,,"Methodological, Artifact/System, Theoretical","[{'paper_id': 'd330bde18c87', 'title': 'Languaging design methods', 'cluster': 7, 'distance': 0.7601472381744852}, {'paper_id': '9fbb38d67689', 'title': 'Analysis of methods of creating new technical systems', 'cluster': 7, 'distance': 0.8183275126667713}, {'paper_id': '878cf959ac53', 'title': 'Designerly Research Methods and Researcherly Design Methods', 'cluster': 1, 'distance': 0.8194088484164804}, {'paper_id': 'b841f16ac5b3', 'title': 'Design methods for real time software', 'cluster': 7, 'distance': 0.860949131936521}, {'paper_id': '215d4603e3c7', 'title': 'A case study of the extension of floorplan flexibility using sector margins', 'cluster': 0, 'distance': 0.865720849385714}]"
60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework,"Cash, Philip (1); Daalhuizen, Jaap (2); Hekkert, Paul (3)","The increasingly transdisciplinary context of design, where designers collaborate with other disciplinary and domain experts, means there is a growing need to evidence the effectiveness of design methods. We address this need in two ways. First, we propose a ‘chain of evidence’, from motivation to claims, operationalising this in a systematic assessment framework. Second, we systematically review current design method research. Our results reveal that while all links in the chain of evidence are reported across the literature and best practices can be identified, no individual paper either reports all links or consistently achieves best practice. Our framework and results demonstrate the need for standards of evidence in this area, with implications for design method research, development, education, and practice. © 2023 The Authors",10.1016/j.destud.2023.101204,2023.0,Design Studies,,Design methods,engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Systematically reviews design method research and proposes an assessment framework treating design methods as the topic of study, satisfying C2 and likely defining method efficacy/effectiveness constructs.","This paper systematically reviews design method research and proposes an assessment framework, so it clearly synthesizes a body of work about design methods, but the abstract does not clearly state an explicit definition or adaptation of a design-knowledge construct.",False,,0,0,0,False,0,0,Design methods,tfidf-svd,knowledge-type,kmeans,0,"collapse, artifacts, floorplan, corroboration, ways, findings, business models, flexibility",7.9210405,0.6482956,0.5429029947121685,2,True,2,0,0.9678406248626916,"service, complexity, review, evidence, technical, innovative, thinking, implications",Design Methods,"This cluster focuses on Education / Learning, involving Designers, Practitioners, using User-centered Design, Ethnographic as the main methodological or conceptual lens, with contribution types coded as Methodological, Theoretical, Empirical.",Education / Learning,"Designers, Practitioners","User-centered Design, Ethnographic",,"Methodological, Theoretical, Empirical","[{'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': 0, 'distance': 0.7850807906632487}, {'paper_id': '5ba50396ff25', 'title': 'What is a Convention in Interactive Narrative Design?', 'cluster': 7, 'distance': 0.8558189043122679}, {'paper_id': 'bee7b59885fa', 'title': 'Adapting the FBS Model of Designing for Usage-Driven Innovation Processes', 'cluster': 2, 'distance': 0.8786820034953776}, {'paper_id': 'f16832406221', 'title': 'A Framework for Systemic Design', 'cluster': 2, 'distance': 0.8828918853428213}, {'paper_id': 'b2234ef79a5a', 'title': ""Tracing situated effects of innovative design methods: inexperienced designers' practices"", 'cluster': 0, 'distance': 0.8965097570888096}]"
b5d968168f35,A Framework of Design Method Corroboration,"Thoring, Katja (1); Mueller, Roland M. (2); Lecuna, Alejandro (3); Badke-Schaub, Petra (4)","Practitioners design artifacts of different kinds. Researchers and practitioners both create methods for designing such artifacts. The question arises whether those methods are actually valid and useful. In this conceptual paper, we argue that there is a need for 'method corroboration'-the deliberate and reflected use and possible validation of a design method. We present a literature review of method corroboration in the IS and more specifically in the DSR literature. The findings are summarized as a conceptual model outlining eight strategies of method use, which are then condensed into a 2-by-2 framework of method corroboration. The results of this paper present insight into the current state of method corroboration in the DSR field and provide guidance for working with design methods in research and practice. © 2023 IEEE Computer Society. All rights reserved.",,2023.0,Proceedings of the Annual Hawaii International Conference on System Sciences,,Design methods,engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Conceptual paper reviewing method corroboration in IS/DSR literature and presenting a conceptual model defining strategies of method use, satisfying C2 and likely C3.","This conceptual paper explicitly reviews prior literature on method corroboration, synthesizes it into a conceptual model and framework, and defines 'method corroboration' in the context of design methods.",False,,0,0,0,False,0,0,Design methods,tfidf-svd,knowledge-type,kmeans,0,"collapse, artifacts, floorplan, corroboration, ways, findings, business models, flexibility",8.063043,0.90099347,0.3749372788150056,1,True,1,5,0.968932337976344,"value, field, aspects, challenges, understand, industry, literature, architecture",Design Methods,"This cluster focuses on Education / Learning, involving Designers, Practitioners, using User-centered Design, Ethnographic as the main methodological or conceptual lens, with contribution types coded as Methodological, Theoretical, Empirical.",Education / Learning,"Designers, Practitioners","User-centered Design, Ethnographic",,"Methodological, Theoretical, Empirical","[{'paper_id': '66218ff443f6', 'title': 'Deliberated Evolution: Stalking the View Matcher in Design Space', 'cluster': 0, 'distance': 0.6854201425296268}, {'paper_id': 'b2234ef79a5a', 'title': ""Tracing situated effects of innovative design methods: inexperienced designers' practices"", 'cluster': 0, 'distance': 0.7777382628971136}, {'paper_id': '60c69d24c5a3', 'title': 'Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework', 'cluster': 0, 'distance': 0.7850807906632487}, {'paper_id': '5389fb1cc38b', 'title': 'Elements of a design method – a basis for describing and evaluating design methods', 'cluster': 5, 'distance': 0.810102179023224}, {'paper_id': '40a2d86cd488', 'title': 'Elements of a design method - a basis for describing and evaluating design methods', 'cluster': 5, 'distance': 0.811172643177378}]"
40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,"Gericke, K. (1); Eckert, C. (2); Stacey, M. (3)","Method development is at the heart of design research as methods are a formalised way to express knowledge about how aspects of design could or should be done. However, assuring that methods are in fact used in industry has remained a challenge. Industry will only use methods that they can understand and that they feel will give them benefit reliably. To understand the challenges involved in adopting a method, the method needs to be seen in context: it does not exist in isolation but forms a part of an ecosystem of methods for tackling related design problems. A method depends on the knowledge and skills of the practitioners using it: while a description of a method is an artefact that is a formalisation of engineering knowledge, a method in use constitutes a socio-technical system depending on the interaction of human participants with each other as well as with the description of the method, representations of design information and, often, tools for carrying out the method's tasks. This paper argues that crucial factors in the adoption of methods include how well they are described and how convincingly they are evaluated. The description of a method should cover itscore idea, therepresentationsin which design information is described, theprocedureto be followed, itsintended use, and thetoolsit uses. The account of a method's intended use should cover itspurpose, the situations or product types within itsscope, itscoverageof kinds of problems within its scope, itsexpected benefitandconditionsfor its use. The different elements need to be evaluated separately as well as the method as an integrated whole. While verification and validation are important for some elements of methods, it is rarely possible to prove the validity of a method. Rather the developers of methods need to gather sufficient evidence that a method will work within a clearly articulated scope. Most design methods do not have binary success criteria, and their usefulness in practice depends as much on simplicity and usability as on the outcomes they produce. Evaluation should focus on how well they work, and how they can be customised and improved.",10.1017/dsj.2022.23,,Design Science,,Design methods,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Studies design methods as formalized knowledge and proposes elements to describe/evaluate them, satisfying C2 and likely defining method constructs, warranting full-text review.","The paper appears to analyze and describe elements of design methods as a basis for evaluating methods, suggesting design knowledge is central, but the truncated abstract does not clearly confirm a literature synthesis or explicit definition.",True,pdfplumber,70677,48,10,False,0,6,Design methods,tfidf-svd,knowledge-type,kmeans,5,"industry, understand, method development, heart, aspects assuring, does exist, remained challenge, reliably",8.88548,0.70276767,0.0001177215077072,1,True,1,5,0.9891625472410688,"value, field, aspects, challenges, understand, industry, literature, architecture",Design Methods,"This cluster focuses on Education / Learning, involving Practitioners, Developers, Designers, with recurring attention to Tool, with contribution types coded as Methodological, Artifact/System, Theoretical.",Education / Learning,"Practitioners, Developers, Designers",,Tool,"Methodological, Artifact/System, Theoretical","[{'paper_id': '5389fb1cc38b', 'title': 'Elements of a design method – a basis for describing and evaluating design methods', 'cluster': 5, 'distance': 0.0004708583141228573}, {'paper_id': 'b5d968168f35', 'title': 'A Framework of Design Method Corroboration', 'cluster': 0, 'distance': 0.811172643177378}, {'paper_id': 'b2234ef79a5a', 'title': ""Tracing situated effects of innovative design methods: inexperienced designers' practices"", 'cluster': 0, 'distance': 0.8465405219209272}, {'paper_id': '721f009574ce', 'title': 'On integration of interface design methods: Can debates be resolved?', 'cluster': 4, 'distance': 0.8819208758965934}, {'paper_id': '878cf959ac53', 'title': 'Designerly Research Methods and Researcherly Design Methods', 'cluster': 1, 'distance': 0.9023236603096577}]"
d330bde18c87,Languaging design methods,"Gray, C.M. (1)","Design methods have been integral to design studies research, with initial goals of bringing rationality and objectivity to design activities, later shifting to the creation and provision of methods as tools to encourage more reflective, meaningful, and socially responsible design practices. However, little research exists that describes how methods are created, what knowledge is used to inform this creation, or connects elements of methods to performance by designers. In this research note, I describe performative, codification-oriented, and presentation-oriented stances towards design methods, articulating a vocabulary that languages aspects of methods. I describe areas where this vocabulary may support design researchers, including building new design methods, informing descriptive accounts of methods in use, and supporting the creation of a theory of method. All rights reserved Elsevier.",10.1016/j.destud.2021.101076,,Design Studies,,Design methods,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Examines how design methods are created and the knowledge informing them, and proposes its own stances/definitions of design methods, plausibly satisfying C2 and C3.","Although this research note appears centrally concerned with design methods and describes stances toward them, the abstract does not clearly state that these stances are synthesized from prior literature or that it explicitly defines a design-knowledge construct, so it should be checked in full text.",False,,0,0,0,False,0,0,Design methods,tfidf-svd,knowledge-type,kmeans,7,"architectural, hood, software, mascot, children, embodied, self, creation",9.32279,1.5167994,0.4833756109500559,2,True,2,5,0.9618712755189138,"value, field, aspects, challenges, understand, industry, literature, architecture",Design Methods,"This cluster focuses on Education / Learning, involving Designers, with contribution types coded as Methodological, Artifact/System, Theoretical.",Education / Learning,Designers,,,"Methodological, Artifact/System, Theoretical","[{'paper_id': '7e095752d24c', 'title': 'Think-4-EmCoDe framework: Highlighting key qualities in embodied co-design techniques for children', 'cluster': 7, 'distance': 0.7601472381744852}, {'paper_id': '878cf959ac53', 'title': 'Designerly Research Methods and Researcherly Design Methods', 'cluster': 1, 'distance': 0.7699024621631679}, {'paper_id': 'dbf31702e533', 'title': 'Patterns for living lab practice: describing key know-how to promote service co-creation with users', 'cluster': 2, 'distance': 0.7890791309146457}, {'paper_id': 'b841f16ac5b3', 'title': 'Design methods for real time software', 'cluster': 7, 'distance': 0.8255869547030223}, {'paper_id': '9fbb38d67689', 'title': 'Analysis of methods of creating new technical systems', 'cluster': 7, 'distance': 0.83867337867796}]"
