paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,pdf_found,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,extraction_terms,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers
d0a936b480d4,Acquiring educational access for neurodiverse learners through multisensory design principles,"Puccini, Angela M. and Puccini, Marisa and Chang, Angela","Educational interface designers are in an unprecedented position to facilitate autonomous learning in neurodiverse learners (children with special needs). These learners are particularly in need of special design, given the disproportionate impact it can have on their quality of life and the current vulnerability they experience due to changes in special education law. In response to the urgent conditions facing these students, we construct and define a set of design principles that are grounded in maximizing the potential of these learners by importing the meta-cognitive skills, algorithmic structures, and multiple sensory modalities that are both proven successful in their remediation and uniquely suited to technological design adaptation.We draw from our main author's experience as a heavily remediated Dyslexic, a lifelong user of modified, adaptable and assistive technology, and a self-aware learner taught to understand why the methods behind her remediation worked. We additionally draw on our cumulative experience as users, teachers and developers of technology and on interviews with participants from a wide variety of sociocultural functions and pedagogical practices involved with special education. Based upon these and existing methods and applications, we present our insights in the form of guidelines for universal design that have the potential to not only embrace the differences of all learners but to maximize the potential of underserved neurodiverse learners so they can become self-sufficient masters of their own skills and interests across their lifetime.",10.1145/2485760.2485848,2013,Proceedings of the 12th International Conference on Interaction Design and Children,https://doi.org/10.1145/2485760.2485848,Design principles,design_principles.bib,acm,full,False,False,True,True,True,True,advance_criteria,True,"Constructs and defines a set of design principles grounded in learning theory, plausibly satisfying C2 and C3; flagged to confirm the definitional and synthesis basis in full text.","The case study combines universal design principles with accessibility guidelines and plausibly synthesizes design knowledge, but the abstract is too truncated to confirm C2 or any explicit definition.",True,pdfplumber,25068,16,7,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,3,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-2.6471224,20.531685,,-1,True,-1,1,0.9590892688679391,"education, learners, adaptive, game, industry, impact, approaches, provide",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'fee96194a322', 'title': 'Personalising learning: towards a coherent learning design framework', 'cluster': -1, 'distance': 0.4784807813176065}, {'paper_id': 'b77e7d67555e', 'title': 'USSF: A Unified Framework for Screen Standardization in Software Systems', 'cluster': -1, 'distance': 0.7835165712355177}, {'paper_id': 'a0bac1579403', 'title': 'Analysing adaptive gamification design principles for online courses', 'cluster': -1, 'distance': 0.7848648765081292}, {'paper_id': '42c66c187222', 'title': 'Toward an effective approach to collaboration education: A taxonomy for game design', 'cluster': -1, 'distance': 0.826630689805611}, {'paper_id': '1445730be68b', 'title': 'A problem-based approach to the advancement of heuristics for socio-technical evaluation', 'cluster': -1, 'distance': 0.8277329865199478}]"
01467836cecf,Design principles for human-computer interfaces,"Norman, Donald A.","If the field of Human Factors in Computer Systems is to be a success it must develop design principles that are useful, principles that apply across a wide range of technologies. In the first part of this paper I discuss some the properties that useful principles should have. While I am at it, I warn of the dangers of the tar pits and the sirens of technology. We cannot avoid these dangers entirely, for were we to do so, we would fail to cope with the real problems and hazards of the field.The second part of the paper is intended to illustrate the first part through the example of tradeoff analysis. Any single design technique is apt to have its virtues along one dimension compensated by deficiencies along another. Tradeoff analysis provides a quantitative method of assessing tradeoff relations for two attributes xi and xj by first determining the User Satisfaction function for each, U(x), then showing how U(xi) trades off against U(xj). In general, the User Satisfaction for a system is given by the weighted sum of the User Satisfaction values for the attributes. The analysis is used to examine two different tradeoffs of information versus time and editor workspace versus menu size. Tradeoffs involving command languages versus menu-based systems, choices of names, and handheld computers versus workstations are examined briefly.",10.1145/800045.801571,1983,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/800045.801571,Design principles,design_principles.bib,acm,full,False,False,True,True,False,True,advance_criteria,True,"Discusses properties that useful HCI design principles should have, defining and characterizing the construct as its topic of study.","The paper appears centrally concerned with design principles for human-computer interfaces and discusses properties of useful principles, but the abstract does not clearly show a literature-based synthesis or an explicit formal definition, so full text is needed.",True,pdfplumber,53374,36,10,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,6,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-3.6060083,20.333826,,-1,True,-1,2,0.9590884959776621,"analysis, software, problem, heuristics, develop, computer, field, ai",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'd893185b7873', 'title': 'Introduction to Initial HCI Engineering Design Principles for Domestic Energy Planning and Control', 'cluster': -1, 'distance': 0.6158384231580998}, {'paper_id': '44848ca19e31', 'title': 'Design Obligations for Software, with Examples from Data Abstraction and Adaptive Systems', 'cluster': -1, 'distance': 0.7317943503536718}, {'paper_id': '31bdafb1fc73', 'title': 'Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review', 'cluster': -1, 'distance': 0.7528181625953044}, {'paper_id': 'b77e7d67555e', 'title': 'USSF: A Unified Framework for Screen Standardization in Software Systems', 'cluster': -1, 'distance': 0.8177218557933721}, {'paper_id': 'a0bac1579403', 'title': 'Analysing adaptive gamification design principles for online courses', 'cluster': -1, 'distance': 0.8182075416366829}]"
0b35e34543e2,Designing Artificial Identity: The Identity Design Framework and Research Agenda,"Bransky, Karla and Sweetser, Penny and Holthaus, Patrick and Laban, Guy and Winkle, Katie and Akalin, Neziha and Ashok, Ashita and Lee, Jihye and Khot, Rucha and Bejarano, Alexandra and Thijn, Jorrit and Moore, Roger K. and Jang, Minsu and Fischer, Joel E and Lee, Minha","The identity design of artificial agents carries growing ethical, psychological, and cultural weight, as ubiquitous language models and diverse robotic forms are blended into everyday use. However, structured approaches to designing coherent and interpretable artificial identities remain limited. To address urgent challenges in artificial identity design, including harmful stereotypes and deceptive practices, we introduce the Identity Design (ID) Framework and an accompanying research agenda. Drawing on emerging work on artificial identity in human-robot interaction and taking an interdisciplinary perspective, we propose twelve design principles across three levels: individual (recognisability, behavioural consistency, identity continuity, memory, persistent goals), group (membership signalling, social alignment, role clarity), and societal (benevolence, artificiality, social justice, transparency). The research agenda outlines open questions around the operationalisation and measurement of identity, social dynamics, and ethical considerations for identity design. Together, they lay the groundwork for future research and responsible practice in robotic, virtual, and multi-embodied agents.",10.1145/3800645.3812962,2026,Proceedings of the 2026 Designing Interactive Systems Conference,https://doi.org/10.1145/3800645.3812962,Design principles,design_principles.bib,acm,full,False,False,True,True,True,True,advance_criteria,True,"Introduces an interdisciplinary Identity Design Framework drawing on emerging work, likely synthesizing and defining design-knowledge constructs for artificial identity; flagged to confirm details.","It introduces an Identity Design Framework and research agenda by drawing on emerging interdisciplinary work on artificial identity, indicating synthesis/categorization of a design-related construct, but the abstract does not clearly state an explicit definition.",True,pdfplumber,105888,68,10,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,8,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-2.5460172,21.685581,,-1,True,-1,7,0.9399943533862821,"games, ethical, initial, language, practice, growing, body, approaches",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'fee96194a322', 'title': 'Personalising learning: towards a coherent learning design framework', 'cluster': -1, 'distance': 0.5629815973286996}, {'paper_id': '8eb8539b9712', 'title': 'Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces', 'cluster': -1, 'distance': 0.6619595491452408}, {'paper_id': 'b77e7d67555e', 'title': 'USSF: A Unified Framework for Screen Standardization in Software Systems', 'cluster': -1, 'distance': 0.7355970844467261}, {'paper_id': 'a0bac1579403', 'title': 'Analysing adaptive gamification design principles for online courses', 'cluster': -1, 'distance': 0.812594897486578}, {'paper_id': '83aa5bd0e6f8', 'title': 'Designing Embodied Sonic Meditation', 'cluster': -1, 'distance': 0.8630271324381709}]"
2280b868ea5f,Form and Function: Toward a Better Understanding of Design-Based Games,"Sullivan, Anne and Stanfill, Mel and Salter, Anastasia and Wardrip-Fruin, Noah","Amid cozy and casual games are those with mechanics allowing player creativity through design. Although player creativity has been identified as a major motivation for such play, these games are currently under-researched. In this paper, we define this genre as “design-based games” and identify evaluating player designs as a major challenge these games face. We discuss four main evaluation strategies currently used in design-based games, derived from an initial survey of the genre: evaluation through formal design principles, relying on attributes not related to design, using other players to evaluate designs, and removing the design elements from the primary game loop so that evaluation is not necessary. We look at six highly successful design-based games as case studies and discuss the challenges and opportunities of evaluating player creativity, as well as design-based games as a genre.",10.1145/3723498.3723814,2025,Proceedings of the 20th International Conference on the Foundations of Digital Games,https://doi.org/10.1145/3723498.3723814,Design principles,design_principles.bib,acm,full,False,False,True,True,True,True,advance_criteria,True,"Defines the 'design-based games' genre and surveys/categorizes design evaluation strategies, plausibly satisfying C2 and C3; flagged for full-text confirmation.","The paper explicitly defines the genre of 'design-based games' and synthesizes four evaluation strategies from an initial survey of the genre, satisfying both categorization/synthesis and definition criteria.",True,pdfplumber,52440,41,10,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,8,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-3.2092772,19.269165,,-1,True,-1,7,0.943747240442143,"games, ethical, initial, language, practice, growing, body, approaches",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '42c66c187222', 'title': 'Toward an effective approach to collaboration education: A taxonomy for game design', 'cluster': -1, 'distance': 0.41490055673337745}, {'paper_id': 'd893185b7873', 'title': 'Introduction to Initial HCI Engineering Design Principles for Domestic Energy Planning and Control', 'cluster': -1, 'distance': 0.8927183893239643}, {'paper_id': '1445730be68b', 'title': 'A problem-based approach to the advancement of heuristics for socio-technical evaluation', 'cluster': -1, 'distance': 0.9092441021746742}, {'paper_id': '93bb03ac03b6', 'title': 'Design principles for data analysis', 'cluster': -1, 'distance': 0.9494526328307168}, {'paper_id': '01467836cecf', 'title': 'Design principles for human-computer interfaces', 'cluster': -1, 'distance': 0.951865533355975}]"
8eb8539b9712,Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces,"Cheng, Theodore H","Current disclaimer approaches in large language model (LLM) systems often disrupt conversational flow with static, one-shot warnings that fail to engage users in deeper ethical reflection and, as a growing body of evidence reveals, are largely ineffective at achieving their intended goals of calibrated trust and informed use. This paper examines how disclaimers can be reimagined as integrated dialogic elements that maintain conversational coherence while effectively communicating necessary ethical information. Through a theoretical synthesis drawing on research in conversational repair, dialogue structure, AI transparency, and empirical studies of user interaction with LLMs, we identify four design principles for dialogic disclaimers: Conversational Continuity, Contextual Adaptation, Layered Communication, and User Agency. We provide illustrative conversation patterns demonstrating how these principles can transform disclaimers from disruptive and often ignored statements into constructive components of ethical dialogue. This work establishes a conceptual framework intended as a theoretical foundation to guide future empirical evaluation and the design of more ethically responsible and conversationally fluent LLM interfaces.",10.1145/3719160.3737640,2025,Proceedings of the 7th ACM Conference on Conversational User Interfaces,https://doi.org/10.1145/3719160.3737640,Design principles,design_principles.bib,acm,full,False,False,True,True,True,True,advance_criteria,True,"Theoretical synthesis drawing on multiple research bodies to produce principles for dialogic disclaimer design, plausibly satisfying C2/C3; flagged for full-text confirmation.","The abstract presents a theoretical synthesis of prior research to derive principles for conversational disclaimer design, so it plausibly synthesizes design-knowledge constructs, but no explicit definition/adaptation is clearly visible from the truncated abstract.",True,pdfplumber,21416,17,7,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,2,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-3.379956,21.68815,,-1,True,-1,7,0.9499977772339013,"games, ethical, initial, language, practice, growing, body, approaches",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '0b35e34543e2', 'title': 'Designing Artificial Identity: The Identity Design Framework and Research Agenda', 'cluster': -1, 'distance': 0.6619595491452408}, {'paper_id': '31bdafb1fc73', 'title': 'Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review', 'cluster': -1, 'distance': 0.7858386219676101}, {'paper_id': 'b77e7d67555e', 'title': 'USSF: A Unified Framework for Screen Standardization in Software Systems', 'cluster': -1, 'distance': 0.8277700294720741}, {'paper_id': '01467836cecf', 'title': 'Design principles for human-computer interfaces', 'cluster': -1, 'distance': 0.8309538423126349}, {'paper_id': '83aa5bd0e6f8', 'title': 'Designing Embodied Sonic Meditation', 'cluster': -1, 'distance': 0.8873270659529646}]"
96dd29c8f345,Data Mesh: A Systematic Gray Literature Review,"Goedegebuure, Abel and Kumara, Indika and Driessen, Stefan and Van Den Heuvel, Willem-Jan and Monsieur, Geert and Tamburri, Damian Andrew and Nucci, Dario Di","Data mesh is an emerging domain-driven decentralized data architecture that aims to minimize or avoid operational bottlenecks associated with centralized, monolithic data architectures in enterprises. The topic has piqued the practitioners’ interest, and considerable gray literature exists. At the same time, we observe a lack of academic attempts at defining and building upon the concept. Hence, in this article, we aim to start from the foundations and characterize the data mesh architecture regarding its design principles, architectural components, capabilities, and organizational roles. We systematically collected, analyzed, and synthesized 114 industrial gray literature articles. The resulting review provides insights into practitioners’ perspectives on the four key principles of data mesh: data as a product, domain ownership of data, self-serve data platform, and federated computational governance. Moreover, due to the comparability of data mesh and SOA (service-oriented architecture), we mapped the findings from the gray literature into the reference architectures from the SOA academic literature to create the reference architectures for describing three key dimensions of data mesh: organization of capabilities and roles, development, and runtime. Finally, we discuss open research issues in data mesh, partially based on the findings from the gray literature.",10.1145/3687301,2024,ACM Comput. Surv.,https://doi.org/10.1145/3687301,Design principles,design_principles.bib,acm,full,False,False,True,True,True,True,advance_criteria,True,"Systematic gray literature review that characterizes and defines the data mesh architecture's design principles and components, synthesizing from prior work (C2) and aiming to define the concept (possible C3); flagged to confirm definitional framing.","The paper appears to study developers' practices and barriers around accessibility and inclusive development, which is relevant to design knowledge, but the truncated abstract does not confirm a synthesis or explicit definition from title and abstract alone.",True,pdfplumber,101365,75,10,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,4,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-2.2320907,19.458376,,-1,True,-1,4,0.9526302017917444,"engineering, literature, definition, domain, aims, challenge, architectures, article",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '93bb03ac03b6', 'title': 'Design principles for data analysis', 'cluster': -1, 'distance': 0.40342503886174064}, {'paper_id': '44848ca19e31', 'title': 'Design Obligations for Software, with Examples from Data Abstraction and Adaptive Systems', 'cluster': -1, 'distance': 0.776439064402868}, {'paper_id': 'fee96194a322', 'title': 'Personalising learning: towards a coherent learning design framework', 'cluster': -1, 'distance': 0.8506499280253348}, {'paper_id': '31bdafb1fc73', 'title': 'Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review', 'cluster': -1, 'distance': 0.8934619103346234}, {'paper_id': '42c66c187222', 'title': 'Toward an effective approach to collaboration education: A taxonomy for game design', 'cluster': -1, 'distance': 0.9100551167744612}]"
1445730be68b,A problem-based approach to the advancement of heuristics for socio-technical evaluation,"Herrmann, T. (1); Jahnke, I. (2); Nolte, A. (3, 4)","With ubiquitous, mobile computing, health care systems, and smart factories, socio-technical phenomena continue to emerge that challenge traditional design and evaluation methods. We perceive such phenomena as the intertwinement of technical artifacts and social practices. Previous work shows that there is no sufficient method to evaluate the quality of thissocio-technical intertwinement. Hence, our goal was to develop socio-technical heuristics, in short ST-heuristics, that can be applied by individuals to detect issues. Drawing inspiration from the success of usability heuristics in the field of human-computer interaction, we first applied a literature review to develop an initial set of ST-heuristics derived from six domains comprising groupware/computer-support cooperative work, job design, usability, socio-technical design principles, privacy, and process design. We then conducted two studies to evaluate and improve this set using empirical data from 13 cases from health care, industry, and engineering education fields. In total, we analysed 306 problems. The results substantiate a final set of eight ST-heuristics which allow for evaluating the socio-technical intertwinement in situ. We perceive the contribution of this work as a starting point for evaluators to uncover crucial issues and to improve current practice. We discuss the developed set of ST-heuristics within existing literature.",10.1080/0144929X.2021.1972157,,Behaviour & Information Technology,,Design principles,design_principles.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Develops socio-technical heuristics drawing on prior usability heuristics, treating heuristics as the object of study and likely defining the construct, satisfying C2 and plausibly C3.","The paper centers on developing socio-technical heuristics for evaluation, which plausibly concerns design-knowledge constructs, but the abstract does not clearly indicate whether these heuristics are synthesized from prior literature or explicitly defined in a way that satisfies C2/C3.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-2.657763,19.944046,,-1,True,-1,2,0.9549950387114111,"analysis, software, problem, heuristics, develop, computer, field, ai",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'b77e7d67555e', 'title': 'USSF: A Unified Framework for Screen Standardization in Software Systems', 'cluster': -1, 'distance': 0.7029888214685471}, {'paper_id': '42c66c187222', 'title': 'Toward an effective approach to collaboration education: A taxonomy for game design', 'cluster': -1, 'distance': 0.818657613273206}, {'paper_id': 'd0a936b480d4', 'title': 'Acquiring educational access for neurodiverse learners through multisensory design principles', 'cluster': -1, 'distance': 0.8277329865199478}, {'paper_id': '0b35e34543e2', 'title': 'Designing Artificial Identity: The Identity Design Framework and Research Agenda', 'cluster': -1, 'distance': 0.8700067841409667}, {'paper_id': '2ba0daf07e8e', 'title': 'Engineering design principles as patterns of relationships in frame creation', 'cluster': -1, 'distance': 0.8747267102870929}]"
d893185b7873,Introduction to Initial HCI Engineering Design Principles for Domestic Energy Planning and Control,"Long, J. (1); Cummaford, S. (2); Stork, A. (3)","This chapter introduces HCI-EDPs for the application domain of domestic energy planning and control. The introduction comprises: a conception of declarative EDPs; an 'instance-first' strategy for developing such principles, and a conception of human-computer systems, required for such principles. The chapter constitutes the basis for the following chapter on the development of initial HCI-EDPs to support the more effective design of interactive domestic energy planning and control systems.",10.1007/978-3-031-79215-1_2,,Toward Engineering Design Principles for HCI. Synthesis Lectures on Human-Centered Informatics,,Design principles,design_principles.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Introduces a conception of declarative engineering design principles and an instance-first strategy, suggesting definitional framing (C3) and synthesis (C2); flagged for full-text confirmation.","This chapter centers on HCI engineering design principles and introduces conceptions of declarative EDPs and their development strategy, but the abstract does not clearly show a synthesis from prior work or an explicit definition sufficient to confirm C2/C3 from abstract alone.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-4.277409,20.245779,,-1,True,-1,7,0.9470531244747348,"games, ethical, initial, language, practice, growing, body, approaches",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '01467836cecf', 'title': 'Design principles for human-computer interfaces', 'cluster': -1, 'distance': 0.6158384231580998}, {'paper_id': '2ba0daf07e8e', 'title': 'Engineering design principles as patterns of relationships in frame creation', 'cluster': -1, 'distance': 0.6513020358774892}, {'paper_id': 'b77e7d67555e', 'title': 'USSF: A Unified Framework for Screen Standardization in Software Systems', 'cluster': -1, 'distance': 0.7406185056657841}, {'paper_id': '31bdafb1fc73', 'title': 'Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review', 'cluster': -1, 'distance': 0.7774172684961486}, {'paper_id': 'a0bac1579403', 'title': 'Analysing adaptive gamification design principles for online courses', 'cluster': -1, 'distance': 0.8409796575404223}]"
fee96194a322,Personalising learning: towards a coherent learning design framework,"Zalavra, E. (1); Papanikolaou, K. (2); Dimitriadis, Y. (3); Sgouropoulou, C. (1)","The vision of a Personalised Learning (PL) experience in education is a long-standing notion advocated by educators. Research literature accounts for several pedagogical and technological approaches to tailor learning to learners' variability. This paper aims to contribute to PL and Learning Design (LD) research by conceptualising CPELDS (Coherent PErsonalised Learning DeSign) as a framework outlining consistent PL design principles. CPELDS blends learner profiles addressing the dimensions of interests, strengths and needs with personalisation principles. Considering evidence about the effectiveness of Universal Design for Learning in empirical studies in special education, we transform and augment its guidelines into personalisation principles of CPELDS to address broader learners' variability. The personalisation principles employed involve (i) fostering learner's engagement, (ii) providing alternative information perception and comprehension modes, including differentiation, and (iii) supporting alternative means for learners' action and expression to demonstrate acquired knowledge and skills. We anticipate the conceptualisation of CPELDS to stimulate the representational form of an LD tool towards supporting educators as designers of PL.",10.1109/ICALT55010.2022.00030,,2022 International Conference on Advanced Learning Technologies (ICALT),,Design principles,design_principles.csv,engineering_village|ieee,full,False,False,True,True,True,True,advance_criteria,True,"Conceptualizes a learning design framework synthesizing PL/LD principles from literature, satisfying C2, and appears to define its own framework construct, warranting full-text confirmation.","The abstract explicitly mentions four design principles for instructional materials, but from the abstract alone it is unclear whether these are synthesized from prior work or how they are defined, warranting full-text review.",True,pdfplumber,17226,12,7,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,5,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-2.4430313,21.056103,,-1,True,-1,1,0.6055424128187029,"education, learners, adaptive, game, industry, impact, approaches, provide",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'd0a936b480d4', 'title': 'Acquiring educational access for neurodiverse learners through multisensory design principles', 'cluster': -1, 'distance': 0.4784807813176065}, {'paper_id': 'a0bac1579403', 'title': 'Analysing adaptive gamification design principles for online courses', 'cluster': -1, 'distance': 0.5407796552847568}, {'paper_id': '0b35e34543e2', 'title': 'Designing Artificial Identity: The Identity Design Framework and Research Agenda', 'cluster': -1, 'distance': 0.5629815973286996}, {'paper_id': 'b77e7d67555e', 'title': 'USSF: A Unified Framework for Screen Standardization in Software Systems', 'cluster': -1, 'distance': 0.5834158994232117}, {'paper_id': '31bdafb1fc73', 'title': 'Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review', 'cluster': -1, 'distance': 0.7460004742569766}]"
a0bac1579403,Analysing adaptive gamification design principles for online courses,"Sezgin, S. (1); Yüzer, T.V. (2)","This study defines and analyses adaptive gamification design principles for online courses. It was conducted as a holistic single case study framed by two theoretical approaches, namely, gamification and adaptive learning. The first part of the study establishes a theoretical matrix with its contents converted into a questionnaire which includes nine semi-structured questions. Following this, a four-round Delphi panel with 12 field experts was performed. In the second part, the design principle proposition checklist was presented to a focus group of six formed by experts in the field of open and distance education to obtain their feedback on its usability, applicability and significance. The qualitative data obtained in the first phase was analysed by using content analysis while the quantitative data obtained in the other phases were analysed by calculating the distribution of frequencies and measures of central tendency. Results of the Delphi rounds and the focus group interview yielded a checklist of adaptive gamification design principles for online courses comprising 102 design principles under 11 themes.",10.1080/0144929X.2020.1817559,,Behaviour & Information Technology,,Design principles,design_principles.csv,engineering_village,full,False,False,True,True,False,True,advance_criteria,True,"Defines and analyses adaptive gamification design principles from theory via Delphi panel, satisfying C2, and explicitly defines the principles for its context, satisfying C3.","The study develops and iteratively refines an instructional model and a set of principles in maker education, suggesting possible design-knowledge relevance, but the abstract does not clearly show a literature synthesis or explicit definition and warrants full-text review.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design principles,tfidf-svd,context,hdbscan,-1,noise / outliers,-3.0809689,21.051996,,-1,True,-1,1,0.9470563440919246,"education, learners, adaptive, game, industry, impact, approaches, provide",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'fee96194a322', 'title': 'Personalising learning: towards a coherent learning design framework', 'cluster': -1, 'distance': 0.5407796552847568}, {'paper_id': 'd0a936b480d4', 'title': 'Acquiring educational access for neurodiverse learners through multisensory design principles', 'cluster': -1, 'distance': 0.7848648765081292}, {'paper_id': '44848ca19e31', 'title': 'Design Obligations for Software, with Examples from Data Abstraction and Adaptive Systems', 'cluster': -1, 'distance': 0.8084723843350957}, {'paper_id': '0b35e34543e2', 'title': 'Designing Artificial Identity: The Identity Design Framework and Research Agenda', 'cluster': -1, 'distance': 0.812594897486578}, {'paper_id': '01467836cecf', 'title': 'Design principles for human-computer interfaces', 'cluster': -1, 'distance': 0.8182075416366829}]"
