paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,pdf_found,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers
bacdc4f76eea,Work system principles: towards a justified design theory on the grounds of socio-instrumental pragmatism,"Petersson, Johan","The aim of the paper is to explore a possible theoretical foundation for the `work system approach'. The concept of work systems has been suggested as the core object of study in the field of information systems. The scope of the work system approach is determined by pragmatic relevance and high comprehensibility, with the goal of being applicable for professionals in both IT and business as well as IS researchers. This approach has, however, been criticized for having theoretical shortcomings. In this paper, a theoretical foundation is suggested and explored by relating it to work practice theory and its roots in socio-instrumental pragmatism. The results show that it is both possible and fruitful to ground the work system approach theoretically in socio-instrumental actions.",10.1145/1479190.1479200,2008,Proceedings of the 3rd International Conference on the Pragmatic Web: Innovating the Interactive Society,https://doi.org/10.1145/1479190.1479200,Design theory,acm|engineering_village|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Explores and develops a theoretical foundation for the work system design theory drawing on prior work and socio-instrumental pragmatism, treating design theory as the object of study and proposing its own justification.","The paper appears to theorize work system principles as a foundation for the work system approach, but the truncated abstract does not clearly confirm a synthesis from prior literature or an explicit definition, so full text is needed.",True,pdfplumber,39748,27,10,False,0,6,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,2.384748,7.4482584,,-1,True,-1,1,0.9773827969465836,"field, theoretical, existing, theories, decision, education, analysis, social",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'af66a447ca7c', 'title': 'Digital Panopticon: How Remote Work Monitoring Shapes Employee Behavior and Motivation', 'cluster': -1, 'distance': 0.7587791343109891}, {'paper_id': 'c0372ed4d123', 'title': 'Web-based information systems: Developing a design theory', 'cluster': -1, 'distance': 0.7820817035624918}, {'paper_id': '056ae4e01610', 'title': 'Beyond the old game design: a new design paradigm in Game Studies through C-K Theory', 'cluster': -1, 'distance': 0.7953529521813297}, {'paper_id': '6ecb18a5b139', 'title': 'TO THE PROBLEM OF FORMING THE CATEGORIAL AND CONCEPTUAL APPARATUS OF THE COURSE “HISTORY AND METHODOLOGY OF DESIGN DESIGN”', 'cluster': -1, 'distance': 0.7967205861851416}, {'paper_id': '1728dd2afe4b', 'title': 'Design theory in practice – Making design science research more transparent', 'cluster': -1, 'distance': 0.8027994552195186}]"
dc61c8a1dcd6,Multiscale Design Strategies in a Landscape Architecture Classroom,"Lupfer, Nic and Fowler, Hannah and Valdez, Alyssa and Webb, Andrew and Merrill, Jeremy and Newman, Galen and Kerne, Andruid","We derive a theory of multiscale design through a study of a landscape architecture studio classroom. We find that processes of designing, to meet a site's situated needs, involve creating and connecting representations across levels, such as overview and detail. We introduce multiscale design theory, which works to understand how designers explore, juxtapose, and synthesize relationships across levels of scale. We identify three design strategies landscape architecture students use to work with scale: multiply, map, and shift perspective. We combine these strategies with prior literature, across fields, to initiate a theory of multiscale design.",10.1145/3196709.3196812,2018,Proceedings of the 2018 Designing Interactive Systems Conference,https://doi.org/10.1145/3196709.3196812,Design theory,acm|semantic_scholar,full,False,False,True,True,True,True,advance_criteria,True,"Derives multiscale design theory from a study and combines strategies with prior literature, introducing its own theory/definition of design strategies, plausibly satisfying C2 and C3.","It derives and introduces a theory of multiscale design, identifies design strategies, and combines them with prior literature, indicating both synthesis from existing work and an original definitional/theoretical contribution.",True,pdfplumber,19799,16,6,False,0,4,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,3.1083708,6.576739,,-1,True,-1,4,0.963556471635085,"theories, engineering, science, problem, practice, methodology, technical, software",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '363ca9685308', 'title': 'Cognitive Architecture and Instructional Design: 20 Years Later', 'cluster': -1, 'distance': 0.6280174296625893}, {'paper_id': '2c8a6e74557f', 'title': 'The tacit knowledge of entrepreneurial design: Interrelating theory, practice and prescription in entrepreneurship research', 'cluster': -1, 'distance': 0.7348666107100243}, {'paper_id': '4025e28730c1', 'title': 'Conceptual foundations of design problem solving', 'cluster': 0, 'distance': 0.8022994496036568}, {'paper_id': '5b52ec143fa6', 'title': 'The ECC Methodology for Architecture Design Theory and Practices Research', 'cluster': -1, 'distance': 0.8067396834997045}, {'paper_id': 'bacdc4f76eea', 'title': 'Work system principles: towards a justified design theory on the grounds of socio-instrumental pragmatism', 'cluster': -1, 'distance': 0.8174985357425033}]"
a21900f84443,Undesigning technology: considering the negation of design by design,"Pierce, James","Motivated by substantive concerns with the limitations and negative effects of technology, this paper inquires into the negation of technology as an explicit and intentional aspect of design research within HCI. Building on theory from areas including philosophy and design theory, this paper articulates a theoretical framework for conceptualizing the intentional negation of technology (i.e., the undesign of technology), ranging from the inhibition of particular uses of technology to the total erasure or foreclosure of technology. The framework is then expanded upon to articulate additional areas of undesigning, including self-inhibition, exclusion, removal, replacement, restoration, and safeguarding. In conclusion a scheme is offered for addressing questions concerning the disciplinary scope of undesign in the context of HCI, along with suggestions for ways that undesigning may be more strongly incorporated within HCI research.",10.1145/2207676.2208540,2012,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/2207676.2208540,Design theory,acm,full,False,False,True,True,True,True,advance_criteria,True,"Articulates a theoretical framework for undesign building on design theory, plausibly defining/conceptualizing a design construct; flagged to confirm synthesis and definition in full text.","This longitudinal case study examines what evidence novice designers use to justify decisions, which plausibly relates to design rationale and knowledge in practice, but the abstract does not clearly show synthesis or explicit definition.",True,pdfplumber,48804,32,10,False,0,6,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,3.1020947,8.102018,,-1,True,-1,4,0.9678014837543372,"theories, engineering, science, problem, practice, methodology, technical, software",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '03fd54829f02', 'title': 'Digisprudence: the design of legitimate code', 'cluster': -1, 'distance': 0.6850215419279767}, {'paper_id': '0bca44c18d6c', 'title': 'Tinkering, tailoring, and bricolage: Implications for theories of Design', 'cluster': 0, 'distance': 0.7130783619393388}, {'paper_id': 'ceac90427122', 'title': 'Design-oriented human-computer interaction', 'cluster': -1, 'distance': 0.7453146503646267}, {'paper_id': '1728dd2afe4b', 'title': 'Design theory in practice – Making design science research more transparent', 'cluster': -1, 'distance': 0.7966308954869946}, {'paper_id': '02f3ae017acb', 'title': 'Design Theory and Method of Complex Products: A Review', 'cluster': -1, 'distance': 0.7992709786861503}]"
ceac90427122,Design-oriented human-computer interaction,"Fallman, Daniel","We argue that HCI has emerged as a design-oriented field of research, directed at large towards innovation, design, and construction of new kinds of information and interaction technology. But the understanding of such an attitude to research in terms of philosophical, theoretical, and methodological underpinnings seems however relatively poor within the field. This paper intends to specifically address what design 'is' and how it is related to HCI. First, three candidate accounts from design theory of what design 'is' are introduced; the conservative, the romantic, and the pragmatic. By examining the role of sketching in design, it is found that the designer becomes involved in a necessary dialogue, from which the design problem and its solution are worked out simultaneously as a closely coupled pair. In conclusion, it is proposed that we need to acknowledge, first, the role of design in HCI conduct, and second, the difference between the knowledge-generating Design-oriented Research and the artifact-generating conduct of Research-oriented Design.",10.1145/642611.642652,2003,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/642611.642652,Design theory,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Examines what design 'is' for HCI, introduces and synthesizes candidate accounts from design theory and relates them to HCI, satisfying C2 and likely C3.","The abstract compares four underlying models of design expertise and brings in themes from wider expertise literature toward an integrative approach, indicating synthesis of design-expertise constructs from prior work, but any explicit definition or adaptation is not clear from the abstract alone.",True,pdfplumber,44058,29,10,False,0,6,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,4.037538,7.0560846,,-1,True,-1,1,0.4747495414215204,"field, theoretical, existing, theories, decision, education, analysis, social",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '554b27236356', 'title': 'Technique Innovation', 'cluster': -1, 'distance': 0.7019599990801897}, {'paper_id': 'd19f5f66d2ba', 'title': 'A Survey of Definition and its Role in Strengthening Design Theory', 'cluster': -1, 'distance': 0.7352742371269467}, {'paper_id': '0a130c0971e9', 'title': 'Feedforward as an essential active principle of engagement in computer games', 'cluster': 1, 'distance': 0.7401578642327453}, {'paper_id': 'a21900f84443', 'title': 'Undesigning technology: considering the negation of design by design', 'cluster': -1, 'distance': 0.7453146503646267}, {'paper_id': '232abf4e9e91', 'title': 'The Conceptual Design of Mechanical Products', 'cluster': -1, 'distance': 0.7539159813491172}]"
8abe5ed83bac,"DESIGN PROCESS: FRAMES, METAPHORS, AND GAMES.","Lanzara, Giovan Francesco (1)","A perspective on the design process is here presented and discussed emphasizing design as a problem-setting activity. It is argued that the functional analysis and the problem-solving models of design do not give account of some of the most crucial aspects of a designer's work. Design is here considered to be a process of creative inquiry taking place through transactions and conversations among multiple social actors in cooperative or competitive situations. Cognitive activities such as framing, evoking, metaphor-making, and behavioral strategies such as bargaining, concerting, reconciling, transacting are shown to be relevant to a sound design theory and practice.",,1983,,,Design theory,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Presents and discusses a perspective on the design process as problem-setting, framing design knowledge as the topic and offering its own conceptualization; flagged to confirm synthesis/definition in full text.","This appears to be a conceptual/theoretical discussion of design as problem-setting involving frames, metaphors, and games, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed.",False,,0,0,0,False,0,0,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,3.0006685,5.924698,,-1,True,-1,1,0.9887222081298656,"field, theoretical, existing, theories, decision, education, analysis, social",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '74beefd3ed50', 'title': 'The design process: frames, metaphors, and games', 'cluster': -1, 'distance': 0.0015198971170907738}, {'paper_id': 'c3005cf4cf75', 'title': 'Design as interactions of problem framing and problem solving', 'cluster': -1, 'distance': 0.7692911733504808}, {'paper_id': '85c3a6761bcc', 'title': 'Designing Process Guidance Systems', 'cluster': -1, 'distance': 0.7923166166718846}, {'paper_id': '20f56bbbd10c', 'title': '2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy', 'cluster': -1, 'distance': 0.8855735426072804}, {'paper_id': '68bf6cd63875', 'title': 'Design epistemology as innovation in public health research', 'cluster': -1, 'distance': 0.8958228404700007}]"
74beefd3ed50,"The design process: frames, metaphors, and games","Lanzara, G.F. (1)","A perspective on the design process is here presented and discussed which emphasizes design as a problem-setting activity. It is argued that the functional analysis and the problem-solving models of design do not give account of some of the most crucial aspects of a designer's work. Design is here considered to be a process of creative inquiry taking place through transactions and conversations among multiple social actors in cooperative or competitive situations. Cognitive activities such as framing, evoking, metaphor-making, and behavioral strategies such as bargaining, converting, reconciling, transacting are shown to be relevant to a sound design theory and practice.",,,"Systems Design For, With and By the Users. Proceedings of the IFIP WG9.1 Working Conference",,Design theory,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Discusses and synthesizes perspectives on the design process (framing, metaphor-making), treating design knowledge/process as the topic of study and offering a definitional view of design, satisfying C2 and plausibly C3.","It explicitly reviews four categories of models of motivational design and related strategies, principles, and processes from prior work, satisfying C2, but no clear definition or adapted definition is stated in the abstract.",False,,0,0,0,False,0,0,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,2.953113,5.8128576,,-1,True,-1,1,0.988569363760753,"field, theoretical, existing, theories, decision, education, analysis, social",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '8abe5ed83bac', 'title': 'DESIGN PROCESS: FRAMES, METAPHORS, AND GAMES.', 'cluster': -1, 'distance': 0.0015198971170907738}, {'paper_id': '85c3a6761bcc', 'title': 'Designing Process Guidance Systems', 'cluster': -1, 'distance': 0.7871818546872398}, {'paper_id': 'c3005cf4cf75', 'title': 'Design as interactions of problem framing and problem solving', 'cluster': -1, 'distance': 0.8209692218149873}, {'paper_id': '20f56bbbd10c', 'title': '2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy', 'cluster': -1, 'distance': 0.8797653242654847}, {'paper_id': '68bf6cd63875', 'title': 'Design epistemology as innovation in public health research', 'cluster': -1, 'distance': 0.893065241521173}]"
ec380d04cf61,GENERAL DESIGN THEORY.,"Yoshikawa, Hiroyuki (1); Tomiyama, Tetsuo (1); Kumazawa, Masami (1)","General design theory aims at elucidating the designer's designing process. A set-theoretical theory has been proposed, and recently the properties of the concept set was investigated. The theory was extended by giving restriction on the set, that is compactized by a newly proposed topology. The new topology was estimated as a set of concept conducted by physical laws which man established through experience.",,1985,"Journal of the Faculty of Engineering, the University of Tokyo, Series A",,Design theory,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"General design theory explicitly aims to elucidate the designer's design process and proposes/extends a formal theory of design, addressing design knowledge as its topic.","The paper discusses the status and implications of instructional design theory for authoring systems, suggesting possible engagement with design-theory constructs, but the abstract does not clearly establish a synthesis or explicit definition from title and abstract alone.",False,,0,0,0,False,0,0,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,2.5258343,9.397093,,-1,True,-1,3,0.9700569264302348,"theories, management, science, article, digital, service, software, theory theory",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'a285258b5545', 'title': 'Extended general design theory. I. Compactification of concept space', 'cluster': -1, 'distance': 0.39402445413030707}, {'paper_id': 'f652405808cb', 'title': 'A Theory of Decision Support System Design for User Calibration', 'cluster': -1, 'distance': 0.7724148182079094}, {'paper_id': 'f0dd2d28f3d2', 'title': 'Research methods for design theory', 'cluster': -1, 'distance': 0.7776281267032189}, {'paper_id': 'beaf258777e6', 'title': 'What is the value of design theory?', 'cluster': -1, 'distance': 0.7957913877231847}, {'paper_id': '103eb1a8586b', 'title': 'Incommensurability and multi-paradigm grounding in design science research: Implications for creating knowledge', 'cluster': 0, 'distance': 0.8237999368937028}]"
a285258b5545,Extended general design theory. I. Compactification of concept space,"Tomiyama, T.; Yoshikawa, H.","Some theorems are deduced from a hypothesis that states compactification of the entity concept space by topology of physical laws, and this space is called real knowledge. Design solutions are obtained as cluster points, and it is possible to get a partial sequence that converges to one of the cluster points. In order to discuss convergence policies in real knowledge, metamodel concept space is defined as a subset of the attribute concept space. If the design specifications are written in terms of physical laws, it is possible to solve the design by detailing the metamodel which is defined as the finite coverings for the design specifications. This study is necessary to establish the concept of future intelligent and integrated CAD systems.",,,Journal of the Japan Society of Precision Engineering,,Design theory,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Extends general design theory by formalizing concept space and design solutions, treating the theory of design itself as its topic.","The abstract discusses the status of instructional design theories in relation to authoring systems and may involve synthesis of theory, but it is unclear from the abstract whether it explicitly synthesizes or defines design-knowledge constructs, warranting full-text review.",False,,0,0,0,False,0,0,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,2.912139,9.467204,,-1,True,-1,0,0.96903954982785,"concept, epistemology, space, conceptual, scale, related, products, analysis",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'ec380d04cf61', 'title': 'GENERAL DESIGN THEORY.', 'cluster': -1, 'distance': 0.39402445413030707}, {'paper_id': 'b21a9b4cc5ef', 'title': 'C-K design theory: an advanced formulation', 'cluster': -1, 'distance': 0.48655547495806994}, {'paper_id': 'd250dc6eb9d9', 'title': 'Systems Thinking and Design Thinking: The Search for Principles in the World We Are Making', 'cluster': -1, 'distance': 0.8545744876653333}, {'paper_id': '79d31b954d2a', 'title': 'THE LOGICS OF DOUBLE PROOF IN PROOF OF CONCEPT: A DESIGN THEORY-BASED MODEL OF EXPERIMENTATION IN THE UNKNOWN', 'cluster': -1, 'distance': 0.8652574572023032}, {'paper_id': '1e8f1494fc78', 'title': 'Collaboration Engineering Methodology: Horizontal Extension to Accommodate Project and Program Concerns', 'cluster': -1, 'distance': 0.8770744727707872}]"
057bbf472430,Toward an Integrated Theory of Task Design,"Griffin, R. W.; Daft, R. L.","Study of individual tasks in organizational settings has long been of interest to organizational scientists. Frequently subsumed under the labels of 'task' or 'job' design, theory and research in the area has attempted to describe strategies for changing or refining jobs so as to enhance such organizationally relevant criterion variables as performance, motivation, satisfaction, absenteeism, and so forth. At present, the study of task design lacks a clear and demonstrable focus. The reasons relate to controversies and contradictions surrounding the dominant models and theories in the area. In an effort to reestablish focus and direction, the author proposes an integrated theory of task design which is viewed as a natural extension of existing models. After a brief review of the literature, several emerging questions and issues about the current viewpoints are explicated and discussed. The integrated theory is presented and its major concepts are identified and defined. The boundaries of the theory are delineated, system state dynamics are summarized and the nomological network among three central concepts of the theory is discussed. Each broad category of related variables is then introduced and appropriate interrelationships noted. The major elements of the theory are summarized as propositional statements and an overview of implications for future theory and research concludes the presentation.",,Apr-86,,,Design theory,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Synthesizes dominant models/theories of task design and works toward an integrated theory, treating design theory constructs as the topic and likely offering definitions.","This appears to describe case studies aimed at documenting procedures and basic design theory, but the abstract is too limited to confirm a synthesis or explicit definition without full text.",False,,0,0,0,False,0,0,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,2.026528,7.0542564,,-1,True,-1,3,0.9665241902905592,"theories, management, science, article, digital, service, software, theory theory",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': 'af66a447ca7c', 'title': 'Digital Panopticon: How Remote Work Monitoring Shapes Employee Behavior and Motivation', 'cluster': -1, 'distance': 0.657929939207191}, {'paper_id': 'd19f5f66d2ba', 'title': 'A Survey of Definition and its Role in Strengthening Design Theory', 'cluster': -1, 'distance': 0.7858076004304297}, {'paper_id': '4025e28730c1', 'title': 'Conceptual foundations of design problem solving', 'cluster': 0, 'distance': 0.8364311132897567}, {'paper_id': '103eb1a8586b', 'title': 'Incommensurability and multi-paradigm grounding in design science research: Implications for creating knowledge', 'cluster': 0, 'distance': 0.8671734224296533}, {'paper_id': 'dc61c8a1dcd6', 'title': 'Multiscale Design Strategies in a Landscape Architecture Classroom', 'cluster': -1, 'distance': 0.8920828602003387}]"
5ffd963397c9,THEORY OF TECHNICAL SYSTEMS - PREREQUISITE TO DESIGN THEORY.,"Eder, W.Ernst","A dynamic model of a transformation system is used to show the roles of transformation processes and their operators, humans, technical systems and environments. Properties and ways of classifying technical systems are presented to illustrate the Theory of Technical Systems. Applications of the theory are shown with respect to general usage, and to particular use for engineering design.",,1987,,,Design theory,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Presents a Theory of Technical Systems with classifications and properties as prerequisite to design theory, plausibly synthesizing and defining design-knowledge constructs, warranting full-text review.","Although framed as a case study in urban design planning, the abstract does not clearly indicate whether this is an archival research case analysis or whether it synthesizes or defines design-knowledge constructs, so full text would be needed.",False,,0,0,0,False,0,0,Design theory,tfidf-svd,context,hdbscan,-1,noise / outliers,2.2803037,9.08907,,-1,True,-1,4,0.9678081203926084,"theories, engineering, science, problem, practice, methodology, technical, software",Noise / Outliers,These papers were not assigned to a dense DBSCAN cluster.,,,,,,"[{'paper_id': '75ffc50a1708', 'title': 'Transformation design theory: A meta-analogical framework', 'cluster': -1, 'distance': 0.5992093076495777}, {'paper_id': '20f56bbbd10c', 'title': '2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy', 'cluster': -1, 'distance': 0.7276512435536209}, {'paper_id': '2faef10b819d', 'title': 'A design theory for software engineering', 'cluster': 0, 'distance': 0.7346263302012498}, {'paper_id': '83d1ebe7d6c0', 'title': 'Design Theory in Information Systems', 'cluster': -1, 'distance': 0.7786205516070712}, {'paper_id': 'f652405808cb', 'title': 'A Theory of Decision Support System Design for User Calibration', 'cluster': -1, 'distance': 0.8330951548441885}]"
