space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
raw,kmeans_k2,kmeans,2,0,0.0,1.0,138,144,0.08386103063821793,,,,False
raw,kmeans_k3,kmeans,3,0,0.0,1.0,50,130,0.09269934892654419,,,,True
raw,kmeans_k5,kmeans,5,0,0.0,1.0,42,92,0.05717819929122925,,,,False
raw,kmeans_k6,kmeans,6,0,0.0,1.0,13,63,0.032528750598430634,,,,False
raw,kmeans_k8,kmeans,8,0,0.0,1.0,9,52,0.07144592702388763,,,,False
raw,kmeans_k10,kmeans,10,0,0.0,1.0,9,53,0.057073649019002914,,,,False
raw,kmeans_k12,kmeans,12,0,0.0,1.0,7,64,0.0559673048555851,,,,False
raw,dbscan_eps0.1288_ms3,dbscan,5,188,0.6666666666666666,0.3333333333333333,3,62,0.2291116565465927,0.128757,3.0,,False
raw,dbscan_eps0.1314_ms3,dbscan,5,185,0.6560283687943262,0.34397163120567376,3,65,0.22756753861904144,0.131414,3.0,,False
raw,dbscan_eps0.1340_ms3,dbscan,5,182,0.6453900709219859,0.3546099290780142,3,68,0.22216951847076416,0.133963,3.0,,False
raw,dbscan_eps0.1365_ms3,dbscan,6,168,0.5957446808510638,0.40425531914893614,3,74,0.22152285277843475,0.136464,3.0,,False
raw,dbscan_eps0.1401_ms3,dbscan,6,159,0.5638297872340425,0.43617021276595747,3,84,0.15549157559871674,0.140082,3.0,,False
raw,dbscan_eps0.1423_ms3,dbscan,6,152,0.5390070921985816,0.46099290780141844,3,91,0.14336447417736053,0.142273,3.0,,False
raw,dbscan_eps0.1455_ms3,dbscan,5,145,0.5141843971631206,0.4858156028368794,3,101,0.16814711689949036,0.145457,3.0,,False
raw,dbscan_eps0.1476_ms3,dbscan,5,142,0.5035460992907801,0.49645390070921985,3,104,0.15927234292030334,0.147624,3.0,,False
raw,dbscan_eps0.1515_ms3,dbscan,3,131,0.4645390070921986,0.5354609929078015,3,142,0.11388498544692993,0.151468,3.0,,False
raw,dbscan_eps0.1540_ms3,dbscan,3,121,0.42907801418439717,0.5709219858156028,3,152,0.11001082509756088,0.153951,3.0,,False
raw,dbscan_eps0.1580_ms3,dbscan,3,116,0.41134751773049644,0.5886524822695035,3,157,0.10695374757051468,0.157999,3.0,,False
raw,dbscan_eps0.1591_ms3,dbscan,3,114,0.40425531914893614,0.5957446808510638,3,159,0.10553723573684692,0.159111,3.0,,False
raw,dbscan_eps0.1633_ms3,dbscan,1,109,0.38652482269503546,0.6134751773049646,173,173,,0.1633,3.0,,False
raw,dbscan_eps0.1658_ms3,dbscan,1,107,0.37943262411347517,0.6205673758865248,175,175,,0.165763,3.0,,False
raw,dbscan_eps0.1681_ms3,dbscan,1,101,0.35815602836879434,0.6418439716312057,181,181,,0.168064,3.0,,False
raw,dbscan_eps0.1711_ms3,dbscan,1,92,0.3262411347517731,0.6737588652482269,190,190,,0.171087,3.0,,False
raw,dbscan_eps0.1738_ms3,dbscan,1,88,0.3120567375886525,0.6879432624113475,194,194,,0.173765,3.0,,False
raw,dbscan_eps0.1798_ms3,dbscan,1,75,0.26595744680851063,0.7340425531914894,207,207,,0.179774,3.0,,False
raw,dbscan_eps0.1833_ms3,dbscan,1,63,0.22340425531914893,0.776595744680851,219,219,,0.18328,3.0,,False
raw,dbscan_eps0.1880_ms3,dbscan,1,62,0.2198581560283688,0.7801418439716312,220,220,,0.187996,3.0,,False
raw,dbscan_eps0.1918_ms3,dbscan,1,53,0.1879432624113475,0.8120567375886525,229,229,,0.191787,3.0,,False
raw,dbscan_eps0.1953_ms3,dbscan,1,47,0.16666666666666666,0.8333333333333334,235,235,,0.195286,3.0,,False
raw,dbscan_eps0.2005_ms3,dbscan,1,40,0.14184397163120568,0.8581560283687943,242,242,,0.200468,3.0,,False
raw,dbscan_eps0.2035_ms3,dbscan,1,34,0.12056737588652482,0.8794326241134752,248,248,,0.203511,3.0,,False
raw,dbscan_eps0.2081_ms3,dbscan,1,27,0.09574468085106383,0.9042553191489362,255,255,,0.208073,3.0,,False
raw,dbscan_eps0.2148_ms3,dbscan,1,22,0.07801418439716312,0.9219858156028369,260,260,,0.214832,3.0,,False
raw,dbscan_eps0.2226_ms3,dbscan,1,18,0.06382978723404255,0.9361702127659575,264,264,,0.222621,3.0,,False
raw,dbscan_eps0.2327_ms3,dbscan,1,12,0.0425531914893617,0.9574468085106383,270,270,,0.232709,3.0,,False
raw,dbscan_eps0.1432_ms5,dbscan,2,164,0.5815602836879432,0.41843971631205673,24,94,0.21322359144687653,0.143194,5.0,,True
raw,dbscan_eps0.1474_ms5,dbscan,2,157,0.5567375886524822,0.4432624113475177,25,100,0.20498406887054443,0.147398,5.0,,False
raw,dbscan_eps0.1488_ms5,dbscan,1,153,0.5425531914893617,0.4574468085106383,129,129,,0.148808,5.0,,False
