cosine,id_a,title_a,id_b,title_b
1.00000000,00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,af4a4237d98a,Utilization of design principles for hybrid learning configurations by interprofessional design teams
0.99967027,40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,5389fb1cc38b,Elements of a design method – a basis for describing and evaluating design methods
0.99934524,0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,4c8bdfbd1309,Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication
0.99391294,7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",e09769771b82,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games"
0.99046642,0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,c6955d14d66c,Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception
0.98533773,c2c57ac5453e,"Theory construction in design research. Criteria, approaches, and methods.",f56243f52335,"Theory construction in design research Criteria: Approaches, and methods"
0.98458517,0a373ca87142,Surveying a Landscape of Ethics-Focused Design Methods,fd2392ff2aff,Surveying a Landscape of Ethics-Focused Design Methods
0.97898662,73537bfbe719,A taxonomy and ontology for digital platforms,77b350f029e7,A taxonomy and ontology for digital platforms
0.95174676,9f4dbd790fe7,Design Heuristics in Innovative Products,cdd6de21b74b,Evidence-based design heuristics for idea generation
0.94579786,a3bc8ece9d73,Use of design patterns in analogy-based design,da5dd15cd345,A functional theory of design patterns
0.93871504,5a716d80ac6b,Towards a Method for Design Principle Development in Information Systems,9d158233f041,Guidelines supporting the formulation of design principles
0.93791699,07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,e7091fbecdfa,"Utilizing, Producing, and Contributing Design Knowledge in DSR Projects"
0.93415952,f56243f52335,"Theory construction in design research Criteria: Approaches, and methods",fd05a25a5e94,Four Criteria for Design Theories
0.93209928,242644458c6e,A pattern approach to interaction design,6e7959c82d5f,The anatomy of HCI design patterns
0.93019933,83d1ebe7d6c0,Design Theory in Information Systems,c0372ed4d123,Web-based information systems: Developing a design theory
0.92819989,c2c57ac5453e,"Theory construction in design research. Criteria, approaches, and methods.",fd05a25a5e94,Four Criteria for Design Theories
0.92426389,03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",9d158233f041,Guidelines supporting the formulation of design principles
0.91946876,4db508a9681a,Philosophy of design: A meta-theoretical structure for design theory,fd05a25a5e94,Four Criteria for Design Theories
0.91875654,03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",5a716d80ac6b,Towards a Method for Design Principle Development in Information Systems
0.91837585,7b15d81000db,The anatomy of a design theory,83d1ebe7d6c0,Design Theory in Information Systems
0.91639584,40034332988c,Redesigning the rationale for design rationale,4c8bdfbd1309,Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication
0.91520864,0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,40034332988c,Redesigning the rationale for design rationale
0.91436785,268903a30da5,Systematic Review of Systemic Design Frameworks for Complex Challenges,f16832406221,A Framework for Systemic Design
0.91423094,07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,95eee570b8f1,Accumulating design knowledge: A mechanisms-based approach
0.91144943,4db508a9681a,Philosophy of design: A meta-theoretical structure for design theory,c2c57ac5453e,"Theory construction in design research. Criteria, approaches, and methods."
0.91085351,43fee329f83e,Process design theory for digital information services,c0372ed4d123,Web-based information systems: Developing a design theory
0.90935493,774e05395765,Understanding and using patterns in software development,b967c3a334ff,Industrial experience with design patterns
0.90892780,40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework
0.90891397,83d1ebe7d6c0,Design Theory in Information Systems,fd05a25a5e94,Four Criteria for Design Theories
0.90873343,022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,7cb073ebacac,Formal system for the expression of target-oriented design heuristics
