config_a,config_b,ari_full,ari_shared_nonnoise,n_shared
UMAP before clustering · HDBSCAN,Zhicheng workflow · UMAP 10D + HDBSCAN,1.000000,1.000000,282
UMAP before clustering · KMEANS,UMAP before clustering · HDBSCAN,1.000000,1.000000,282
UMAP before clustering · KMEANS,Zhicheng workflow · UMAP 10D + HDBSCAN,1.000000,1.000000,282
All papers · DBSCAN · Raw BGE-M3,All papers · HDBSCAN · Raw BGE-M3,0.338124,1.000000,54
All papers · KMEANS · Raw BGE-M3,UMAP before clustering · KMEANS,0.323498,0.323498,282
All papers · KMEANS · Raw BGE-M3,UMAP before clustering · HDBSCAN,0.323498,0.323498,282
All papers · KMEANS · Raw BGE-M3,Zhicheng workflow · UMAP 10D + HDBSCAN,0.323498,0.323498,282
All papers · KMEANS · Raw BGE-M3,All papers · DBSCAN · Raw BGE-M3,0.237715,0.690489,118
All papers · DBSCAN · Raw BGE-M3,UMAP before clustering · DBSCAN,0.162201,0.181606,68
All papers · DBSCAN · Raw BGE-M3,UMAP before clustering · HDBSCAN,0.151705,1.000000,118
All papers · DBSCAN · Raw BGE-M3,UMAP before clustering · KMEANS,0.151705,1.000000,118
All papers · DBSCAN · Raw BGE-M3,Zhicheng workflow · UMAP 10D + HDBSCAN,0.151705,1.000000,118
UMAP before clustering · KMEANS,UMAP before clustering · DBSCAN,0.132559,0.107685,119
UMAP before clustering · DBSCAN,UMAP before clustering · HDBSCAN,0.132559,0.107685,119
UMAP before clustering · DBSCAN,Zhicheng workflow · UMAP 10D + HDBSCAN,0.132559,0.107685,119
All papers · HDBSCAN · Raw BGE-M3,UMAP before clustering · DBSCAN,0.103433,0.283042,32
All papers · KMEANS · Raw BGE-M3,UMAP before clustering · DBSCAN,0.064047,0.212048,119
All papers · KMEANS · Raw BGE-M3,All papers · HDBSCAN · Raw BGE-M3,0.047092,0.931307,54
All papers · HDBSCAN · Raw BGE-M3,UMAP before clustering · KMEANS,0.026942,1.000000,54
All papers · HDBSCAN · Raw BGE-M3,UMAP before clustering · HDBSCAN,0.026942,1.000000,54
All papers · HDBSCAN · Raw BGE-M3,Zhicheng workflow · UMAP 10D + HDBSCAN,0.026942,1.000000,54
