space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
raw,kmeans_k2,kmeans,2,0,0.0,1.0,224,233,0.07931049168109894,,,,True
raw,kmeans_k3,kmeans,3,0,0.0,1.0,94,209,0.07805396616458893,,,,False
raw,kmeans_k5,kmeans,5,0,0.0,1.0,58,140,0.042621009051799774,,,,False
raw,kmeans_k6,kmeans,6,0,0.0,1.0,27,142,0.055620674043893814,,,,False
raw,kmeans_k8,kmeans,8,0,0.0,1.0,21,113,0.06279660016298294,,,,False
raw,kmeans_k10,kmeans,10,0,0.0,1.0,15,117,0.07302036881446838,,,,False
raw,kmeans_k12,kmeans,12,0,0.0,1.0,10,91,0.05852028727531433,,,,False
raw,dbscan_eps0.136681_ms3,dbscan,6,305,0.6673960612691466,0.33260393873085337,4,123,0.09633579105138779,0.136681,3.0,,False
raw,dbscan_eps0.138626_ms3,dbscan,7,296,0.6477024070021882,0.3522975929978118,3,127,0.10349410772323608,0.138626,3.0,,False
raw,dbscan_eps0.140778_ms3,dbscan,6,284,0.6214442013129103,0.3785557986870897,3,144,0.08976467698812485,0.140778,3.0,,False
raw,dbscan_eps0.142992_ms3,dbscan,4,274,0.5995623632385121,0.40043763676148797,4,167,0.08432365208864212,0.142992,3.0,,False
raw,dbscan_eps0.146827_ms3,dbscan,4,256,0.5601750547045952,0.43982494529540483,3,180,0.09748553484678268,0.146827,3.0,,False
raw,dbscan_eps0.149751_ms3,dbscan,4,244,0.5339168490153173,0.4660831509846827,3,192,0.09454728662967682,0.149751,3.0,,False
raw,dbscan_eps0.153547_ms3,dbscan,4,233,0.5098468271334792,0.49015317286652077,3,203,0.08897987753152847,0.153547,3.0,,False
raw,dbscan_eps0.156346_ms3,dbscan,3,228,0.4989059080962801,0.5010940919037199,3,219,0.0964951142668724,0.156346,3.0,,False
raw,dbscan_eps0.159777_ms3,dbscan,3,219,0.47921225382932164,0.5207877461706784,3,228,0.0902281254529953,0.159777,3.0,,False
raw,dbscan_eps0.162922_ms3,dbscan,2,206,0.45076586433260396,0.5492341356673961,3,248,0.20178931951522827,0.162922,3.0,,False
raw,dbscan_eps0.164739_ms3,dbscan,1,203,0.4442013129102845,0.5557986870897156,254,254,,0.164739,3.0,,False
raw,dbscan_eps0.168822_ms3,dbscan,1,194,0.424507658643326,0.5754923413566739,263,263,,0.168822,3.0,,False
raw,dbscan_eps0.174322_ms3,dbscan,1,184,0.4026258205689278,0.5973741794310722,273,273,,0.174322,3.0,,False
raw,dbscan_eps0.179762_ms3,dbscan,2,165,0.3610503282275711,0.6389496717724289,3,289,0.17784717679023743,0.179762,3.0,,False
raw,dbscan_eps0.184987_ms3,dbscan,2,150,0.3282275711159737,0.6717724288840262,3,304,0.16935931146144867,0.184987,3.0,,False
raw,dbscan_eps0.187921_ms3,dbscan,2,137,0.29978118161925604,0.700218818380744,4,316,0.1556994616985321,0.187921,3.0,,False
raw,dbscan_eps0.190104_ms3,dbscan,3,124,0.2713347921225383,0.7286652078774617,3,326,0.14992645382881165,0.190104,3.0,,False
raw,dbscan_eps0.193456_ms3,dbscan,2,112,0.24507658643326038,0.7549234135667396,5,340,0.15544208884239197,0.193456,3.0,,True
raw,dbscan_eps0.197263_ms3,dbscan,1,103,0.22538293216630198,0.774617067833698,354,354,,0.197263,3.0,,False
raw,dbscan_eps0.200730_ms3,dbscan,1,92,0.2013129102844639,0.7986870897155361,365,365,,0.20073,3.0,,False
raw,dbscan_eps0.203841_ms3,dbscan,1,81,0.1772428884026258,0.8227571115973742,376,376,,0.203841,3.0,,False
raw,dbscan_eps0.210256_ms3,dbscan,1,66,0.14442013129102846,0.8555798687089715,391,391,,0.210256,3.0,,False
raw,dbscan_eps0.212825_ms3,dbscan,1,57,0.12472647702407003,0.87527352297593,400,400,,0.212825,3.0,,False
raw,dbscan_eps0.216691_ms3,dbscan,1,50,0.10940919037199125,0.8905908096280087,407,407,,0.216691,3.0,,False
raw,dbscan_eps0.219288_ms3,dbscan,1,47,0.10284463894967177,0.8971553610503282,410,410,,0.219288,3.0,,False
raw,dbscan_eps0.224212_ms3,dbscan,1,37,0.08096280087527352,0.9190371991247265,420,420,,0.224212,3.0,,False
raw,dbscan_eps0.231209_ms3,dbscan,1,30,0.06564551422319474,0.9343544857768052,427,427,,0.231209,3.0,,False
raw,dbscan_eps0.238352_ms3,dbscan,1,16,0.0350109409190372,0.9649890590809628,441,441,,0.238352,3.0,,False
raw,dbscan_eps0.149663_ms5,dbscan,3,258,0.5645514223194749,0.43544857768052514,5,183,0.08669605851173401,0.149663,5.0,,False
