paper_id,keyword,title,authors,year,venue,doi,url,cluster,cluster_label_candidate,distinguishing_evidence_terms,cluster_summary_candidate,distance_to_centroid,representative_rank,is_representative_top3,umap_x,umap_y,discussion_found,discussion_paragraph_count,discussion_summary,discussion_excerpt
0050f73e4373,Design rationale,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)",1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1150672435760498,59,False,-1.4292592,4.609197,False,0,,
00781ed0e844,Design theory,Cognitive Point of View in Recursive Design,Evan Barba,2019,"She Ji: The Journal of Design, Economics and Innovation",,https://www.semanticscholar.org/paper/cd9c2c3812ad8a7feccea4741cea6b98dd33a007,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.12877154350280762,91,False,0.6491055,6.6022716,False,0,,
00d7fbafe65f,Design Guidelines,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho",2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,10.1145/3613904.3642886,https://doi.org/10.1145/3613904.3642886,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.15891516208648682,157,False,-0.78253615,8.253111,False,0,,
00e42ae113b8,Design knowledge,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Petra H. M. Cremers; A. Wals; R. Wesselink; M. Mulder,2016,Instructional Science,,https://www.semanticscholar.org/paper/c789600c7369bddaf982676630fa98befecacde6,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.16051554679870605,160,False,-0.013154672,6.5875435,True,10,"- Discussion
In this study we framed the set of design principles as a boundary object.
- One might argue
that a boundary object’s main function is to facilitate collaboration among actors from
different social worlds and that a set of design principles that ‘travels’ from the world of
research to the world of educational design practice is not aim
- Therefore it could be considered incorrect to frame a
set of design principles as a boundary object.","Discussion
In this study we framed the set of design principles as a boundary object."
01467836cecf,Design principles,Design principles for human-computer interfaces,"Norman, Donald A.",1983,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/800045.801571,https://doi.org/10.1145/800045.801571,2,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, software, systems, language","This exploratory cluster contains 142 papers. Frequent terms include patterns, pattern, design patterns, software, systems, language. Representative papers include Towards normal design for safety-critical systems; Analysis patterns; A conceptual framework for design science research.",0.14190888404846191,57,False,2.4980574,5.7387466,False,0,,
0176348439b8,Design Guidelines,A Comparative Study of Chinese and American Rural Design Guidelines,D. Chu; R. Li,2019,International Journal of Structural and Civil Engineering Research,,https://www.semanticscholar.org/paper/af67c18e22e351362a73fa3cb1d997e238f8c3d7,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.2803844213485718,223,False,-0.075509496,6.4016857,False,0,,
022ee7cf2e4e,Design Heuristics,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,"Kremer, Gerald (1); Peters, Ina (1); Bingoel, Berkay (1); Stark, Rainer (1)",2022,"Proceedings of the 33rd Symposium Design for X, DFX 2022",10.35199/dfx2022.08,,0,Hci · Game · Heuristics,"hci, game, heuristics, learning, games, knowledge","This exploratory cluster contains 90 papers. Frequent terms include hci, game, heuristics, learning, games, knowledge. Representative papers include Design-oriented human-computer interaction; A theoretical framework on embodiment in digital design; From human factors to human actors to human crafters.",0.13379931449890137,21,False,2.3038716,7.945723,True,10,"- Discussion 
Obviously, there are some differences in industrial designers ’ and design teachers ’ 
expectations regarding the presentation of design heuristics.
- Whereas the teachers, being true 
to their scientific setting, emphasize transparency of sources and context information enabling 
integrated networked thinking, engineers from industry wish for straight-forward easy-to-apply 
solutions.
- However, the criteria of both groups are not contradictory but complementary and 
some, e.","Discussion 
Obviously, there are some differences in industrial designers ’ and design teachers ’ 
expectations regarding the presentation of design heuristics."
02381ea80183,Design knowledge,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); Möller, F. (1, 3)",,Data & Knowledge Engineering,10.1016/j.datak.2024.102333,,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1978645920753479,200,False,0.8028191,5.202497,False,0,,
02f3ae017acb,Design theory,Design Theory and Method of Complex Products: A Review,Chan Qiu; Jianrong Tan; Zhen-yu Liu; Haoyang Mao; Weifei Hu,2022,Chinese Journal of Mechanical Engineering,,https://www.semanticscholar.org/paper/11b673bc049bd6075777c1697de805d195198e5b,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.09805899858474731,25,False,0.11695612,7.341692,False,0,,
03adadfa0ad4,Design knowledge,"Design Principles: Literature Review, Analysis, and Future Directions","Fu, K.K. (1); Yang, M.C. (2); Wood, K.L. (3)",,Journal of Mechanical Design,10.1115/1.4034105,,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.08113658428192139,3,True,-0.061298314,6.2489767,False,0,,
