space,algorithm,config,n_components,n_neighbors,min_cluster_size,min_samples,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,ari_vs_zhicheng_shared,is_zhicheng_shared
umap5,hdbscan,nn5_hdbscan_mcs5_ms1,5,5,5,1,32,18,0.03938730853391685,0.9606126914660832,5,52,0.022986415773630142,0.539774258618425,False
umap5,hdbscan,nn5_hdbscan_mcs5_ms3,5,5,5,3,29,23,0.05032822757111598,0.949671772428884,5,60,0.033822089433670044,0.5353410811224726,False
umap5,hdbscan,nn5_hdbscan_mcs5_ms5,5,5,5,5,26,46,0.10065645514223195,0.899343544857768,5,58,0.06281539797782898,0.5223254365396021,False
umap5,hdbscan,nn5_hdbscan_mcs8_ms1,5,5,8,1,19,11,0.024070021881838075,0.975929978118162,12,60,0.044438496232032776,0.5268166194161529,False
umap5,hdbscan,nn5_hdbscan_mcs8_ms3,5,5,8,3,19,13,0.028446389496717725,0.9715536105032823,12,60,0.04595772549510002,0.5269869432805107,False
umap5,hdbscan,nn5_hdbscan_mcs8_ms5,5,5,8,5,19,38,0.08315098468271334,0.9168490153172867,11,58,0.04965415596961975,0.5351982723170174,False
umap5,hdbscan,nn5_hdbscan_mcs8_ms8,5,5,8,8,19,53,0.11597374179431072,0.8840262582056893,10,57,0.04380270838737488,0.5251826802785604,False
umap5,hdbscan,nn5_hdbscan_mcs10_ms1,5,5,10,1,19,11,0.024070021881838075,0.975929978118162,12,60,0.044438496232032776,0.5268166194161529,False
umap5,hdbscan,nn5_hdbscan_mcs10_ms3,5,5,10,3,19,13,0.028446389496717725,0.9715536105032823,12,60,0.04595772549510002,0.5269869432805107,False
umap5,hdbscan,nn5_hdbscan_mcs10_ms5,5,5,10,5,19,38,0.08315098468271334,0.9168490153172867,11,58,0.04965415596961975,0.5351982723170174,False
umap5,hdbscan,nn5_hdbscan_mcs10_ms8,5,5,10,8,19,53,0.11597374179431072,0.8840262582056893,10,57,0.04380270838737488,0.5251826802785604,False
umap5,hdbscan,nn5_hdbscan_mcs10_ms10,5,5,10,10,18,51,0.11159737417943107,0.888402625820569,11,57,0.03845149651169777,0.49097640774616236,False
umap5,hdbscan,nn5_hdbscan_mcs12_ms1,5,5,12,1,19,11,0.024070021881838075,0.975929978118162,12,60,0.044438496232032776,0.5268166194161529,False
umap5,hdbscan,nn5_hdbscan_mcs12_ms3,5,5,12,3,19,13,0.028446389496717725,0.9715536105032823,12,60,0.04595772549510002,0.5269869432805107,False
umap5,hdbscan,nn5_hdbscan_mcs12_ms5,5,5,12,5,18,36,0.0787746170678337,0.9212253829321663,12,58,0.04115773364901543,0.5335249142276097,False
