paper_id,pdf_filename,copy_status,keyword,title,doi,year,venue,audit_status,title_token_overlap,title_token_coverage
00d7fbafe65f,00d7fbafe65f.pdf,copied,Design Guidelines,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",10.1145/3613904.3642886,2024.0,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,likely_match,0.106,1.0
ca185d91b684,ca185d91b684.pdf,copied,Design Guidelines,Embracing Non-Natural Design in Human-Computer Interaction,10.1145/3656650.3660545,2024.0,Proceedings of the 2024 International Conference on Advanced Visual Interfaces,likely_match,0.091,1.0
f0b2517a04a4,f0b2517a04a4.pdf,copied,Design Guidelines,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,10.1109/icse43902.2021.00075,2021.0,Proceedings of the 43rd International Conference on Software Engineering,likely_match,0.1,1.0
65c31c577170,65c31c577170.pdf,copied,Design Guidelines,The Rough Mile: Testing a Framework of Immersive Practice,10.1145/3064663.3064756,2017.0,Proceedings of the 2017 Conference on Designing Interactive Systems,likely_match,0.051,1.0
615169de6f0e,615169de6f0e.pdf,copied,Design Guidelines,From interaction to trajectories: designing coherent journeys through user experiences,10.1145/1518701.1518812,2009.0,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,likely_match,0.069,1.0
9eecf23c4ce7,9eecf23c4ce7.pdf,copied,Design Heuristics,Design Heuristics for Web-Based Severe Weather Risk Communication,10.1145/3715335.3735482,2025.0,Proceedings of the 2025 ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,likely_match,0.086,1.0
994d28d55eb8,994d28d55eb8.pdf,copied,Design Heuristics,From human factors to human actors to human crafters,10.1145/1940761.1940775,2011.0,Proceedings of the 2011 IConference,likely_match,0.044,1.0
ccc616a68c38,ccc616a68c38.pdf,copied,Design knowledge,Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges,10.1145/3132361.3133942,2017.0,Proceedings of the 2nd International Workshop on Multimedia Alternate Realities,likely_match,0.108,1.0
b227e604cd40,b227e604cd40.pdf,copied,Design knowledge,"The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design",10.1145/3772318.3791264,2026.0,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,likely_match,0.086,1.0
d4ef8c48ded5,d4ef8c48ded5.pdf,copied,Design knowledge,"Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices",10.1145/3372782.3408115,2020.0,Proceedings of the 2020 ACM Conference on International Computing Education Research,likely_match,0.133,1.0
