download_order,status,paper_id,keyword,year,title,authors,venue,doi,download_url,suggested_filename,existing_pdf_path,source_hint,notes,auto_status,auto_source,auto_message
3,missing,f0b2517a04a4,Design Guidelines,2021,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,"Yang, Bo and Xing, Zhenchang and Xia, Xin and Chen, Chunyang and Ye, Deheng and Li, Shanping",Proceedings of the 43rd International Conference on Software Engineering,10.1109/icse43902.2021.00075,https://doi.org/10.1109/icse43902.2021.00075,icse43902.2021.00075.pdf,,ACM DL / DOI page,needs manual download or institutional access,no_open_pdf_candidate,,
27,missing,01467836cecf,Design principles,1983,Design principles for human-computer interfaces,"Norman, Donald A.",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/800045.801571,https://doi.org/10.1145/800045.801571,800045.801571.pdf,,ACM DL / DOI page,needs manual download or institutional access,no_open_pdf_candidate,,
35,missing,dbc171dde63a,Design Rules,2024,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,"Joers, Julian Marvin and De Luca, Ernesto William",Companion Publication of the 2024 ACM Designing Interactive Systems Conference,10.1145/3656156.3663737,https://doi.org/10.1145/3656156.3663737,3656156.3663737.pdf,,ACM DL / DOI page,needs manual download or institutional access,no_open_pdf_candidate,,
41,missing,64085b9b57e4,Design expertise,2021,Towards an integrative approach to researching design expertise,"Tan, Stella (1)",Design Studies,10.1016/j.destud.2021.101017,https://doi.org/10.1016/j.destud.2021.101017,j.destud.2021.101017.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
42,missing,f51b21c51194,Design expertise,,Understanding database design expertise,"Storey, V.C. (1); Thompson, C.B.; Ram, S.",Data & Knowledge Engineering,10.1016/0169-023X(95)00012-H,https://doi.org/10.1016/0169-023X(95)00012-H,0169.023x.95.00012.h.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
43,missing,7afa6519f6fc,Design frameworks,,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games","Natucci, G.C. (1); Borges, M.A.F. (1)",2021 IEEE Conference on Games (CoG),10.1109/CoG52621.2021.9619144,https://doi.org/10.1109/CoG52621.2021.9619144,cog52621.2021.9619144.pdf,,IEEE Xplore / DOI page,needs manual download or institutional access,no_open_pdf_candidate,,
46,missing,cd211147691a,Design Heuristics,2018,Design heuristics set for X: A design aid for assistive product concept generation,"Hwang, Dongwook (1); Park, Woojin (2)",Design Studies,10.1016/j.destud.2018.04.003,https://doi.org/10.1016/j.destud.2018.04.003,j.destud.2018.04.003.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
48,missing,9f4dbd790fe7,Design Heuristics,,Design Heuristics in Innovative Products,"Yilmaz, S.; Seifert, C. (1); Daly, S.R. (2); Gonzalez, R. (1)",Journal of Mechanical Design,10.1115/1.4032219,https://doi.org/10.1115/1.4032219,1.4032219.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex location landing_page,OpenAlex location landing_page: SSLError
49,missing,0512599e76df,Design Heuristics,2016,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,"Gray, Colin M. (1); Seifert, Colleen M. (2); Yilmaz, Seda (3); Daly, Shanna R. (4); Gonzalez, Richard (2)",International Journal of Engineering Education,,,What_is_the_content_of_design_thinking_Design_Heuristics_as_conceptual_repertoire.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,no_open_pdf_candidate,,
50,missing,cdd6de21b74b,Design Heuristics,2016,Evidence-based design heuristics for idea generation,"Yilmaz, Seda (1); Daly, Shanna R. (2); Seifert, Colleen M. (2); Gonzalez, Richard (2)",Design Studies,10.1016/j.destud.2016.05.001,https://doi.org/10.1016/j.destud.2016.05.001,j.destud.2016.05.001.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,failed,OpenAlex oa_url,OpenAlex oa_url: HTTP 502
51,missing,0cbc36913472,Design Heuristics,,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,"Torrens, G.E. (1)","She Ji: The Journal of Design, Economics, and Innovation",10.1016/j.sheji.2018.01.001,https://doi.org/10.1016/j.sheji.2018.01.001,j.sheji.2018.01.001.pdf,,DOI / publisher page / Google Scholar,needs manual download or institutional access,not_rerun_or_interrupted,,
