paper_id,pdf_filename,keyword,title
0050f73e4373,0050f73e4373.pdf,Design rationale,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication
00781ed0e844,00781ed0e844.pdf,Design theory,Cognitive Point of View in Recursive Design
0176348439b8,0176348439b8.pdf,Design Guidelines,A Comparative Study of Chinese and American Rural Design Guidelines
02381ea80183,02381ea80183.pdf,Design knowledge,A design theory for data quality tools in data ecosystems: Findings from three industry cases
02f3ae017acb,02f3ae017acb.pdf,Design theory,Design Theory and Method of Complex Products: A Review
03fd54829f02,03fd54829f02.pdf,Design theory,Digisprudence: the design of legitimate code
0512599e76df,0512599e76df.pdf,Design Heuristics,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire
056ae4e01610,056ae4e01610.pdf,Design theory,Beyond the old game design: a new design paradigm in Game Studies through C-K Theory
0783409933b4,0783409933b4.pdf,Design Patterns,A Two-Dimensional Framework for AI Agent Design Patterns: Cognitive Function and Execution Topology
07eb3166d706,07eb3166d706.pdf,Design knowledge,A Typology of Knowledge Creation in Design Science Research Projects
0842498049c7,0842498049c7.pdf,Design Guidelines,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers
098c9db1090d,098c9db1090d.pdf,Design Patterns,A semantic representation for domain-specific patterns
09e4195a775c,09e4195a775c.pdf,Design Patterns,BIOPHILIC DESIGN PATTERNS: Emerging Nature-Based Parameters for Health and Well-Being in the Built Environment
0b7e6111aa14,0b7e6111aa14.pdf,Design knowledge,Synthesizing a Solution Space for Prescriptive Design Knowledge Codification
0bca44c18d6c,0bca44c18d6c.pdf,Design theory,"Tinkering, tailoring, and bricolage: Implications for theories of Design"
0cbc36913472,0cbc36913472.pdf,Design Heuristics,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception
0e02199ea150,0e02199ea150.pdf,Design theory,The Inspiration of Design Affairology to Hcd in Post Humanism Era
0ecb6c9b7eeb,0ecb6c9b7eeb.pdf,Design theory,Pluralism in Knowledge Management: a Review
0ef759265f23,0ef759265f23.pdf,Design Guidelines,The equitable use concept in sidewalk design
1151f6830f77,1151f6830f77.pdf,Design Patterns,Design patterns in intelligent systems
141f85abba0a,141f85abba0a.pdf,Design theory,How to Define Design in Industrial Control and Automation Software
1445730be68b,1445730be68b.pdf,Design principles,A problem-based approach to the advancement of heuristics for socio-technical evaluation
18d57211cb40,18d57211cb40.pdf,Design knowledge,Object oriented design knowledge: ontology and measurement of impact
1d033f71eb02,1d033f71eb02.pdf,Design Rules,"Soft, Flexible, and Stretchable Platforms for Tissue‐Interfaced Bioelectronics"
1e7ab64c6cf9,1e7ab64c6cf9.pdf,Design frameworks,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults
1e8f1494fc78,1e8f1494fc78.pdf,Design theory,Collaboration Engineering Methodology: Horizontal Extension to Accommodate Project and Program Concerns
2042efa7e455,2042efa7e455.pdf,Design knowledge,The DSR grid: six core dimensions for effectively planning and communicating design science research projects
20f56bbbd10c,20f56bbbd10c.pdf,Design theory,2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy
215d4603e3c7,215d4603e3c7.pdf,Design methods,A case study of the extension of floorplan flexibility using sector margins
268903a30da5,268903a30da5.pdf,Design frameworks,Systematic Review of Systemic Design Frameworks for Complex Challenges
287b2d823523,287b2d823523.pdf,Design Patterns,Architecture pattern organization
288676f720a1,288676f720a1.pdf,Design theory,A design theory for digital platforms supporting online communities: a multiple case study
2a22a314dcfb,2a22a314dcfb.pdf,Design Rules,Studying Software Architecture Through Design Spaces and Rules
2a3139d14895,2a3139d14895.pdf,Design knowledge,What is design knowledge from the viewpoint of CPM/PDD?
