paper_id,title,doi,suggested_filename,status,source,url,message
76d309f713b9,How industrial design knowledge differs from engineering design knowledge,,How_industrial_design_knowledge_differs_from_engineering_design_knowledge.pdf,no_open_pdf_candidate,,,
6b9f020cd024,Design knowledge for decision-making process in a DFX product design approach,10.1007/978-1-84800-239-5_13,978.1.84800.239.5.13.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1007/978-1-84800-239-5_13,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
7b15d81000db,The anatomy of a design theory,10.17705/1jais.00129,1jais.00129.pdf,failed,OpenAlex primary pdf_url; OpenAlex location landing_page,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1413&context=jais; https://doi.org/10.17705/1jais.00129,OpenAlex primary pdf_url: HTTP 403 | OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
86c052a239d1,Towards a formal definition of design and its possible applications,,Towards_a_formal_definition_of_design_and_its_possible_applications.pdf,no_open_pdf_candidate,,,
817a6d8c927b,KNOWLEDGE REPRESENTATION IN THE CONCEPTUAL DESIGN PROCESS FOR BUILDING ENERGY SYSTEMS.,10.1007/978-3-662-21626-2_97,978.3.662.21626.2.97.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1007/978-3-662-21626-2_97,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
fe2d6cd3e881,Design knowledge: theory is support of practice,10.1080/09544829008901646,09544829008901646.pdf,failed,OpenAlex location landing_page; OpenAlex location landing_page,https://doi.org/10.1080/09544829008901646; http://cumincad.architexturez.net//doc/oai-cumincadworks-id-05d7,OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: ConnectionError
e8a17b6120e4,Designing as reflective conversation with the materials of a design situation,10.1016/0950-7051(92)90020-G,0950.7051.92.90020.g.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1016/0950-7051(92)90020-g,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
5000c5049cbd,Learning design knowledge as generalization,,Learning_design_knowledge_as_generalization.pdf,no_open_pdf_candidate,,,
37f353dbe230,Managing design knowledge,,Managing_design_knowledge.pdf,no_open_pdf_candidate,,,
18d57211cb40,Object oriented design knowledge: ontology and measurement of impact,,Object_oriented_design_knowledge_ontology_and_measurement_of_impact.pdf,no_open_pdf_candidate,,,
1401e17184c0,Software creation: cliche as intermediate knowledge in software design,,Software_creation_cliche_as_intermediate_knowledge_in_software_design.pdf,no_open_pdf_candidate,,,
fc4c2b9d38d7,A framework for supporting architecture knowledge and rationale management,10.1007/978-3-540-30998-7_11,978.3.540.30998.7.11.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1007/978-3-540-30998-7_11,OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
495817cc9c25,"Object-oriented design knowledge: Principles, heuristics and best practices",10.4018/978-1-59140-896-3,978.1.59140.896.3.pdf,failed,OpenAlex location landing_page; OpenAlex location landing_page; OpenAlex location landing_page,http://www.loc.gov/catdir/toc/ecip0611/2006010089.html; http://services.igi-global.com/resolvedoi/resolve.aspx?doi=10.4018/978-1-59140-896-3; https://openlibrary.org/books/OL8855069M/Object-oriented_Design_Knowledge,OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: HTTP 429 | OpenAlex location landing_page: ConnectTimeout
a140a90ce7b9,The object-oriented design knowledge ontology,10.4018/978-1-59140-896-3.ch002,978.1.59140.896.3.ch002.pdf,failed,OpenAlex location landing_page,https://doi.org/10.4018/978-1-59140-896-3.ch002,OpenAlex location landing_page: HTTP 429
60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework,10.1016/j.destud.2023.101204,j.destud.2023.101204.pdf,failed,OpenAlex oa_url; OpenAlex location pdf_url; OpenAlex location landing_page; OpenAlex location landing_page,https://doi.org/10.1016/j.destud.2023.101204; https://orbit.dtu.dk/files/337118180/1-s2.0-S0142694X23000455-main.pdf; https://orbit.dtu.dk/en/publications/b79865f3-a1c4-41d0-b024-35a68a1b064e; http://resolver.tudelft.nl/uuid:6ad1443b-844e-4caf-b2f1-2682ce25f991,OpenAlex oa_url: not PDF (text/html;charset=UTF-8) | OpenAlex location pdf_url: HTTP 403 | OpenAlex location landing_page: not PDF (text/html;charset=UTF-8) | OpenAlex location landing_page: not PDF (text/html; charset=utf-8)
b5d968168f35,A Framework of Design Method Corroboration,,A_Framework_of_Design_Method_Corroboration.pdf,no_open_pdf_candidate,,,
d330bde18c87,Languaging design methods,10.1016/j.destud.2021.101076,j.destud.2021.101076.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1016/j.destud.2021.101076,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
