paper_id,title,doi,suggested_filename,status,source,url,message
f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,10.1109/icse43902.2021.00075,icse43902.2021.00075.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1109/icse43902.2021.00075,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
01467836cecf,Design principles for human-computer interfaces,10.1145/800045.801571,800045.801571.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/800045.801571.pdf
dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,10.1145/3656156.3663737,3656156.3663737.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/3656156.3663737.pdf
64085b9b57e4,Towards an integrative approach to researching design expertise,10.1016/j.destud.2021.101017,j.destud.2021.101017.pdf,failed,OpenAlex oa_url; OpenAlex location landing_page,https://figshare.com/articles/journal_contribution/Towards_an_integrative_approach_to_researching_design_expertise/27545457; https://doi.org/10.1016/j.destud.2021.101017,OpenAlex oa_url: not PDF (text/html; charset=UTF-8) | OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
f51b21c51194,Understanding database design expertise,10.1016/0169-023X(95)00012-H,0169.023x.95.00012.h.pdf,failed,OpenAlex oa_url,https://doi.org/10.1016/0169-023x(95)00012-h,OpenAlex oa_url: not PDF (text/html;charset=UTF-8)
7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",10.1109/CoG52621.2021.9619144,cog52621.2021.9619144.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1109/cog52621.2021.9619144,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,10.1016/j.destud.2018.04.003,j.destud.2018.04.003.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1016/j.destud.2018.04.003,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
9f4dbd790fe7,Design Heuristics in Innovative Products,10.1115/1.4032219,1.4032219.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1115/1.4032219,OpenAlex location landing_page: HTTP 403
0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,,What_is_the_content_of_design_thinking_Design_Heuristics_as_conceptual_repertoire.pdf,no_open_pdf_candidate,,,
cdd6de21b74b,Evidence-based design heuristics for idea generation,10.1016/j.destud.2016.05.001,j.destud.2016.05.001.pdf,failed,OpenAlex oa_url,https://doi.org/10.1016/j.destud.2016.05.001,OpenAlex oa_url: not PDF (text/html;charset=UTF-8)
0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,10.1016/j.sheji.2018.01.001,j.sheji.2018.01.001.pdf,failed,OpenAlex oa_url; OpenAlex location landing_page; OpenAlex location landing_page; OpenAlex location landing_page,https://doi.org/10.1016/j.sheji.2018.01.001; https://doaj.org/article/b67b3ab70a0c4310bd3db4e8856ceb9e; https://dspace.lboro.ac.uk/2134/32684; https://figshare.com/articles/journal_contribution/Dialogue_appropriate_to_assistive_technology_product_design_A_taxonomy_of_communication_formats_in_relation_to_modes_of_sensory_perception/9346958,OpenAlex oa_url: not PDF (text/html;charset=UTF-8) | OpenAlex location landing_page: HTTP 403 | OpenAlex location landing_page: not PDF (text/html; charset=UTF-8) | OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
56dcde0a4f35,THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.,,THEORY_OF_ENGINEERING_DESIGN_A_STRATEGY_FOR_CROSS_CULTURAL_ANALYSIS.pdf,no_open_pdf_candidate,,,
f50a79b2d7e1,Towards scaling expertise with generative AI: design principles for governing AI-Mediated knowledge capture and transfer,10.1080/12460125.2026.2669855,12460125.2026.2669855.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1080/12460125.2026.2669855,OpenAlex location landing_page: HTTP 403
