paper_id,title,doi,suggested_filename,status,source,url,message
f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,10.1109/icse43902.2021.00075,icse43902.2021.00075.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1109/icse43902.2021.00075,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
01467836cecf,Design principles for human-computer interfaces,10.1145/800045.801571,800045.801571.pdf,failed,OpenAlex primary pdf_url; OpenAlex location landing_page,https://dl.acm.org/doi/pdf/10.1145/800045.801571; https://doi.org/10.1145/800045.801571,OpenAlex primary pdf_url: HTTP 403 | OpenAlex location landing_page: HTTP 403
dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,10.1145/3656156.3663737,3656156.3663737.pdf,failed,OpenAlex oa_url,https://doi.org/10.1145/3656156.3663737,OpenAlex oa_url: HTTP 403
64085b9b57e4,Towards an integrative approach to researching design expertise,10.1016/j.destud.2021.101017,j.destud.2021.101017.pdf,failed,OpenAlex oa_url; OpenAlex location landing_page,https://figshare.com/articles/journal_contribution/Towards_an_integrative_approach_to_researching_design_expertise/27545457; https://doi.org/10.1016/j.destud.2021.101017,OpenAlex oa_url: not PDF (text/html; charset=UTF-8) | OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
f51b21c51194,Understanding database design expertise,10.1016/0169-023X(95)00012-H,0169.023x.95.00012.h.pdf,failed,OpenAlex oa_url,https://doi.org/10.1016/0169-023x(95)00012-h,OpenAlex oa_url: not PDF (text/html;charset=UTF-8)
7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",10.1109/CoG52621.2021.9619144,cog52621.2021.9619144.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1109/cog52621.2021.9619144,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,10.1016/j.destud.2018.04.003,j.destud.2018.04.003.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1016/j.destud.2018.04.003,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
9f4dbd790fe7,Design Heuristics in Innovative Products,10.1115/1.4032219,1.4032219.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1115/1.4032219,OpenAlex location landing_page: HTTP 403
0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,,What_is_the_content_of_design_thinking_Design_Heuristics_as_conceptual_repertoire.pdf,no_open_pdf_candidate,,,
cdd6de21b74b,Evidence-based design heuristics for idea generation,10.1016/j.destud.2016.05.001,j.destud.2016.05.001.pdf,failed,OpenAlex oa_url,https://doi.org/10.1016/j.destud.2016.05.001,OpenAlex oa_url: not PDF (text/html;charset=UTF-8)
