paper_id,title,doi,suggested_filename,status,source,url,message
01467836cecf,Design principles for human-computer interfaces,10.1145/800045.801571,800045.801571.pdf,failed,OpenAlex primary pdf_url; OpenAlex location landing_page,https://dl.acm.org/doi/pdf/10.1145/800045.801571; https://doi.org/10.1145/800045.801571,OpenAlex primary pdf_url: HTTP 403 | OpenAlex location landing_page: HTTP 403
dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,10.1145/3656156.3663737,3656156.3663737.pdf,failed,OpenAlex oa_url,https://doi.org/10.1145/3656156.3663737,OpenAlex oa_url: HTTP 403
64085b9b57e4,Towards an integrative approach to researching design expertise,10.1016/j.destud.2021.101017,j.destud.2021.101017.pdf,failed,OpenAlex oa_url; OpenAlex location landing_page,https://figshare.com/articles/journal_contribution/Towards_an_integrative_approach_to_researching_design_expertise/27545457; https://doi.org/10.1016/j.destud.2021.101017,OpenAlex oa_url: not PDF (text/html; charset=UTF-8) | OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
f51b21c51194,Understanding database design expertise,10.1016/0169-023X(95)00012-H,0169.023x.95.00012.h.pdf,failed,OpenAlex oa_url,https://doi.org/10.1016/0169-023x(95)00012-h,OpenAlex oa_url: not PDF (text/html;charset=UTF-8)
7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",10.1109/CoG52621.2021.9619144,cog52621.2021.9619144.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1109/cog52621.2021.9619144,OpenAlex location landing_page: not PDF (text/html; charset=UTF-8)
85ba95ab4fa0,"Six Guidelines for Trustworthy, Ethical and Responsible Automation Design",10.48550/arXiv.2508.02371,arxiv.2508.02371.pdf,downloaded,arXiv DOI,https://arxiv.org/pdf/2508.02371.pdf,/Users/baiyixin/Downloads/pdf_386/arxiv.2508.02371.pdf
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,10.35199/dfx2022.08,dfx2022.08.pdf,downloaded,OpenAlex primary pdf_url,https://www.designsociety.org/download-publication/45914/Introduction+of+a+standardized+Notation+of+Design+Heuristics+for+Knowledge+Formalization,/Users/baiyixin/Downloads/pdf_386/dfx2022.08.pdf
cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,10.1016/j.destud.2018.04.003,j.destud.2018.04.003.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1016/j.destud.2018.04.003,OpenAlex location landing_page: not PDF (text/html;charset=UTF-8)
7cb073ebacac,Formal system for the expression of target-oriented design heuristics,10.21278/idc.2018.0120,idc.2018.0120.pdf,downloaded,OpenAlex primary pdf_url,https://www.designsociety.org/download-publication/40427/FORMAL+SYSTEM+FOR+THE+EXPRESSION+OF+TARGET-ORIENTED+DESIGN+HEURISTICS,/Users/baiyixin/Downloads/pdf_386/idc.2018.0120.pdf
9f4dbd790fe7,Design Heuristics in Innovative Products,10.1115/1.4032219,1.4032219.pdf,failed,OpenAlex location landing_page,https://doi.org/10.1115/1.4032219,OpenAlex location landing_page: HTTP 403
