paper_id,keyword,title,doi,year,venue,url,pdf_found,pdf_path,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,normalized_filename,pdf_metadata_title,pdf_first_page_probe,pdf_page_count,title_token_overlap,title_token_coverage,audit_status,audit_note
00d7fbafe65f,Design Guidelines,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",10.1145/3613904.3642886,2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3613904.3642886,True,/Users/baiyixin/Downloads/pdf_386/3613904.3642886.pdf,pdfplumber,73017,52,10,False,0,00d7fbafe65f.pdf,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines Kihoon Son DaEun Choi kihoon.son@kaist.ac.kr daeun.choi@kaist.ac.kr School of Computing, KAIST School of Computing, KAIST Daejeon, Republic of Korea Daejeon, Republic of Korea Tae Soo Kim Juho Kim taesoo.kim@kaist.ac.kr juhokim@kaist.ac.kr School of Computing, KAIST School of Computing, KAIST Daejeon, Republic of Korea Daejeon, Republic of Korea ABSTRACT 1 INTRODUCTION Despite the growing demand for professional graphic design knowl- There is a substantial demand for professional graphic design edge, the tacit nature of design inhibits knowledge sharing. How- knowledge, which is essential f",18,0.106,1.0,likely_match,
ca185d91b684,Design Guidelines,Embracing Non-Natural Design in Human-Computer Interaction,10.1145/3656650.3660545,2024,Proceedings of the 2024 International Conference on Advanced Visual Interfaces,https://doi.org/10.1145/3656650.3660545,True,/Users/baiyixin/Downloads/pdf_386/3656650.3660545.pdf,pdfplumber,5002,4,1,False,0,ca185d91b684.pdf,Embracing Non-Natural Design in Human-Computer Interaction,"Embracing Non-Natural Design in Human-Computer Interaction Radu-DanielVatavu MintVizLab,MANSiDResearchCenter ŞtefancelMareUniversityofSuceava Suceava,Romania radu.vatavu@usm.ro ABSTRACT CCSCONCEPTS Decadesago,thenaturalinteractiondesignparadigmhasbrought •Human-centeredcomputing→Interactiondesigntheory, about a revolutionary shift in perspective regarding how inter- conceptsandparadigms;Ubiquitousandmobilecomputing; actionswithcomputersystemscouldandshouldtakeplace.By Mixed/augmentedreality;Interactiondevices. promotingintuition,familiarity,andcontextmatching,naturalin- teractionsleverageusers’bestcapabilitiestoengageineffective KEYWORDS dialogue with their computer interlocutors. Natural in",1,0.091,1.0,likely_match,
f0b2517a04a4,Design Guidelines,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,10.1109/icse43902.2021.00075,2021,Proceedings of the 43rd International Conference on Software Engineering,https://doi.org/10.1109/ICSE43902.2021.00075,True,/Users/baiyixin/Downloads/pdf_386/Dont_Do_That_Hunting_Down_Visual_Design_Smells_in_Complex_UIs_Against_Design_Guidelines.pdf,pdfplumber,69877,43,10,False,0,f0b2517a04a4.pdf,Don&#x2019;t Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,"57000.1202.20934ESCI/9011.01 :IOD | EEEI 1202© 00.13$/02/5-6920-4566-1-879 | )ESCI( gnireenignE erawtfoS no ecnerefnoC lanoitanretnI dr34 MCA/EEEI 1202 2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)9 Don(cid:1)t Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines Bo Yang*, Zhenchang Xingt, Xin Xia^, Chunyang Cherf, Deheng Ye^, Shanping Li* *Zhejiang University, China; tAustralian National University, Australia iMonash University, Australia; ^Tencent AI Lab, China {imyb, shan}@zju.edu.cn, zhenchang.xing@anu.edu.au, {xin.xia, chunyang.chen}@monash.edu, dericye@tencent.com Abstract—Just like code smells in source code, UI design has vi",12,0.1,1.0,likely_match,
65c31c577170,Design Guidelines,The Rough Mile: Testing a Framework of Immersive Practice,10.1145/3064663.3064756,2017,Proceedings of the 2017 Conference on Designing Interactive Systems,https://doi.org/10.1145/3064663.3064756,True,/Users/baiyixin/Downloads/pdf_386/3064663.3064756.pdf,pdfplumber,59439,38,10,False,0,65c31c577170.pdf,disfp0632-spence,"Creativity DIS 2017, June 10–14, 2017, Edinburgh, UK The Rough Mile: Testing a Framework of Immersive Practice Jocelyn Spence, Adrian Hazzard, Sean McGrath, Chris Greenhalgh, Steve Benford Mixed Reality Lab, School of Computer Science, University of Nottingham Nottingham, UK e-mail {first.last}@nottingham.ac.uk ABSTRACT any number of contexts rather than practices of immersive We present our case study on gifting digital music, The theatre per se: the framework and definition can apply to a Rough Mile, as an example of a Framework of Immersive range of interdisciplinary projects. The Rough Mile is Practice, intended for researchers and practitioners in HCI presented in relation to each eleme",12,0.051,1.0,likely_match,
615169de6f0e,Design Guidelines,From interaction to trajectories: designing coherent journeys through user experiences,10.1145/1518701.1518812,2009,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/1518701.1518812,True,/Users/baiyixin/Downloads/pdf_386/1518701.1518812.pdf,pdfplumber,52454,36,10,False,0,615169de6f0e.pdf,,"CHI 2009 ~ User Experience April 7th, 2009 ~ Boston, MA, USA From Interaction to Trajectories: Designing Coherent Journeys Through User Experiences Steve Benford1, Gabriella Giannachi2, Boriana Koleva1, Tom Rodden1 1Mixed Reality Laboratory, The University of Nottingham, UK {sdb, bnk, tar}@cs.nott.ac.uk 2Centre for Intermedia, Department of Drama, The University of Exeter, Exeter, UK g.giannachi@exeter.ac.uk ABSTRACT Diverse examples have shown how computers can be The idea of interactional trajectories through interfaces has embedded into wider cultural experiences. Interactive tours emerged as a sensitizing concept from recent studies of and museum installations have integrated digital med",10,0.069,1.0,likely_match,
9eecf23c4ce7,Design Heuristics,Design Heuristics for Web-Based Severe Weather Risk Communication,10.1145/3715335.3735482,2025,Proceedings of the 2025 ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,https://doi.org/10.1145/3715335.3735482,True,/Users/baiyixin/Downloads/pdf_386/3715335.3735482.pdf,pdfplumber,57746,41,10,False,0,9eecf23c4ce7.pdf,Design Heuristics for Web-Based Severe Weather Risk Communication,"Design Heuristics for Web-Based Severe Weather Risk Communication SophiaJit∗ AmandaLeiva∗ UniversityofToronto UniversityofToronto Toronto,Canada Toronto,Canada sophia.jit@mail.utoronto.ca amanda.leiva@mail.utoronto.ca RebeccaBicksler RobertSoden Co-RiskLabs UniversityofToronto Englewood,Colorado,USA Toronto,Canada beccabix@gmail.com soden@cs.toronto.edu Abstract 1 Introduction Weatherriskcommunicationisaninterdisciplinaryfieldofresearch As a result of climate change, human settlement patterns, and thataimstounderstandhowtocommunicatecomplexriskinfor- other factors, disasters related to severe weather such as tropi- mationrelatedtoextremeweathereventstothegeneralpublicto calcyclones,storms,an",13,0.086,1.0,likely_match,
994d28d55eb8,Design Heuristics,From human factors to human actors to human crafters,10.1145/1940761.1940775,2011,Proceedings of the 2011 IConference,https://doi.org/10.1145/1940761.1940775,True,/Users/baiyixin/Downloads/pdf_386/1940761.1940775.pdf,pdfplumber,44024,29,10,False,0,994d28d55eb8.pdf,From human factors to human actors to human crafters,"From Human Factors to Human Actors to Human Crafters Monica Maceli Michael Atwood College of Information Science and Technology College of Information Science and Technology Drexel University Drexel University 3141 Chestnut St 3141 Chestnut St Philadelphia, PA 19104 USA Philadelphia, PA 19104 USA mgm36@drexel.edu atwood@drexel.edu ABSTRACT may have created an artifact; currently, the trend is toward artifacts that involve many disciplines in their making. In the past, Meta-design theory emphasizes that future use can never be an artifact may have been used in the work place and left on the entirely anticipated at design time, as users shape their desk when the worker went home; currently, th",8,0.044,1.0,likely_match,
ccc616a68c38,Design knowledge,Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges,10.1145/3132361.3133942,2017,Proceedings of the 2nd International Workshop on Multimedia Alternate Realities,https://doi.org/10.1145/3132361.3133942,True,/Users/baiyixin/Downloads/pdf_386/3132361.3133942.pdf,pdfplumber,37104,25,10,False,0,ccc616a68c38.pdf,alt110-roth1,"Session: Design and Applications of Alternate Realities AltMM’17, October 27, 2017, Mountain View, CA, USA Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges Christian Roth Hartmut Koenitz University of the Arts Utrecht University of the Arts Utrecht Postbox 1520 Postbox 1520 3500 BM Utrecht, The Netherlands 3500 BM Utrecht, The Netherlands christian.roth@hku.nl hartmut.koenitz@hku.nl ABSTRACT origins of interactive digital narrative design could be traced back to Weizenbaum’s famous 1966 AI experiment Eliza [57]. However, this In the context of this paper we take design knowledge as the long history has not yet resulted in an ",6,0.108,1.0,likely_match,
b227e604cd40,Design knowledge,"The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design",10.1145/3772318.3791264,2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,https://doi.org/10.1145/3772318.3791264,True,/Users/baiyixin/Downloads/pdf_386/3772318.3791264.pdf,pdfplumber,54338,39,10,False,0,b227e604cd40.pdf,"The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design","The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design Colin M. Gray∗ UXP2 Lab Indiana University Bloomington, Indiana, USA comgray@iu.edu Abstract medium sized app and website developers. These digital systems Research on dark patterns has grown rapidly, but challenges re- have been an object of study by HCI researchers, and over the past main in situating these practices within broader socio-technical, 15 years, practitioners and scholars alike have noted the degree to legal, and design contexts. In this essay, I introduce the concept of which these systems incorporate manipulative, coercive, or decep- the “dark patterns knowledge stack” as a new way of",11,0.086,1.0,likely_match,
d4ef8c48ded5,Design knowledge,"Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices",10.1145/3372782.3408115,2020,Proceedings of the 2020 ACM Conference on International Computing Education Research,https://doi.org/10.1145/3372782.3408115,True,/Users/baiyixin/Downloads/pdf_386/3372782.3408115.pdf,pdfplumber,5024,4,1,False,0,d4ef8c48ded5.pdf,"Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices","Poster Abstract ICER ‘20, August 10–12, 2020, Virtual Event, New Zealand Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices UmbertoCostantini ViolettaLonati AnnaMorpurgo UniversitàdegliStudidiMilano UniversitàdegliStudidiMilano UniversitàdegliStudidiMilano Milan,Italy Milan,Italy Milan,Italy umberto.costantini@studenti.unimi.it Lab.CINI“InformaticaeScuola” Lab.CINI“InformaticaeScuola” lonati@di.unimi.it morpurgo@di.unimi.it ABSTRACT evaluatingstudentsprogrammingskillswithapre-testandapost- Whenlearningtoprogram,differenttypesofknowledgeandskills test,usingagroupasatreatmentgroupandanotheroneascontrol havetobebuilt:syntacticknowledge,",1,0.133,1.0,likely_match,
