paper_id,title,doi,suggested_filename,status,source,url,message
01467836cecf,Design principles for human-computer interfaces,10.1145/800045.801571,800045.801571.pdf,no_open_pdf_candidate,,,
dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,10.1145/3656156.3663737,3656156.3663737.pdf,failed,Semantic Scholar openAccessPdf,https://doi.org/10.1145/3656156.3663737,Semantic Scholar openAccessPdf: HTTP 403
64085b9b57e4,Towards an integrative approach to researching design expertise,10.1016/j.destud.2021.101017,j.destud.2021.101017.pdf,no_open_pdf_candidate,,,
f51b21c51194,Understanding database design expertise,10.1016/0169-023X(95)00012-H,0169.023x.95.00012.h.pdf,failed,Semantic Scholar openAccessPdf,https://doi.org/10.1016/0169-023x(95)00012-h,Semantic Scholar openAccessPdf: not PDF (text/html;charset=UTF-8)
7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",10.1109/CoG52621.2021.9619144,cog52621.2021.9619144.pdf,no_open_pdf_candidate,,,
85ba95ab4fa0,"Six Guidelines for Trustworthy, Ethical and Responsible Automation Design",10.48550/arXiv.2508.02371,arxiv.2508.02371.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/arxiv.2508.02371.pdf
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,10.35199/dfx2022.08,dfx2022.08.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/dfx2022.08.pdf
cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,10.1016/j.destud.2018.04.003,j.destud.2018.04.003.pdf,no_open_pdf_candidate,,,
7cb073ebacac,Formal system for the expression of target-oriented design heuristics,10.21278/idc.2018.0120,idc.2018.0120.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/idc.2018.0120.pdf
9f4dbd790fe7,Design Heuristics in Innovative Products,10.1115/1.4032219,1.4032219.pdf,no_open_pdf_candidate,,,
0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,,What_is_the_content_of_design_thinking_Design_Heuristics_as_conceptual_repertoire.pdf,no_open_pdf_candidate,,,
cdd6de21b74b,Evidence-based design heuristics for idea generation,10.1016/j.destud.2016.05.001,j.destud.2016.05.001.pdf,no_open_pdf_candidate,,,
0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,10.1016/j.sheji.2018.01.001,j.sheji.2018.01.001.pdf,no_open_pdf_candidate,,,
56dcde0a4f35,THEORY OF ENGINEERING DESIGN: A STRATEGY FOR CROSS-CULTURAL ANALYSIS.,,THEORY_OF_ENGINEERING_DESIGN_A_STRATEGY_FOR_CROSS_CULTURAL_ANALYSIS.pdf,no_open_pdf_candidate,,,
f50a79b2d7e1,Towards scaling expertise with generative AI: design principles for governing AI-Mediated knowledge capture and transfer,10.1080/12460125.2026.2669855,12460125.2026.2669855.pdf,no_open_pdf_candidate,,,
6391dee944e6,Understanding What Design Research Is and Is NOT,10.4324/9781003489108-4,9781003489108.4.pdf,no_open_pdf_candidate,,,
02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,10.1016/j.datak.2024.102333,j.datak.2024.102333.pdf,no_open_pdf_candidate,,,
78ea04e5eaee,Socio-technical design principles for a multi-stakeholder agriculture extension information system in Ethiopia,10.1080/02681102.2023.2279309,02681102.2023.2279309.pdf,no_open_pdf_candidate,,,
6d926f3c4a97,A domain reference ontology for design science research knowledge bases,,A_domain_reference_ontology_for_design_science_research_knowledge_bases.pdf,no_open_pdf_candidate,,,
31314745e651,Using Schema Theory to Construct the Designer's Knowledge Framework,10.1007/978-3-031-61932-8_4,978.3.031.61932.8.4.pdf,no_open_pdf_candidate,,,
07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,10.1007/978-3-031-61175-9_10,978.3.031.61175.9.10.pdf,no_open_pdf_candidate,,,
e8f4a7417bf7,Toward a Method for Design Science Research Meta-Studies to Improve the Reusability of Design Principles,10.1007/978-3-031-61175-9_13,978.3.031.61175.9.13.pdf,no_open_pdf_candidate,,,
3058799f63c1,Using Schema to Inform Method Design Practices,10.48550/arXiv.2405.00901,arxiv.2405.00901.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/arxiv.2405.00901.pdf
73537bfbe719,A taxonomy and ontology for digital platforms,10.1016/j.is.2023.102293,j.is.2023.102293.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/j.is.2023.102293.pdf
19dd6ec0253e,A principle-based philosophical framework for fashion design praxis and education in new design landscapes,10.1007/s10798-022-09794-7,s10798.022.09794.7.pdf,no_open_pdf_candidate,,,
bdf1addf5a10,Contestable AI by Design: Towards a Framework,10.1007/s11023-022-09611-z,s11023.022.09611.z.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/s11023.022.09611.z.pdf
9eda131748eb,Engineering Design Principles for HCI as a Way Forward for HCI Design Knowledge,10.1007/978-3-031-79209-0_10,978.3.031.79209.0.10.pdf,no_open_pdf_candidate,,,
0b7e6111aa14,Synthesizing a Solution Space for Prescriptive Design Knowledge Codification,,Synthesizing_a_Solution_Space_for_Prescriptive_Design_Knowledge_Codification.pdf,no_open_pdf_candidate,,,
3dbca777664c,Design Principles for Boundary Spanning in Transdisciplinary Design Science Research,10.1007/978-3-031-06516-3_4,978.3.031.06516.3.4.pdf,no_open_pdf_candidate,,,
4effa8e553a8,Toward Engineering Design Principles for HCI,10.2200/s01172ed1v02y202202hci055,s01172ed1v02y202202hci055.pdf,no_open_pdf_candidate,,,
364b7d9127ec,Toward a Unified Model of Design Knowledge,10.1162/desi_a_00679,desi.a.00679.pdf,no_open_pdf_candidate,,,
fd2392ff2aff,Surveying a Landscape of Ethics-Focused Design Methods,10.48550/arXiv.2102.08909,arxiv.2102.08909.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/arxiv.2102.08909.pdf
a7e06450729f,Game Design as an Autonomous Research Subject,10.3390/info12090367,info12090367.pdf,no_open_pdf_candidate,,,
82f49b5a1905,SOLUTION REPERTOIRE,,SOLUTION_REPERTOIRE.pdf,no_open_pdf_candidate,,,
40668e23fbab,Dimensions of knowledge in prototyping: A review and characterisation of prototyping methods and their contributions to design knowledge,10.1017/pds.2021.130,pds.2021.130.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/pds.2021.130.pdf
f6ba28a6efeb,ON the HIERARCHICAL LEVELS of DESIGN KNOWLEDGE,10.1017/dsd.2020.330,dsd.2020.330.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/dsd.2020.330.pdf
5a716d80ac6b,Towards a Method for Design Principle Development in Information Systems,10.1007/978-3-030-64823-7_20,978.3.030.64823.7.20.pdf,no_open_pdf_candidate,,,
33444d31c6dc,A design theory for visual inquiry tools,10.17705/1jais.00617,1jais.00617.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/1jais.00617.pdf
95eee570b8f1,Accumulating design knowledge: A mechanisms-based approach,10.17705/1jais.00619,1jais.00619.pdf,no_open_pdf_candidate,,,
cda6c6785f0a,The design of social drones: a review of studies on autonomous flyers in inhabited environments,10.1145/3290605.3300480,3290605.3300480.pdf,no_open_pdf_candidate,,,
ddf4ea43a777,Adaptation of Toulmin’s Model of Argumentation for Establishing Rigour and Relevance in Design Research,10.1007/978-981-13-5974-3_1,978.981.13.5974.3.1.pdf,no_open_pdf_candidate,,,
d6b2bf339ae4,"Co-producing, curating, and defining design knowledge in an online practitioner community",10.1080/15710882.2018.1563193,15710882.2018.1563193.pdf,no_open_pdf_candidate,,,
114973fd100e,Identification and management of the near-field knowledge of industrial design for innovative product shapes,10.1177/1687814018816574,1687814018816574.pdf,no_open_pdf_candidate,,,
9d158233f041,Guidelines supporting the formulation of design principles,10.5130/acis2018.ak,acis2018.ak.pdf,no_open_pdf_candidate,,,
e7091fbecdfa,"Utilizing, Producing, and Contributing Design Knowledge in DSR Projects",10.1007/978-3-319-91800-6_6,978.3.319.91800.6.6.pdf,no_open_pdf_candidate,,,
c90163fa7f57,A new model to express and capture the design rationale in the documents,10.1051/matecconf/201713900016,matecconf.201713900016.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/matecconf.201713900016.pdf
ade78c466271,Revised set of usability heuristics for the evaluation of interactive systems,10.12948/issn14531305/21.3.2017.03,issn14531305.21.3.2017.03.pdf,existing,,,/Users/baiyixin/Downloads/pdf_386/issn14531305.21.3.2017.03.pdf
fffe50e033fa,Activity as the ultimate particular of interaction design,10.1145/3025453.3025990,3025453.3025990.pdf,no_open_pdf_candidate,,,
7c4d2eb91f51,Using a Visual Abstract as a Lens for Communicating and Promoting Design Science Research in Software Engineering,10.1109/ESEM.2017.28,esem.2017.28.pdf,no_open_pdf_candidate,,,
7f559689c730,Strong Technology-Enhanced Learning Concepts,10.1007/978-3-319-66610-5_42,978.3.319.66610.5.42.pdf,no_open_pdf_candidate,,,
03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",10.1115/1.4034105,1.4034105.pdf,no_open_pdf_candidate,,,
1b8c995dfc43,Seven design frames that teachers use when considering technological pedagogical content knowledge (TPACK),10.1016/j.compedu.2016.09.003,j.compedu.2016.09.003.pdf,no_open_pdf_candidate,,,
b0fe7e080516,Design knowledge representation: An ontological perspective,,Design_knowledge_representation_An_ontological_perspective.pdf,no_open_pdf_candidate,,,
e958310acab5,"Prescriptive knowledge in IS research: Conceptualizing design principles in terms of materiality, action, and boundary conditions",10.1109/HICSS.2015.485,hicss.2015.485.pdf,no_open_pdf_candidate,,,
1c7fa3f7d73a,A theoretical framework for the studio as a learning environment,10.1007/s10798-011-9181-5,s10798.011.9181.5.pdf,no_open_pdf_candidate,,,
c0efa7750b45,Forms of reasoning in the design science research process,10.1007/978-3-642-20633-7_2,978.3.642.20633.7.2.pdf,no_open_pdf_candidate,,,
a883ec94b37a,Causal design knowledge: Alternative representation method for product development knowledge management,10.1016/j.cad.2011.05.005,j.cad.2011.05.005.pdf,no_open_pdf_candidate,,,
