pdf_filename,pdf_path,size_kb,best_guess_score,best_guess_paper_id,best_guess_title,best_guess_doi,best_guess_keyword,reason
046.pdf,/Users/baiyixin/Downloads/pdf_386/046.pdf,192,0.037,53adec5acee6,Mapping design knowledge: 36 years of Design Studies,,Design knowledge,filename/hash/title not recognized by current DOI/title matcher
0492d8de99ac74482857fd3d7056f0e59cd2.pdf,/Users/baiyixin/Downloads/pdf_386/0492d8de99ac74482857fd3d7056f0e59cd2.pdf,644,0.189,878cf959ac53,Designerly Research Methods and Researcherly Design Methods,,Design methods,"hash-like filename, cannot infer paper from filename"
1-4020-4617-0 (1).pdf,/Users/baiyixin/Downloads/pdf_386/1-4020-4617-0 (1).pdf,10844,0.190,99cc9d73669c,Micro patterns in Java code,,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-4020-4617-0.pdf,/Users/baiyixin/Downloads/pdf_386/1-4020-4617-0.pdf,10844,0.158,7a42dd52852e,What's in design rationale?,,Design rationale,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S0142694X21000879-am.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S0142694X21000879-am.pdf,404,0.241,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S0142694X23000455-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S0142694X23000455-main.pdf,1630,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S0169023X24000570-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S0169023X24000570-main.pdf,2325,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S221282712100514X-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S221282712100514X-main.pdf,1088,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1-s2.0-S2405872617300989-main.pdf,/Users/baiyixin/Downloads/pdf_386/1-s2.0-S2405872617300989-main.pdf,464,0.267,51099fe3fdce,Making Sense of Design Patterns,10.1007/978-3-642-16438-5_23,Design Patterns,filename/hash/title not recognized by current DOI/title matcher
1171.pdf,/Users/baiyixin/Downloads/pdf_386/1171.pdf,181,0.019,f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",,Design Rules,filename/hash/title not recognized by current DOI/title matcher
