paper_id,title,keyword,cluster,old_282_status,expanded_459_status,transition,diagnostic_interpretation
0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,Design rationale,9,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
00781ed0e844,Cognitive Point of View in Recursive Design,Design theory,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",Design Guidelines,15,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Design knowledge,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
01467836cecf,Design principles for human-computer interfaces,Design principles,11,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
0176348439b8,A Comparative Study of Chinese and American Rural Design Guidelines,Design Guidelines,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
022ee7cf2e4e,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,Design Heuristics,1,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,Design knowledge,16,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
02f3ae017acb,Design Theory and Method of Complex Products: A Review,Design theory,6,noise,clustered,noise -> clustered,gained a density-connected neighborhood after expansion
03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",Design knowledge,13,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
03fd54829f02,Digisprudence: the design of legitimate code,Design theory,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
0512599e76df,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,Design Heuristics,1,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
056ae4e01610,Beyond the old game design: a new design paradigm in Game Studies through C-K Theory,Design theory,-1,clustered,noise,clustered -> noise,became peripheral after global UMAP refit and density re-estimation
0783409933b4,A Two-Dimensional Framework for AI Agent Design Patterns: Cognitive Function and Execution Topology,Design Patterns,17,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,Design knowledge,14,clustered,clustered,clustered -> clustered,retained density-connected membership (cluster number may change)
