paper_id,keyword,chunk_index,chunk_type,characters,words
013a50a2a9b4,Design Patterns,0,title_abstract,1490,190
013a50a2a9b4,Design Patterns,1,title_pdf_passage,1033,125
013a50a2a9b4,Design Patterns,2,title_pdf_passage,770,103
013a50a2a9b4,Design Patterns,3,title_pdf_passage,916,120
013a50a2a9b4,Design Patterns,4,title_pdf_passage,917,126
013a50a2a9b4,Design Patterns,5,title_pdf_passage,1054,128
013a50a2a9b4,Design Patterns,6,title_pdf_passage,477,53
013a50a2a9b4,Design Patterns,7,title_pdf_passage,931,116
013a50a2a9b4,Design Patterns,8,title_pdf_passage,986,128
013a50a2a9b4,Design Patterns,9,title_pdf_passage,1161,144
013a50a2a9b4,Design Patterns,10,title_pdf_passage,967,129
013a50a2a9b4,Design Patterns,11,title_pdf_passage,944,120
013a50a2a9b4,Design Patterns,12,title_pdf_passage,953,121
021b68e369b1,Design Patterns,0,title_abstract,900,133
021b68e369b1,Design Patterns,1,title_pdf_passage,1034,150
021b68e369b1,Design Patterns,2,title_pdf_passage,998,145
021b68e369b1,Design Patterns,3,title_pdf_passage,991,150
021b68e369b1,Design Patterns,4,title_pdf_passage,788,117
021b68e369b1,Design Patterns,5,title_pdf_passage,1005,138
021b68e369b1,Design Patterns,6,title_pdf_passage,895,113
021b68e369b1,Design Patterns,7,title_pdf_passage,924,142
021b68e369b1,Design Patterns,8,title_pdf_passage,560,75
021b68e369b1,Design Patterns,9,title_pdf_passage,583,92
021b68e369b1,Design Patterns,10,title_pdf_passage,871,123
021b68e369b1,Design Patterns,11,title_pdf_passage,1148,164
021b68e369b1,Design Patterns,12,title_pdf_passage,945,135
02c538fcc8a0,Design Patterns,0,title_abstract,1728,236
02c538fcc8a0,Design Patterns,1,title_pdf_passage,999,142
02c538fcc8a0,Design Patterns,2,title_pdf_passage,1028,145
02c538fcc8a0,Design Patterns,3,title_pdf_passage,1185,180
02c538fcc8a0,Design Patterns,4,title_pdf_passage,1063,162
02c538fcc8a0,Design Patterns,5,title_pdf_passage,949,141
02c538fcc8a0,Design Patterns,6,title_pdf_passage,579,89
02c538fcc8a0,Design Patterns,7,title_pdf_passage,949,148
02c538fcc8a0,Design Patterns,8,title_pdf_passage,1065,152
02c538fcc8a0,Design Patterns,9,title_pdf_passage,1078,163
02c538fcc8a0,Design Patterns,10,title_pdf_passage,1102,166
02c538fcc8a0,Design Patterns,11,title_pdf_passage,500,80
02c538fcc8a0,Design Patterns,12,title_pdf_passage,925,139
0334252e4adb,Design knowledge,0,title_abstract,1211,159
0334252e4adb,Design knowledge,1,title_pdf_passage,967,124
0334252e4adb,Design knowledge,2,title_pdf_passage,1051,136
0334252e4adb,Design knowledge,3,title_pdf_passage,1205,164
0334252e4adb,Design knowledge,4,title_pdf_passage,1122,157
0334252e4adb,Design knowledge,5,title_pdf_passage,579,86
0334252e4adb,Design knowledge,6,title_pdf_passage,1020,142
0334252e4adb,Design knowledge,7,title_pdf_passage,611,84
0334252e4adb,Design knowledge,8,title_pdf_passage,1066,156
0334252e4adb,Design knowledge,9,title_pdf_passage,315,44
0334252e4adb,Design knowledge,10,title_pdf_passage,1001,132
0334252e4adb,Design knowledge,11,title_pdf_passage,1043,142
