keyword,paper_count,config,k,elbow_estimated_k,smallest_cluster,largest_cluster,silhouette_cosine,cohesion_ratio,within_cosine_mean,global_cosine_mean,within_pair_count,permutation_rho_mean,permutation_rho_sd,permutation_adjusted_z_rho,permutation_p_greater_equal,bootstrap_pairwise_ari_mean,bootstrap_pairwise_ari_min,bootstrap_pairwise_ari_sd,bootstrap_reference_ari_mean,bootstrap_reference_ari_min,bootstrap_reference_ari_sd,passes_numeric_rule
Design Guidelines,22,spectral_knn10_k2,2,4,7,15,0.06763077527284622,1.012166494821027,0.6837085485458374,0.6754902005195618,126,0.9997685312028887,0.0076578032130905985,1.618997416510342,0.07192807192807193,0.4078913327834184,-0.14130434782608695,0.3357598110016756,0.3150282061018368,-0.12665684830633284,0.29032899877084045,False
Design Guidelines,22,spectral_knn10_k3,3,4,5,11,0.038783613592386246,1.0189913477154235,0.68831866979599,0.6754902005195618,80,0.9995878162103162,0.009338178911381893,2.0778710377306235,0.029970029970029972,0.3814852016422488,-0.12024048096192384,0.2473528066836192,0.38728419340333375,-0.002183406113537118,0.1802040425501417,False
Design Guidelines,22,spectral_knn10_k4,4,4,3,9,0.06954498589038849,1.0582704519474149,0.7148513197898865,0.6754902005195618,60,1.0004211533820504,0.01035208358058473,5.588179240926965,0.000999000999000999,0.46134807991260285,-0.10984455958549223,0.24088798465171365,0.5663512729853416,0.13840155945419103,0.25095768719250233,False
Design Guidelines,22,spectral_knn10_k5,5,4,2,7,0.08633150905370712,1.070266468834613,0.722954511642456,0.6754902005195618,48,1.0000423359712411,0.010194127561794284,6.8886849254819085,0.000999000999000999,0.36433937071241396,-0.13124387855044076,0.20770290185451643,0.450192740217701,0.03825063528153003,0.1772221959955838,False
Design Heuristics,10,spectral_knn10_k2,2,2,3,7,0.39618057012557983,1.0612833659445948,0.8481519818305969,0.7991757988929749,24,0.9997715080871826,0.013188266529614918,4.664135177984477,0.007992007992007992,0.7606647145066118,-0.21621621621621623,0.3664827500311603,0.8514607614607614,-0.06060606060606061,0.27820591362869185,True
Design Heuristics,10,spectral_knn10_k3,3,2,1,7,-0.09052994847297668,1.0172065274665911,0.8129268392272617,0.7991757988929749,23,1.000311112802732,0.017165775003592603,0.984250035918746,0.13786213786213786,0.33901672629793744,-0.2962962962962963,0.42897099104280384,0.5131975945621222,-0.2268041237113402,0.4588773199723825,False
Design Patterns,50,spectral_knn10_k2,2,3,16,34,0.0634516179561615,1.007503523897647,0.7638774514198303,0.7581883668899536,681,1.0001677534081377,0.004525747376362313,1.6208970319076257,0.06493506493506493,0.5431561735905304,-0.05154639175257732,0.24021581443893877,0.6115453908040159,0.1705668226729069,0.18692496585209195,False
Design Patterns,50,spectral_knn10_k3,3,3,14,21,0.056991130113601685,1.0241191828173728,0.7764752507209778,0.7581883668899536,406,0.999949021759724,0.0032032901869508993,7.545417257577758,0.000999000999000999,0.4962454069019358,-0.012622130045206344,0.20821287422739654,0.5426847442807845,0.07707637058103087,0.18476277079407533,False
Design Patterns,50,spectral_knn10_k4,4,3,7,22,0.06961669027805328,1.0310735053996412,0.7817479372024536,0.7581883668899536,354,1.0000340826349086,0.006443547358687458,4.8171327122914605,0.000999000999000999,0.4528438895680011,0.034777749947014505,0.18093798204723516,0.49386015479747675,0.1553170130188366,0.20842130680032278,False
Design Patterns,50,spectral_knn10_k5,5,3,6,17,0.05464884266257286,1.034783483709884,0.7845607995986938,0.7581883668899536,266,0.9995083017761387,0.005779305119482553,6.103706449903371,0.000999000999000999,0.4343243069893936,0.04257372654155496,0.15962564942692928,0.49696578010339304,0.2221984798070759,0.1534063609828241,False
Design Patterns,50,spectral_knn10_k6,6,3,2,17,0.07391165941953659,1.0383782130753307,0.7872862815856934,0.7581883668899536,249,1.0002158620597486,0.007009353585265573,5.444489360017965,0.000999000999000999,0.4125212591882538,0.09072004159085001,0.14326579179784457,0.44803868883652,0.2041206769683591,0.1526706188602178,False
Design Rules,11,spectral_knn10_k2,2,2,2,9,0.1353079229593277,1.0254020773401942,0.7288678288459778,0.7108117341995239,37,1.0004988607550143,0.014275929702105275,1.7444199505624791,0.03396603396603397,0.4762504807766041,-0.16666666666666666,0.4351001441724853,0.629312242966845,-0.14084507042253522,0.41396572141126947,False
Design Rules,11,spectral_knn10_k3,3,2,1,7,0.07624585181474686,1.0534004727036532,0.748769416809082,0.7108117341995239,25,1.0002275241051863,0.018811896200699372,2.8265597487450558,0.004995004995004995,0.3897192701872596,-0.33636363636363636,0.327463699817838,0.5561278768329443,-0.0125,0.26602832975741386,False
Design frameworks,6,spectral_knn10_k2,2,2,2,4,0.1827782243490219,1.0447294198065595,0.7797988653182983,0.7464122772216797,7,1.0003280330471334,0.026644909748656298,1.6664116027514537,0.056943056943056944,0.5792592592592593,-0.3333333333333333,0.5178746452694969,0.7461538461538462,0.23076923076923078,0.3635242789425083,False
Design knowledge,68,spectral_knn10_k2,2,3,27,41,0.07641211897134781,1.0109924629743585,0.7709668278694153,0.7625841498374939,1171,0.9999337282776769,0.00209478794608499,5.279166665699793,0.000999000999000999,0.48128245026413735,-0.10222369731164951,0.2533108404473538,0.5727293993808354,0.18079814774765607,0.19855087331208246,False
Design knowledge,68,spectral_knn10_k3,3,3,8,37,0.032692551612854004,1.0160423928674909,0.7748178243637085,0.7625841498374939,947,1.0001288089711153,0.003632241651739535,4.381201864351256,0.000999000999000999,0.41284311499850834,-0.05627502863042354,0.20156118275271334,0.34477552860527977,0.096096973010587,0.14462213120643133,False
Design knowledge,68,spectral_knn10_k4,4,3,9,32,0.033738914877176285,1.0184326466411429,0.7766405940055847,0.7625841498374939,713,1.0000494718673283,0.004761782691064345,3.8605656676251217,0.000999000999000999,0.48760580454140806,0.024537842990964107,0.1737315292834527,0.48348438490973017,0.18270051574439025,0.1378529671088419,False
Design knowledge,68,spectral_knn10_k5,5,3,9,20,0.039746325463056564,1.0262495682559667,0.7826016545295715,0.7625841498374939,481,0.9999893570748064,0.0035006604341745813,7.501501980826132,0.000999000999000999,0.4369740120902018,0.03138710766115423,0.1514486297120832,0.42745779258866357,0.21648135292310144,0.10903797856275249,False
