keyword,paper_count,k,kmeans_inertia,elbow_chord_distance,elbow_selected
Design Guidelines,22,1,6.828249454498291,0.0,False
Design Guidelines,22,2,6.188564300537109,0.05454406232905284,False
Design Guidelines,22,3,5.742494583129883,0.0390735726642863,False
Design Guidelines,22,4,5.208662986755371,0.05533923352240407,True
Design Guidelines,22,5,4.872844696044922,0.0,False
Design Heuristics,10,1,1.8039710521697998,0.0,False
Design Heuristics,10,2,1.2332890033721924,0.09519659987994837,True
Design Heuristics,10,3,0.9047328233718872,0.0,False
Design Patterns,51,1,12.106056213378906,0.0,False
Design Patterns,51,2,11.35597038269043,0.06834865122419867,True
Design Patterns,51,3,10.866476058959961,0.06381993278949766,False
Design Patterns,51,4,10.462678909301758,0.03532502794107768,False
Design Patterns,51,5,9.87091064453125,0.05939837675966015,False
Design Patterns,51,6,9.577616691589355,0.0,False
Design Rules,11,1,2.8931665420532227,0.0,False
Design Rules,11,2,2.4276952743530273,0.024424457018031517,True
Design Rules,11,3,2.0223803520202637,0.0,False
Design frameworks,6,1,1.271606683731079,,False
Design frameworks,6,2,0.8278437256813049,,True
Design knowledge,68,1,15.925960540771484,0.0,False
Design knowledge,68,2,14.918981552124023,0.08582032344999103,False
Design knowledge,68,3,14.2448148727417,0.09653597338578987,True
Design knowledge,68,4,13.736706733703613,0.06977773155257473,False
Design knowledge,68,5,13.252350807189941,0.03765940501929323,False
Design knowledge,68,6,12.792549133300781,0.0,False
Design methods,27,1,6.361472129821777,0.0,False
Design methods,27,2,5.880215644836426,0.048899183213782796,False
Design methods,27,3,5.472338676452637,0.06338846777605639,True
Design methods,27,4,5.1454010009765625,0.039922843463664655,False
Design methods,27,5,4.853558540344238,0.0,False
Design principles,15,1,3.979217529296875,0.0,False
Design principles,15,2,3.5353407859802246,0.032053766556100094,True
Design principles,15,3,3.164937734603882,0.02954040326603366,False
Design principles,15,4,2.8252601623535156,0.01257163970295273,False
Design principles,15,5,2.476236343383789,0.0,False
Design rationale,14,1,2.0203869342803955,0.0,False
Design rationale,14,2,1.7089385986328125,0.047712962940882474,True
Design rationale,14,3,1.461124300956726,0.037519515670937115,False
Design rationale,14,4,1.243338942527771,0.0,False
