paper_id,title,keyword,cluster_id,cluster_index,assignment_method
00781ed0e844,Cognitive Point of View in Recursive Design,Design theory,DT-C01,0,spectral_knn10_k3
02f3ae017acb,Design Theory and Method of Complex Products: A Review,Design theory,DT-C01,0,spectral_knn10_k3
0e02199ea150,The Inspiration of Design Affairology to Hcd in Post Humanism Era,Design theory,DT-C01,0,spectral_knn10_k3
141f85abba0a,How to Define Design in Industrial Control and Automation Software,Design theory,DT-C01,0,spectral_knn10_k3
232abf4e9e91,The Conceptual Design of Mechanical Products,Design theory,DT-C01,0,spectral_knn10_k3
363ca9685308,Cognitive Architecture and Instructional Design: 20 Years Later,Design theory,DT-C01,0,spectral_knn10_k3
3f7b5dc9fc40,Concerning the Epistemology of Design: The Role of the Eco-Cognitive Model of Abduction in Pragmatism,Design theory,DT-C01,0,spectral_knn10_k3
4025e28730c1,Conceptual foundations of design problem solving,Design theory,DT-C01,0,spectral_knn10_k3
5b52ec143fa6,The ECC Methodology for Architecture Design Theory and Practices Research,Design theory,DT-C01,0,spectral_knn10_k3
804431d6f285,Concepts and definitions for product recovery: Analysis and clarification of the terminology used in academia and industry,Design theory,DT-C01,0,spectral_knn10_k3
91ac41f73380,Knowing the Unknowable: Understanding and Measuring Design Impact Across Disciplines and Scale,Design theory,DT-C01,0,spectral_knn10_k3
9f9f7295ec8c,Affordance based design: a relational theory for design,Design theory,DT-C01,0,spectral_knn10_k3
a21900f84443,Undesigning technology: considering the negation of design by design,Design theory,DT-C01,0,spectral_knn10_k3
c3005cf4cf75,Design as interactions of problem framing and problem solving,Design theory,DT-C01,0,spectral_knn10_k3
ceac90427122,Design-oriented human-computer interaction,Design theory,DT-C01,0,spectral_knn10_k3
d250dc6eb9d9,Systems Thinking and Design Thinking: The Search for Principles in the World We Are Making,Design theory,DT-C01,0,spectral_knn10_k3
dc61c8a1dcd6,Multiscale Design Strategies in a Landscape Architecture Classroom,Design theory,DT-C01,0,spectral_knn10_k3
03fd54829f02,Digisprudence: the design of legitimate code,Design theory,DT-C02,1,spectral_knn10_k3
056ae4e01610,Beyond the old game design: a new design paradigm in Game Studies through C-K Theory,Design theory,DT-C02,1,spectral_knn10_k3
0bca44c18d6c,"Tinkering, tailoring, and bricolage: Implications for theories of Design",Design theory,DT-C02,1,spectral_knn10_k3
103eb1a8586b,Incommensurability and multi-paradigm grounding in design science research: Implications for creating knowledge,Design theory,DT-C02,1,spectral_knn10_k3
1728dd2afe4b,Design theory in practice – Making design science research more transparent,Design theory,DT-C02,1,spectral_knn10_k3
2c8a6e74557f,"The tacit knowledge of entrepreneurial design: Interrelating theory, practice and prescription in entrepreneurship research",Design theory,DT-C02,1,spectral_knn10_k3
4db508a9681a,Philosophy of design: A meta-theoretical structure for design theory,Design theory,DT-C02,1,spectral_knn10_k3
50c94f5857d8,Eight Components of a Design Theory of Sonification,Design theory,DT-C02,1,spectral_knn10_k3
5b3b013c191d,Towards a unified terminology for sonification and visualization,Design theory,DT-C02,1,spectral_knn10_k3
5ffd963397c9,THEORY OF TECHNICAL SYSTEMS - PREREQUISITE TO DESIGN THEORY.,Design theory,DT-C02,1,spectral_knn10_k3
6194ef223969,A typology of Urban Design theories and its application to the shared body of knowledge,Design theory,DT-C02,1,spectral_knn10_k3
66d4b9b36f31,"SHEAFIFICATION AS A DESIGN TECHNIQUE FOR CREATIVE PRESERVATION – PRINCIPLES, ILLUSTRATIONS, AND FIRST APPLICATIONS",Design theory,DT-C02,1,spectral_knn10_k3
79d31b954d2a,THE LOGICS OF DOUBLE PROOF IN PROOF OF CONCEPT: A DESIGN THEORY-BASED MODEL OF EXPERIMENTATION IN THE UNKNOWN,Design theory,DT-C02,1,spectral_knn10_k3
83d1ebe7d6c0,Design Theory in Information Systems,Design theory,DT-C02,1,spectral_knn10_k3
a1a2a51ae22e,Incommensurability in design science: Which comes first-Theory or artefact?,Design theory,DT-C02,1,spectral_knn10_k3
b21a9b4cc5ef,C-K design theory: an advanced formulation,Design theory,DT-C02,1,spectral_knn10_k3
bacdc4f76eea,Work system principles: towards a justified design theory on the grounds of socio-instrumental pragmatism,Design theory,DT-C02,1,spectral_knn10_k3
beaf258777e6,What is the value of design theory?,Design theory,DT-C02,1,spectral_knn10_k3
c2c57ac5453e,"Theory construction in design research. Criteria, approaches, and methods.",Design theory,DT-C02,1,spectral_knn10_k3
d19f5f66d2ba,A Survey of Definition and its Role in Strengthening Design Theory,Design theory,DT-C02,1,spectral_knn10_k3
