paper_id,title,pairwise_comembership_disagreements
2c8a6e74557f,"The tacit knowledge of entrepreneurial design: Interrelating theory, practice and prescription in entrepreneurship research",334
c9175ef9ebfe,Management design theories,324
363ca9685308,Cognitive Architecture and Instructional Design: 20 Years Later,288
20f56bbbd10c,2. Interstitial Design Processes: How Design Thinking and Social Design Processes Bridge Theory and Practice in TPC Pedagogy,282
2faef10b819d,A design theory for software engineering,282
41443180c5b4,"Service Ecosystem Design: Propositions, Process Model, and Future Research Agenda",282
288676f720a1,A design theory for digital platforms supporting online communities: a multiple case study,280
43fee329f83e,Process design theory for digital information services,280
67d72b35ce6b,A nascent design theory for explainable intelligent systems,280
8107b8d7a099,Analyzing Initial Design Theory Components for Developing Information Security Laboratories,280
85c3a6761bcc,Designing Process Guidance Systems,280
c0372ed4d123,Web-based information systems: Developing a design theory,280
d2fba2826d90,Design Principles for Platform-Enabled Knowledge Commons with an Expository Instantiation,280
dc61c8a1dcd6,Multiscale Design Strategies in a Landscape Architecture Classroom,278
03fd54829f02,Digisprudence: the design of legitimate code,276
bacdc4f76eea,Work system principles: towards a justified design theory on the grounds of socio-instrumental pragmatism,276
0e02199ea150,The Inspiration of Design Affairology to Hcd in Post Humanism Era,246
3f7b5dc9fc40,Concerning the Epistemology of Design: The Role of the Eco-Cognitive Model of Abduction in Pragmatism,246
4025e28730c1,Conceptual foundations of design problem solving,246
5b52ec143fa6,The ECC Methodology for Architecture Design Theory and Practices Research,246
9f9f7295ec8c,Affordance based design: a relational theory for design,246
c3005cf4cf75,Design as interactions of problem framing and problem solving,246
d250dc6eb9d9,Systems Thinking and Design Thinking: The Search for Principles in the World We Are Making,246
1e8f1494fc78,Collaboration Engineering Methodology: Horizontal Extension to Accommodate Project and Program Concerns,240
5a973fb8ae6f,ICT-Enabled Self-Management of Chronic Diseases: Literature Review and Analysis Using Value-Sensitive Design,240
9049c4d2bbec,Towards a design theory of blended learning curriculum,240
92fd41483399,Design exemplars for synchronous e-learning: A design theory approach,240
e47202a23273,Toward a design theory of strategic enterprise management business intelligence (SEMBI) capability maturity model,240
00781ed0e844,Cognitive Point of View in Recursive Design,238
02f3ae017acb,Design Theory and Method of Complex Products: A Review,238
141f85abba0a,How to Define Design in Industrial Control and Automation Software,238
232abf4e9e91,The Conceptual Design of Mechanical Products,238
804431d6f285,Concepts and definitions for product recovery: Analysis and clarification of the terminology used in academia and industry,238
91ac41f73380,Knowing the Unknowable: Understanding and Measuring Design Impact Across Disciplines and Scale,238
a21900f84443,Undesigning technology: considering the negation of design by design,238
ceac90427122,Design-oriented human-computer interaction,238
50c94f5857d8,Eight Components of a Design Theory of Sonification,236
5b3b013c191d,Towards a unified terminology for sonification and visualization,236
056ae4e01610,Beyond the old game design: a new design paradigm in Game Studies through C-K Theory,184
0bca44c18d6c,"Tinkering, tailoring, and bricolage: Implications for theories of Design",184
103eb1a8586b,Incommensurability and multi-paradigm grounding in design science research: Implications for creating knowledge,184
1728dd2afe4b,Design theory in practice – Making design science research more transparent,184
4db508a9681a,Philosophy of design: A meta-theoretical structure for design theory,184
5ffd963397c9,THEORY OF TECHNICAL SYSTEMS - PREREQUISITE TO DESIGN THEORY.,184
6194ef223969,A typology of Urban Design theories and its application to the shared body of knowledge,184
66d4b9b36f31,"SHEAFIFICATION AS A DESIGN TECHNIQUE FOR CREATIVE PRESERVATION – PRINCIPLES, ILLUSTRATIONS, AND FIRST APPLICATIONS",184
79d31b954d2a,THE LOGICS OF DOUBLE PROOF IN PROOF OF CONCEPT: A DESIGN THEORY-BASED MODEL OF EXPERIMENTATION IN THE UNKNOWN,184
83d1ebe7d6c0,Design Theory in Information Systems,184
a1a2a51ae22e,Incommensurability in design science: Which comes first-Theory or artefact?,184
b21a9b4cc5ef,C-K design theory: an advanced formulation,184
beaf258777e6,What is the value of design theory?,184
c2c57ac5453e,"Theory construction in design research. Criteria, approaches, and methods.",184
d19f5f66d2ba,A Survey of Definition and its Role in Strengthening Design Theory,184
ec380d04cf61,GENERAL DESIGN THEORY.,184
f56243f52335,"Theory construction in design research Criteria: Approaches, and methods",184
fd05a25a5e94,Four Criteria for Design Theories,184
0ecb6c9b7eeb,Pluralism in Knowledge Management: a Review,144
af66a447ca7c,Digital Panopticon: How Remote Work Monitoring Shapes Employee Behavior and Motivation,144
