config,k,cluster,full_cluster_size,bootstrap_best_jaccard_mean,bootstrap_best_jaccard_min,bootstrap_best_jaccard_sd
average_cosine_k2,2,0,57,0.9956521739130434,0.9782608695652174,0.008739459263123578
average_cosine_k2,2,1,1,1.0,1.0,0.0
kmeans_k2,2,0,18,0.6885242493308081,0.25,0.13888775891262392
kmeans_k2,2,1,40,0.8112970814639133,0.5161290322580645,0.09947148271450898
spectral_knn10_k2,2,0,42,0.8779636104941554,0.47058823529411764,0.13232820262623537
spectral_knn10_k2,2,1,16,0.7814820185539025,0.25,0.1909096861356904
spectral_knn15_k2,2,0,41,0.8902009648050918,0.45454545454545453,0.08764152516687794
spectral_knn15_k2,2,1,17,0.7759925442634423,0.35294117647058826,0.12493227233479544
ward_k2,2,0,47,0.788542795718997,0.45652173913043476,0.14844109910220912
ward_k2,2,1,11,0.5578560421839537,0.18604651162790697,0.20112317628548182
average_cosine_k3,3,0,56,0.9796038647342994,0.9130434782608695,0.020045511084228987
average_cosine_k3,3,1,1,0.6854754440961337,0.022727272727272728,0.45921064683086277
average_cosine_k3,3,2,1,1.0,1.0,0.0
kmeans_k3,3,0,30,0.5957081243435955,0.32,0.11702063006113941
kmeans_k3,3,1,26,0.6535617154279997,0.4375,0.08724844592806552
kmeans_k3,3,2,2,0.46216236081536377,0.02857142857142857,0.3917779131051086
spectral_knn10_k3,3,0,17,0.6940427710086986,0.15789473684210525,0.1449965880684071
spectral_knn10_k3,3,1,23,0.8283039433120248,0.48148148148148145,0.09230914944601096
spectral_knn10_k3,3,2,18,0.7463277882678038,0.2857142857142857,0.12065293330158182
spectral_knn15_k3,3,0,19,0.733264530873702,0.3103448275862069,0.15474897797212653
spectral_knn15_k3,3,1,24,0.7847088362971817,0.5,0.10900299971833813
spectral_knn15_k3,3,2,15,0.8420618131868132,0.4444444444444444,0.11429038647309914
ward_k3,3,0,16,0.5714208681560301,0.2692307692307692,0.20030429394276236
ward_k3,3,1,31,0.6188033789804146,0.3055555555555556,0.18672454903238486
ward_k3,3,2,11,0.5966360860215348,0.18181818181818182,0.18782795509926747
average_cosine_k4,4,0,55,0.9829422485726833,0.8913043478260869,0.022027592948914636
average_cosine_k4,4,1,1,1.0,1.0,0.0
average_cosine_k4,4,2,1,0.9293919865508545,0.023255813953488372,0.2544812856722161
average_cosine_k4,4,3,1,1.0,1.0,0.0
kmeans_k4,4,0,14,0.304201496327159,0.15789473684210525,0.10354279290603018
kmeans_k4,4,1,27,0.6026505284429514,0.3793103448275862,0.09734412312161389
kmeans_k4,4,2,14,0.4844505601417871,0.16666666666666666,0.12403989376950769
kmeans_k4,4,3,3,0.600882864342718,0.04,0.4124703075104448
spectral_knn10_k4,4,0,8,0.4839775175804587,0.11764705882352941,0.2336742913303406
spectral_knn10_k4,4,1,10,0.5689893963879258,0.17857142857142858,0.21061411592099324
spectral_knn10_k4,4,2,28,0.7119496935457665,0.36363636363636365,0.13675403642622402
spectral_knn10_k4,4,3,12,0.6821396381396382,0.2727272727272727,0.15088961211345073
spectral_knn15_k4,4,0,13,0.4533393042242652,0.18518518518518517,0.1463305643797724
spectral_knn15_k4,4,1,9,0.40158080667444307,0.1111111111111111,0.15057387765369945
spectral_knn15_k4,4,2,22,0.6912415103728874,0.35,0.1354057889820221
spectral_knn15_k4,4,3,14,0.7215809607059609,0.3125,0.14613225332759122
ward_k4,4,0,16,0.6883254293881764,0.3076923076923077,0.18147137702399987
ward_k4,4,1,28,0.6438010769532698,0.3611111111111111,0.17326755310205275
ward_k4,4,2,11,0.6457654711129943,0.21052631578947367,0.186320778303163
ward_k4,4,3,3,0.6989837314777944,0.047619047619047616,0.38702287396571694
