title,config,path,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,stability_ari
All papers · KMEANS · Raw BGE-M3,kmeans_k2,raw/kmeans,2,0,0.0,1.0,224,233,0.07931049168109894,0.8566114739305628
All papers · DBSCAN · Raw BGE-M3,dbscan_eps0.193456_ms3,raw/dbscan,2,112,0.24507658643326038,0.7549234135667396,5,340,0.15544208884239197,0.8447188050359856
All papers · HDBSCAN · Raw BGE-M3,hdbscan_mcs8_ms8,raw/hdbscan,2,389,0.8512035010940919,0.1487964989059081,10,58,0.2913711667060852,0.6057479230903381
UMAP5 before clustering · KMEANS,kmeans_k3,umap5/kmeans,3,0,0.0,1.0,90,225,0.06942486017942429,0.9780778690719653
UMAP5 before clustering · DBSCAN,dbscan_eps0.262264_ms8,umap5/dbscan,15,262,0.5733041575492341,0.42669584245076586,5,22,0.18870912492275238,0.7371126327846753
UMAP5 before clustering · HDBSCAN,hdbscan_mcs20_ms1,umap5/hdbscan,2,39,0.08533916849015317,0.9146608315098468,20,398,0.07777205854654312,0.5367637104953591
UMAP10 before clustering · KMEANS,kmeans_k2,umap10/kmeans,2,0,0.0,1.0,203,254,0.06717940419912338,0.9686221063601845
UMAP10 before clustering · DBSCAN,dbscan_eps0.273757_ms8,umap10/dbscan,15,231,0.5054704595185996,0.49452954048140046,8,34,0.16633635759353638,0.6092566700524614
UMAP10 before clustering · HDBSCAN,hdbscan_mcs15_ms8,umap10/hdbscan,3,27,0.05908096280087528,0.9409190371991247,15,396,0.06271445006132126,0.4476446044751133
Zhicheng workflow · UMAP 10D + HDBSCAN,hdbscan_mcs8_ms1,zhicheng_umap_hdbscan,23,52,0.1137855579868709,0.8862144420131292,8,53,0.073750801384449,0.6837950998896083
