analysis_page,clustering_space,algorithm,configuration,paper_id,keyword,title,authors,year,venue,doi,url,cluster,cluster_label_candidate,distinguishing_evidence_terms,cluster_summary_candidate,distance_to_centroid,representative_rank,is_representative_top3,umap_x,umap_y,discussion_found,discussion_paragraph_count,discussion_summary,discussion_excerpt
page2,umap5,kmeans,kmeans_k3,0050f73e4373,Design rationale,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)",1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1150672435760498,59,False,-1.4292592,4.609197,False,0,,
page2,umap5,kmeans,kmeans_k3,00781ed0e844,Design theory,Cognitive Point of View in Recursive Design,Evan Barba,2019,"She Ji: The Journal of Design, Economics and Innovation",,https://www.semanticscholar.org/paper/cd9c2c3812ad8a7feccea4741cea6b98dd33a007,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1287715435028076,91,False,0.6491055,6.6022716,False,0,,
page2,umap5,kmeans,kmeans_k3,00d7fbafe65f,Design Guidelines,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho",2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,10.1145/3613904.3642886,https://doi.org/10.1145/3613904.3642886,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1589151620864868,157,False,-0.78253615,8.253111,False,0,,
page2,umap5,kmeans,kmeans_k3,00e42ae113b8,Design knowledge,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Petra H. M. Cremers; A. Wals; R. Wesselink; M. Mulder,2016,Instructional Science,,https://www.semanticscholar.org/paper/c789600c7369bddaf982676630fa98befecacde6,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.160515546798706,160,False,-0.013154672,6.5875435,True,10,"- Discussion
In this study we framed the set of design principles as a boundary object.
- One might argue
that a boundary object’s main function is to facilitate collaboration among actors from
different social worlds and that a set of design principles that ‘travels’ from the world of
research to the world of educational design practice is not aim
- Therefore it could be considered incorrect to frame a
set of design principles as a boundary object.","Discussion
In this study we framed the set of design principles as a boundary object."
page2,umap5,kmeans,kmeans_k3,01467836cecf,Design principles,Design principles for human-computer interfaces,"Norman, Donald A.",1983,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/800045.801571,https://doi.org/10.1145/800045.801571,2,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, software, systems, language","This exploratory cluster contains 142 papers. Frequent terms include patterns, pattern, design patterns, software, systems, language. Representative papers include Towards normal design for safety-critical systems; Analysis patterns; A conceptual framework for design science research.",0.1419088840484619,57,False,2.4980574,5.7387466,False,0,,
page2,umap5,kmeans,kmeans_k3,0176348439b8,Design Guidelines,A Comparative Study of Chinese and American Rural Design Guidelines,D. Chu; R. Li,2019,International Journal of Structural and Civil Engineering Research,,https://www.semanticscholar.org/paper/af67c18e22e351362a73fa3cb1d997e238f8c3d7,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.2803844213485718,223,False,-0.075509496,6.4016857,False,0,,
page2,umap5,kmeans,kmeans_k3,022ee7cf2e4e,Design Heuristics,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,"Kremer, Gerald (1); Peters, Ina (1); Bingoel, Berkay (1); Stark, Rainer (1)",2022,"Proceedings of the 33rd Symposium Design for X, DFX 2022",10.35199/dfx2022.08,,0,Hci · Game · Heuristics,"hci, game, heuristics, learning, games, knowledge","This exploratory cluster contains 90 papers. Frequent terms include hci, game, heuristics, learning, games, knowledge. Representative papers include Design-oriented human-computer interaction; A theoretical framework on embodiment in digital design; From human factors to human actors to human crafters.",0.1337993144989013,21,False,2.3038716,7.945723,True,10,"- Discussion 
Obviously, there are some differences in industrial designers ’ and design teachers ’ 
expectations regarding the presentation of design heuristics.
- Whereas the teachers, being true 
to their scientific setting, emphasize transparency of sources and context information enabling 
integrated networked thinking, engineers from industry wish for straight-forward easy-to-apply 
solutions.
- However, the criteria of both groups are not contradictory but complementary and 
some, e.","Discussion 
Obviously, there are some differences in industrial designers ’ and design teachers ’ 
expectations regarding the presentation of design heuristics."
page2,umap5,kmeans,kmeans_k3,02381ea80183,Design knowledge,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); Möller, F. (1, 3)",,Data & Knowledge Engineering,10.1016/j.datak.2024.102333,,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1978645920753479,200,False,0.8028191,5.202497,False,0,,
page2,umap5,kmeans,kmeans_k3,02f3ae017acb,Design theory,Design Theory and Method of Complex Products: A Review,Chan Qiu; Jianrong Tan; Zhen-yu Liu; Haoyang Mao; Weifei Hu,2022,Chinese Journal of Mechanical Engineering,,https://www.semanticscholar.org/paper/11b673bc049bd6075777c1697de805d195198e5b,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.0980589985847473,25,False,0.11695612,7.341692,False,0,,
page2,umap5,kmeans,kmeans_k3,03adadfa0ad4,Design knowledge,"Design Principles: Literature Review, Analysis, and Future Directions","Fu, K.K. (1); Yang, M.C. (2); Wood, K.L. (3)",,Journal of Mechanical Design,10.1115/1.4034105,,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.0811365842819213,3,True,-0.061298314,6.2489767,False,0,,
page2,umap5,kmeans,kmeans_k3,03fd54829f02,Design theory,Digisprudence: the design of legitimate code,Laurence Diver,2020,"Law, Innovation and Technology",,https://www.semanticscholar.org/paper/b7a97635870c5a15c94ff83c2036a3f4466ac1b3,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.2033357620239257,202,False,3.2417188,6.144755,False,0,,
page2,umap5,kmeans,kmeans_k3,0512599e76df,Design Heuristics,What is the content of 'design thinking'? Design Heuristics as conceptual repertoire,"Gray, Colin M. (1); Seifert, Colleen M. (2); Yilmaz, Seda (3); Daly, Shanna R. (4); Gonzalez, Richard (2)",2016,International Journal of Engineering Education,,,0,Hci · Game · Heuristics,"hci, game, heuristics, learning, games, knowledge","This exploratory cluster contains 90 papers. Frequent terms include hci, game, heuristics, learning, games, knowledge. Representative papers include Design-oriented human-computer interaction; A theoretical framework on embodiment in digital design; From human factors to human actors to human crafters.",0.1325871348381042,18,False,2.1654081,8.078932,False,0,,
page2,umap5,kmeans,kmeans_k3,056ae4e01610,Design theory,Beyond the old game design: a new design paradigm in Game Studies through C-K Theory,Enrique Perez,2023,Digra,,https://www.semanticscholar.org/paper/e2519811712840d36f7232cb309002293ed1ff8d,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1704477071762085,174,False,-1.6696076,5.652809,True,10,"- Discussion 
list of DiGRA (Digital Games Research Association).
- Le Masson, Pascal, Armand Hatchuel, and Benoit Weil.
- Le Masson, Pascal, Kees Dorst, and Eswaran Subrahmanian.","Discussion 
list of DiGRA (Digital Games Research Association). 12-13 January. 
https://lists.tuni.fi/mailman/listinfo/gamesnetwork."
page2,umap5,kmeans,kmeans_k3,0783409933b4,Design Patterns,A Two-Dimensional Framework for AI Agent Design Patterns: Cognitive Function and Execution Topology,Jia Huang; J. Zhou,2026,,,https://www.semanticscholar.org/paper/67855ed25bb27f6a2f8bae704fdd2d35c8891262,2,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, software, systems, language","This exploratory cluster contains 142 papers. Frequent terms include patterns, pattern, design patterns, software, systems, language. Representative papers include Towards normal design for safety-critical systems; Analysis patterns; A conceptual framework for design science research.",0.1525576114654541,65,False,2.3096452,4.5684214,False,0,,
page2,umap5,kmeans,kmeans_k3,07eb3166d706,Design knowledge,A Typology of Knowledge Creation in Design Science Research Projects,"Chatterjee, S. (1); Bhattacherjee, A. (2); Gilb, T. (3)",,"Design Science Research for a Resilient Future: 19th International Conference on Design Science Research in Information Systems and Technology, DESRIST 2024, Proceedings. Lecture Notes in Computer Science (14621)",10.1007/978-3-031-61175-9_10,,1,Knowledge · Theory · Research,"knowledge, theory, research, design knowledge, design theory, principles","This exploratory cluster contains 225 papers. Frequent terms include knowledge, theory, research, design knowledge, design theory, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.0787445306777954,2,True,-1.3442241,7.6299167,False,0,,
page2,umap5,kmeans,kmeans_k3,0842498049c7,Design Guidelines,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,V. Abeele; B. Zaman,2008,Adv. Hum. Comput. Interact.,,https://www.semanticscholar.org/paper/e2837ac0465e8cea18f2ab5b2f9f12f874ddbe1f,0,Hci · Game · Heuristics,"hci, game, heuristics, learning, games, knowledge","This exploratory cluster contains 90 papers. Frequent terms include hci, game, heuristics, learning, games, knowledge. Representative papers include Design-oriented human-computer interaction; A theoretical framework on embodiment in digital design; From human factors to human actors to human crafters.",0.1866498589515686,69,False,0.28634024,2.646278,True,10,"- Discussion and Future W ork
With the emergence of new technologies, the HCI commu-
nity is fully aware of the need for theories and methods for
likeability research.
- In this article, we aimed at demonstrating
how the uses and gratiﬁcations paradigm together with
expectancy value theory could ﬁll in one of the blanks in
designing likeable applications for preschoolers.
- The paper remains exploratory, at best hypothesis-
generating, in the methods used to elicit responses, in the list
of attributes and gratiﬁcations derived and in the proposed
structure linking these.","Discussion and Future W ork
With the emergence of new technologies, the HCI commu-
nity is fully aware of the need for theories and methods for
likeability research."
page2,umap5,kmeans,kmeans_k3,09055cc69e8c,Design Patterns,A Theoretical Model for Game Mechanics: Bridging Design Practice and Education,Rafael Marques de Albuquerque; Flávio Anthero Nunes Vianna dos Santos,2025,European Conference on Games Based Learning,,https://www.semanticscholar.org/paper/7f6e881f023b0fe5f2281893261c1c7df62ed203,0,Hci · Game · Heuristics,"hci, game, heuristics, learning, games, knowledge","This exploratory cluster contains 90 papers. Frequent terms include hci, game, heuristics, learning, games, knowledge. Representative papers include Design-oriented human-computer interaction; A theoretical framework on embodiment in digital design; From human factors to human actors to human crafters.",0.1208657026290893,8,False,0.20362082,2.7646902,False,0,,
page2,umap5,kmeans,kmeans_k3,098637c0f9ae,Design Patterns,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,"Frauenberger, C. and Stockman, T. and Bourguet, M. L.",2007,Proceedings of the 14th Conference on Pattern Languages of Programs,10.1145/1772070.1772091,https://doi.org/10.1145/1772070.1772091,2,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, software, systems, language","This exploratory cluster contains 142 papers. Frequent terms include patterns, pattern, design patterns, software, systems, language. Representative papers include Towards normal design for safety-critical systems; Analysis patterns; A conceptual framework for design science research.",0.1608858704566955,73,False,3.7158496,4.353229,False,0,,
