analysis_page,clustering_space,algorithm,configuration,paper_id,keyword,title,authors,year,venue,doi,url,cluster,cluster_label_candidate,distinguishing_evidence_terms,cluster_summary_candidate,distance_to_centroid,representative_rank,is_representative_top3,umap_x,umap_y,discussion_found,discussion_paragraph_count,discussion_summary,discussion_excerpt
page1,raw,kmeans,kmeans_k2,0050f73e4373,Design rationale,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)",1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,,0,Knowledge · Theory · Design Knowledge,"knowledge, theory, design knowledge, research, design theory, hci","This exploratory cluster contains 223 papers. Frequent terms include knowledge, theory, design knowledge, research, design theory, hci. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1184208393096923,72,False,-0.9277146,5.4073834,False,0,,
page1,raw,kmeans,kmeans_k2,00781ed0e844,Design theory,Cognitive Point of View in Recursive Design,Evan Barba,2019,"She Ji: The Journal of Design, Economics and Innovation",,https://www.semanticscholar.org/paper/cd9c2c3812ad8a7feccea4741cea6b98dd33a007,0,Knowledge · Theory · Design Knowledge,"knowledge, theory, design knowledge, research, design theory, hci","This exploratory cluster contains 223 papers. Frequent terms include knowledge, theory, design knowledge, research, design theory, hci. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1284867525100708,100,False,1.3679008,6.6846795,False,0,,
page1,raw,kmeans,kmeans_k2,00d7fbafe65f,Design Guidelines,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho",2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,10.1145/3613904.3642886,https://doi.org/10.1145/3613904.3642886,0,Knowledge · Theory · Design Knowledge,"knowledge, theory, design knowledge, research, design theory, hci","This exploratory cluster contains 223 papers. Frequent terms include knowledge, theory, design knowledge, research, design theory, hci. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1533728837966919,159,False,1.8122778,8.460136,False,0,,
page1,raw,kmeans,kmeans_k2,00e42ae113b8,Design knowledge,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Petra H. M. Cremers; A. Wals; R. Wesselink; M. Mulder,2016,Instructional Science,,https://www.semanticscholar.org/paper/c789600c7369bddaf982676630fa98befecacde6,0,Knowledge · Theory · Design Knowledge,"knowledge, theory, design knowledge, research, design theory, hci","This exploratory cluster contains 223 papers. Frequent terms include knowledge, theory, design knowledge, research, design theory, hci. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1541845202445984,162,False,0.6910743,6.867963,False,0,,
page1,raw,kmeans,kmeans_k2,01467836cecf,Design principles,Design principles for human-computer interfaces,"Norman, Donald A.",1983,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/800045.801571,https://doi.org/10.1145/800045.801571,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, software, systems, visualization","This exploratory cluster contains 236 papers. Frequent terms include patterns, pattern, design patterns, software, systems, visualization. Representative papers include A conceptual framework for design science research; Towards normal design for safety-critical systems; Analysis patterns.",0.1335679292678833,38,False,1.8705133,4.501081,False,0,,
page1,raw,kmeans,kmeans_k2,0176348439b8,Design Guidelines,A Comparative Study of Chinese and American Rural Design Guidelines,D. Chu; R. Li,2019,International Journal of Structural and Civil Engineering Research,,https://www.semanticscholar.org/paper/af67c18e22e351362a73fa3cb1d997e238f8c3d7,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, software, systems, visualization","This exploratory cluster contains 236 papers. Frequent terms include patterns, pattern, design patterns, software, systems, visualization. Representative papers include A conceptual framework for design science research; Towards normal design for safety-critical systems; Analysis patterns.",0.268498420715332,234,False,0.5469725,7.0158553,False,0,,
page1,raw,kmeans,kmeans_k2,022ee7cf2e4e,Design Heuristics,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,"Kremer, Gerald (1); Peters, Ina (1); Bingoel, Berkay (1); Stark, Rainer (1)",2022,"Proceedings of the 33rd Symposium Design for X, DFX 2022",10.35199/dfx2022.08,,0,Knowledge · Theory · Design Knowledge,"knowledge, theory, design knowledge, research, design theory, hci","This exploratory cluster contains 223 papers. Frequent terms include knowledge, theory, design knowledge, research, design theory, hci. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.1303010582923889,106,False,3.4594984,6.6634865,False,0,,
page1,raw,kmeans,kmeans_k2,02381ea80183,Design knowledge,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); Möller, F. (1, 3)",,Data & Knowledge Engineering,10.1016/j.datak.2024.102333,,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, software, systems, visualization","This exploratory cluster contains 236 papers. Frequent terms include patterns, pattern, design patterns, software, systems, visualization. Representative papers include A conceptual framework for design science research; Towards normal design for safety-critical systems; Analysis patterns.",0.1909164786338806,162,False,0.123877235,5.285951,False,0,,
page1,raw,kmeans,kmeans_k2,02f3ae017acb,Design theory,Design Theory and Method of Complex Products: A Review,Chan Qiu; Jianrong Tan; Zhen-yu Liu; Haoyang Mao; Weifei Hu,2022,Chinese Journal of Mechanical Engineering,,https://www.semanticscholar.org/paper/11b673bc049bd6075777c1697de805d195198e5b,0,Knowledge · Theory · Design Knowledge,"knowledge, theory, design knowledge, research, design theory, hci","This exploratory cluster contains 223 papers. Frequent terms include knowledge, theory, design knowledge, research, design theory, hci. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.0988035202026367,25,False,0.4556136,5.681913,False,0,,
page1,raw,kmeans,kmeans_k2,03adadfa0ad4,Design knowledge,"Design Principles: Literature Review, Analysis, and Future Directions","Fu, K.K. (1); Yang, M.C. (2); Wood, K.L. (3)",,Journal of Mechanical Design,10.1115/1.4034105,,0,Knowledge · Theory · Design Knowledge,"knowledge, theory, design knowledge, research, design theory, hci","This exploratory cluster contains 223 papers. Frequent terms include knowledge, theory, design knowledge, research, design theory, hci. Representative papers include Towards a Method for Design Principle Development in Information Systems; A Typology of Knowledge Creation in Design Science Research Projects; Design Principles: Literature Review, Analysis, and Future Directions.",0.0808767080307006,3,True,0.5146892,6.8467865,False,0,,
