keyword,cluster_id,rank,term,ctfidf_weight
Design Guidelines,DG-C01,1,user interface,0.040922182421014676
Design Guidelines,DG-C01,2,tacit,0.039126622462318586
Design Guidelines,DG-C01,3,visualization,0.024119958985928072
Design Guidelines,DG-C01,4,component,0.01882296663325982
Design Guidelines,DG-C01,5,instances,0.018270369185234125
Design Guidelines,DG-C01,6,constraints,0.018054001712220536
Design Guidelines,DG-C01,7,characteristics,0.015862689234578526
Design Guidelines,DG-C01,8,support,0.015249013005874857
Design Guidelines,DG-C01,9,violation,0.014078521260332356
Design Guidelines,DG-C01,10,tools,0.013949729463414608
Design Guidelines,DG-C01,11,designers,0.01369959524804509
Design Guidelines,DG-C01,12,uis-hunter,0.011934664316094953
Design Guidelines,DG-C01,13,actions,0.01149382556732006
Design Guidelines,DG-C01,14,material,0.010584789483799819
Design Guidelines,DG-C01,15,smell,0.01046153880096958
Design Guidelines,DG-C02,1,rural,0.04839941305394807
Design Guidelines,DG-C02,2,user,0.02428219922748376
Design Guidelines,DG-C02,3,geo-portals,0.021830940547331017
Design Guidelines,DG-C02,4,development,0.019120865194514048
Design Guidelines,DG-C02,5,sidewalks,0.019081454153672635
Design Guidelines,DG-C02,6,user experience,0.01627026491369516
Design Guidelines,DG-C02,7,planning,0.015385470682071852
Design Guidelines,DG-C02,8,rural development,0.014779387984473754
Design Guidelines,DG-C02,9,map-based,0.014779387984473754
Design Guidelines,DG-C02,10,requirements,0.014552863602819401
Design Guidelines,DG-C02,11,people,0.014467936382756065
Design Guidelines,DG-C02,12,experience,0.013560885188042703
Design Guidelines,DG-C02,13,map-based geo-portals,0.013287580893961246
Design Guidelines,DG-C02,14,village,0.013287580893961246
Design Guidelines,DG-C02,15,factors,0.011966477197166996
Design Guidelines,DG-C03,1,experience,0.015883252450174898
Design Guidelines,DG-C03,2,visualization,0.014828505349231963
Design Guidelines,DG-C03,3,HCI,0.014209509132495458
Design Guidelines,DG-C03,4,interaction,0.01384467696411247
Design Guidelines,DG-C03,5,users,0.013717191847227259
Design Guidelines,DG-C03,6,gratifications,0.012260411770856135
Design Guidelines,DG-C03,7,immersive,0.011892834809577013
Design Guidelines,DG-C03,8,media,0.011149639320272292
Design Guidelines,DG-C03,9,data,0.011099142679774056
Design Guidelines,DG-C03,10,aesthetics,0.011079434055252487
Design Guidelines,DG-C03,11,participants,0.009943041514765386
